architecture_id,model_id,family,target,feature_set,with_abs,wavelet_mode,window_size_sec,sequence_length,stride_sec,sample_stride_sec,model_name,full_model_name,hyperparams_json
Lin16,Lin16_95a6b9af,Lin,lt1,EMG,True,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) EMG with_abs wavelet=none LT1","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_ba29a274,Lin,lt1,EMG,False,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) EMG no_abs wavelet=none LT1","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_b68bc829,Lin,lt1,NIRS,True,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) NIRS with_abs wavelet=none LT1","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_259d19fa,Lin,lt1,NIRS,False,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) NIRS no_abs wavelet=none LT1","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_d652e83a,Lin,lt1,HRV,True,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) HRV with_abs wavelet=none LT1","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_a9d3c55b,Lin,lt1,HRV,False,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) HRV no_abs wavelet=none LT1","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_6ca94838,Lin,lt1,EMG+NIRS,True,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) EMG+NIRS with_abs wavelet=none LT1","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_dabe0853,Lin,lt1,EMG+NIRS,False,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) EMG+NIRS no_abs wavelet=none LT1","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_dd3891d4,Lin,lt1,EMG+NIRS+HRV,True,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) EMG+NIRS+HRV with_abs wavelet=none LT1","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_a51bf083,Lin,lt1,EMG+NIRS+HRV,False,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) EMG+NIRS+HRV no_abs wavelet=none LT1","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_6187e1a9,Lin,lt2,EMG,True,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) EMG with_abs wavelet=none LT2","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_85d1a29e,Lin,lt2,EMG,False,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) EMG no_abs wavelet=none LT2","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_d4354299,Lin,lt2,NIRS,True,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) NIRS with_abs wavelet=none LT2","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_059d6a20,Lin,lt2,NIRS,False,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) NIRS no_abs wavelet=none LT2","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_289a1ac8,Lin,lt2,HRV,True,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) HRV with_abs wavelet=none LT2","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_87024da7,Lin,lt2,HRV,False,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) HRV no_abs wavelet=none LT2","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_0b49919a,Lin,lt2,EMG+NIRS,True,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) EMG+NIRS with_abs wavelet=none LT2","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_ba240a90,Lin,lt2,EMG+NIRS,False,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) EMG+NIRS no_abs wavelet=none LT2","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_e4608fa0,Lin,lt2,EMG+NIRS+HRV,True,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) EMG+NIRS+HRV with_abs wavelet=none LT2","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
Lin16,Lin16_e8f0bc55,Lin,lt2,EMG+NIRS+HRV,False,none,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.5,max_iter=5000,random_state=42) EMG+NIRS+HRV no_abs wavelet=none LT2","{""alpha"": 1.0, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}"
