variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
noabs,EMG,lt1,14,79,5.6944,5.8506,30.0,5.8506,5.9768,6.1497,6.7636,-0.184,0.641,199.7
noabs,NIRS,lt1,14,14,5.8217,5.9697,30.0,5.9697,6.089,6.2528,6.8407,-0.226,0.25,136.4
noabs,EMG+NIRS,lt1,14,93,5.6971,5.851,30.0,5.851,5.9752,6.1456,6.7525,-0.186,0.672,180.6
noabs,EMG+NIRS+HRV,lt1,14,101,5.6679,5.8251,30.0,5.8251,5.9517,6.125,6.7366,-0.174,0.732,220.2
