variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG,lt1,S001,3.7778,0.543
with_abs,EMG,lt1,S002,3.634,-0.209
with_abs,EMG,lt1,S003,6.8589,-0.016
with_abs,EMG,lt1,S004,4.4034,-0.51
with_abs,EMG,lt1,S005,5.6875,0.07
with_abs,EMG,lt1,S006,2.0605,0.544
with_abs,EMG,lt1,S007,4.0398,0.238
with_abs,EMG,lt1,S008,3.2111,0.032
with_abs,EMG,lt1,S009,8.2378,-0.291
with_abs,EMG,lt1,S010,5.4352,0.335
with_abs,EMG,lt1,S011,2.7725,0.512
with_abs,EMG,lt1,S012,0.9147,0.913
with_abs,EMG,lt1,S013,2.0888,0.852
with_abs,EMG,lt1,S014,3.9,0.316
with_abs,EMG,lt1,S016,2.6454,0.46
with_abs,EMG,lt1,S017,2.0851,0.77
with_abs,EMG,lt1,S018,1.4245,0.885
with_abs,EMG,lt1,S019,4.7053,0.524
with_abs,EMG,lt2,S001,2.867,0.677
with_abs,EMG,lt2,S002,6.7944,-2.937
with_abs,EMG,lt2,S003,6.1537,0.197
with_abs,EMG,lt2,S004,2.6959,0.337
with_abs,EMG,lt2,S005,10.0129,-2.324
with_abs,EMG,lt2,S006,3.3796,-0.451
with_abs,EMG,lt2,S007,2.3303,-0.503
with_abs,EMG,lt2,S008,2.3123,0.489
with_abs,EMG,lt2,S009,6.526,0.127
with_abs,EMG,lt2,S010,4.513,0.437
with_abs,EMG,lt2,S011,2.4093,0.624
with_abs,EMG,lt2,S012,2.8748,0.324
with_abs,EMG,lt2,S013,5.3179,0.138
with_abs,EMG,lt2,S014,1.8767,0.813
with_abs,EMG,lt2,S016,1.9935,0.748
with_abs,EMG,lt2,S017,1.2907,0.893
with_abs,EMG,lt2,S018,3.0321,-2.403
with_abs,EMG,lt2,S019,4.687,0.516
with_abs,EMG+NIRS,lt1,S001,4.4157,0.35
with_abs,EMG+NIRS,lt1,S002,6.6059,-2.46
with_abs,EMG+NIRS,lt1,S003,7.7094,-0.241
with_abs,EMG+NIRS,lt1,S004,4.8179,-0.553
with_abs,EMG+NIRS,lt1,S005,6.8913,-0.307
with_abs,EMG+NIRS,lt1,S006,2.2327,0.451
with_abs,EMG+NIRS,lt1,S007,3.5893,0.51
with_abs,EMG+NIRS,lt1,S008,2.0121,0.628
with_abs,EMG+NIRS,lt1,S009,4.3781,0.611
with_abs,EMG+NIRS,lt1,S010,4.8032,0.47
with_abs,EMG+NIRS,lt1,S011,2.1929,0.705
with_abs,EMG+NIRS,lt1,S012,3.6598,-0.187
with_abs,EMG+NIRS,lt1,S013,1.7736,0.873
with_abs,EMG+NIRS,lt1,S014,2.4271,0.752
with_abs,EMG+NIRS,lt1,S016,2.0729,0.735
with_abs,EMG+NIRS,lt1,S017,3.9139,0.386
with_abs,EMG+NIRS,lt1,S018,2.2005,0.772
with_abs,EMG+NIRS,lt1,S019,5.1158,0.464
with_abs,EMG+NIRS,lt2,S001,3.2834,0.635
with_abs,EMG+NIRS,lt2,S002,2.8344,0.157
with_abs,EMG+NIRS,lt2,S003,5.8009,0.223
with_abs,EMG+NIRS,lt2,S004,1.7177,0.777
with_abs,EMG+NIRS,lt2,S005,7.8627,-1.135
with_abs,EMG+NIRS,lt2,S006,4.3599,-1.725
with_abs,EMG+NIRS,lt2,S007,2.3022,-0.233
with_abs,EMG+NIRS,lt2,S008,1.2257,0.862
with_abs,EMG+NIRS,lt2,S009,4.1073,0.64
with_abs,EMG+NIRS,lt2,S010,2.2898,0.868
with_abs,EMG+NIRS,lt2,S011,6.8395,-1.906
with_abs,EMG+NIRS,lt2,S012,2.5248,0.488
with_abs,EMG+NIRS,lt2,S013,2.6537,0.741
with_abs,EMG+NIRS,lt2,S014,3.0222,0.607
with_abs,EMG+NIRS,lt2,S016,2.548,0.62
with_abs,EMG+NIRS,lt2,S017,2.2323,0.739
with_abs,EMG+NIRS,lt2,S018,2.0418,-0.263
with_abs,EMG+NIRS,lt2,S019,5.6308,0.294
with_abs,EMG+NIRS+HRV,lt1,S001,3.9389,0.486
with_abs,EMG+NIRS+HRV,lt1,S002,4.3117,-0.489
with_abs,EMG+NIRS+HRV,lt1,S003,5.8293,0.278
with_abs,EMG+NIRS+HRV,lt1,S004,1.513,0.796
with_abs,EMG+NIRS+HRV,lt1,S005,3.7804,0.568
with_abs,EMG+NIRS+HRV,lt1,S006,0.8049,0.92
with_abs,EMG+NIRS+HRV,lt1,S007,3.0716,0.558
with_abs,EMG+NIRS+HRV,lt1,S008,1.4805,0.759
with_abs,EMG+NIRS+HRV,lt1,S009,5.8098,0.485
with_abs,EMG+NIRS+HRV,lt1,S010,4.7343,0.523
with_abs,EMG+NIRS+HRV,lt1,S011,1.9917,0.747
with_abs,EMG+NIRS+HRV,lt1,S012,3.6724,-0.161
with_abs,EMG+NIRS+HRV,lt1,S013,1.7997,0.882
with_abs,EMG+NIRS+HRV,lt1,S014,1.1737,0.934
with_abs,EMG+NIRS+HRV,lt1,S016,2.4728,0.576
with_abs,EMG+NIRS+HRV,lt1,S017,3.3872,0.56
with_abs,EMG+NIRS+HRV,lt1,S018,1.0593,0.926
with_abs,EMG+NIRS+HRV,lt1,S019,3.2232,0.763
with_abs,EMG+NIRS+HRV,lt2,S001,2.5626,0.744
with_abs,EMG+NIRS+HRV,lt2,S002,1.3702,0.837
with_abs,EMG+NIRS+HRV,lt2,S003,5.6452,0.299
with_abs,EMG+NIRS+HRV,lt2,S004,1.4496,0.835
with_abs,EMG+NIRS+HRV,lt2,S005,3.3022,0.62
with_abs,EMG+NIRS+HRV,lt2,S006,1.919,0.575
with_abs,EMG+NIRS+HRV,lt2,S007,2.8654,-0.294
with_abs,EMG+NIRS+HRV,lt2,S008,1.2559,0.841
with_abs,EMG+NIRS+HRV,lt2,S009,3.1638,0.781
with_abs,EMG+NIRS+HRV,lt2,S010,3.1076,0.774
