target,feature_set,variant,model_a,model_b,n_paired,median_a,median_b,median_diff,p,underpowered,p_holm,winner
lt1,EMG,with_abs,v0102,v0106a,18,5.07,4.7686,0.9599,0.0159,False,0.5098,n.s.
lt1,EMG,with_abs,v0102,v0105,18,5.07,4.87,0.3955,0.0182,False,0.5653,n.s.
lt1,EMG,with_abs,v0101,v0102,18,4.4756,5.07,-0.7719,0.0208,False,0.6244,n.s.
lt1,EMG,with_abs,v0102,v0106b,18,5.07,4.6393,0.7396,0.0208,False,0.6244,n.s.
lt1,EMG,with_abs,v0103,v0106a,18,5.0979,4.7686,0.5573,0.0268,False,0.7517,n.s.
lt1,EMG,with_abs,v0103,v0104,18,5.0979,4.4799,0.2902,0.0342,False,0.9243,n.s.
lt1,EMG,with_abs,v0101,v0104,18,4.4756,4.4799,-0.0308,0.9323,False,1.0,n.s.
lt1,EMG,with_abs,v0101,v0105,18,4.4756,4.87,-0.2724,0.0665,False,1.0,n.s.
lt1,EMG,with_abs,v0101,v0106a,18,4.4756,4.7686,0.2325,0.5226,False,1.0,n.s.
lt1,EMG,with_abs,v0101,v0106b,18,4.4756,4.6393,-0.0713,0.865,False,1.0,n.s.
lt1,EMG,with_abs,v0101,v0106c,18,4.4756,4.7592,-0.1212,0.2121,False,1.0,n.s.
lt1,EMG,with_abs,v0101,v0107,18,4.4756,4.8531,0.6243,0.8317,False,1.0,n.s.
lt1,EMG,with_abs,v0102,v0103,18,5.07,5.0979,0.3842,0.0987,False,1.0,n.s.
lt1,EMG,with_abs,v0102,v0107,18,5.07,4.8531,0.8958,0.1815,False,1.0,n.s.
lt1,EMG,with_abs,v0103,v0105,18,5.0979,4.87,-0.0718,0.8986,False,1.0,n.s.
lt1,EMG,with_abs,v0103,v0106b,18,5.0979,4.6393,0.11,0.3247,False,1.0,n.s.
lt1,EMG,with_abs,v0103,v0107,18,5.0979,4.8531,0.7592,0.4683,False,1.0,n.s.
lt1,EMG,with_abs,v0104,v0105,18,4.4799,4.87,-0.2074,0.1297,False,1.0,n.s.
lt1,EMG,with_abs,v0104,v0106a,18,4.4799,4.7686,-0.0115,0.8986,False,1.0,n.s.
lt1,EMG,with_abs,v0104,v0106b,18,4.4799,4.6393,0.1542,0.7987,False,1.0,n.s.
lt1,EMG,with_abs,v0104,v0106c,18,4.4799,4.7592,-0.1113,0.3927,False,1.0,n.s.
lt1,EMG,with_abs,v0104,v0107,18,4.4799,4.8531,0.4808,0.865,False,1.0,n.s.
lt1,EMG,with_abs,v0105,v0106a,18,4.87,4.7686,0.2336,0.0737,False,1.0,n.s.
lt1,EMG,with_abs,v0105,v0106b,18,4.87,4.6393,0.421,0.0898,False,1.0,n.s.
lt1,EMG,with_abs,v0105,v0106c,18,4.87,4.7592,0.2067,0.0539,False,1.0,n.s.
lt1,EMG,with_abs,v0105,v0107,18,4.87,4.8531,0.6856,0.4951,False,1.0,n.s.
lt1,EMG,with_abs,v0106a,v0106b,18,4.7686,4.6393,0.001,0.7019,False,1.0,n.s.
lt1,EMG,with_abs,v0106a,v0106c,18,4.7686,4.7592,-0.1435,0.1815,False,1.0,n.s.
lt1,EMG,with_abs,v0106a,v0107,18,4.7686,4.8531,0.1056,0.9323,False,1.0,n.s.
lt1,EMG,with_abs,v0106b,v0106c,18,4.6393,4.7592,0.0669,0.7019,False,1.0,n.s.
lt1,EMG,with_abs,v0106b,v0107,18,4.6393,4.8531,0.33,0.865,False,1.0,n.s.
lt1,EMG,with_abs,v0106c,v0107,18,4.7592,4.8531,0.5773,0.7337,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0011,v0102,18,2.3636,5.4794,-2.6727,0.0,False,0.0003,v0011
lt1,EMG+NIRS,noabs,v0011,v0105,18,2.3636,4.835,-2.1346,0.0,False,0.0003,v0011
lt1,EMG+NIRS,noabs,v0011,v0101,18,2.3636,4.5415,-1.6685,0.0,False,0.0007,v0011
lt1,EMG+NIRS,noabs,v0011,v0103,18,2.3636,5.0076,-2.0761,0.0,False,0.0007,v0011
lt1,EMG+NIRS,noabs,v0011,v0104,18,2.3636,4.2898,-1.4657,0.0,False,0.0007,v0011
lt1,EMG+NIRS,noabs,v0011,v0106a,18,2.3636,4.7944,-1.5629,0.0,False,0.0007,v0011
lt1,EMG+NIRS,noabs,v0011,v0106c,18,2.3636,4.7084,-1.7052,0.0,False,0.0007,v0011
lt1,EMG+NIRS,noabs,v0101,v0103,18,4.5415,5.0076,-0.3463,0.0,False,0.0007,v0101
lt1,EMG+NIRS,noabs,v0011,v0106b,18,2.3636,4.7754,-1.6084,0.0001,False,0.004,v0011
lt1,EMG+NIRS,noabs,v0102,v0104,18,5.4794,4.2898,1.0609,0.0003,False,0.0118,v0104
lt1,EMG+NIRS,noabs,v0102,v0106b,18,5.4794,4.7754,1.2169,0.0005,False,0.0187,v0106b
lt1,EMG+NIRS,noabs,v0104,v0105,18,4.2898,4.835,-0.5173,0.0013,False,0.0438,v0104
lt1,EMG+NIRS,noabs,v0103,v0104,18,5.0076,4.2898,0.4934,0.0028,False,0.0927,n.s.
lt1,EMG+NIRS,noabs,v0103,v0106c,18,5.0076,4.7084,0.2597,0.0028,False,0.0927,n.s.
lt1,EMG+NIRS,noabs,v0102,v0106a,18,5.4794,4.7944,0.865,0.0034,False,0.1043,n.s.
lt1,EMG+NIRS,noabs,v0103,v0106a,18,5.0076,4.7944,0.3141,0.004,False,0.1202,n.s.
lt1,EMG+NIRS,noabs,v0101,v0102,18,4.5415,5.4794,-0.7666,0.0066,False,0.1907,n.s.
lt1,EMG+NIRS,noabs,v0102,v0106c,18,5.4794,4.7084,0.6493,0.0077,False,0.2153,n.s.
lt1,EMG+NIRS,noabs,v0105,v0106b,18,4.835,4.7754,0.5636,0.0077,False,0.2153,n.s.
lt1,EMG+NIRS,noabs,v0105,v0106a,18,4.835,4.7944,0.3128,0.0139,False,0.3606,n.s.
lt1,EMG+NIRS,noabs,v0105,v0106c,18,4.835,4.7084,0.2421,0.0139,False,0.3606,n.s.
lt1,EMG+NIRS,noabs,v0011,v0107,18,2.3636,4.0585,-0.6883,0.0159,False,0.3823,n.s.
lt1,EMG+NIRS,noabs,v0102,v0105,18,5.4794,4.835,0.3867,0.0159,False,0.3823,n.s.
lt1,EMG+NIRS,noabs,v0103,v0106b,18,5.0076,4.7754,0.596,0.0268,False,0.5907,n.s.
lt1,EMG+NIRS,noabs,v0101,v0105,18,4.5415,4.835,-0.4414,0.0342,False,0.7189,n.s.
lt1,EMG+NIRS,noabs,v0104,v0106c,18,4.2898,4.7084,-0.3393,0.0432,False,0.8633,n.s.
lt1,EMG+NIRS,noabs,v0101,v0104,18,4.5415,4.2898,0.1246,0.1815,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0101,v0106a,18,4.5415,4.7944,-0.007,0.8986,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0101,v0106b,18,4.5415,4.7754,0.1321,0.3927,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0101,v0106c,18,4.5415,4.7084,-0.1494,0.1674,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0101,v0107,18,4.5415,4.0585,0.736,0.6397,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0102,v0103,18,5.4794,5.0076,0.5283,0.0665,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0102,v0107,18,5.4794,4.0585,2.1683,0.1084,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0103,v0105,18,5.0076,4.835,-0.0401,0.9661,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0103,v0107,18,5.0076,4.0585,1.2096,0.4423,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0104,v0106a,18,4.2898,4.7944,-0.1869,0.4951,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0104,v0106b,18,4.2898,4.7754,0.0246,0.7337,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0104,v0107,18,4.2898,4.0585,0.8851,0.865,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0105,v0107,18,4.835,4.0585,1.5009,0.5226,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0106a,v0106b,18,4.7944,4.7754,0.2372,0.2462,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0106a,v0106c,18,4.7944,4.7084,-0.1352,0.1187,False,1.0,n.s.
