target,feature_set,variant,version,sig_wins,sig_losses,net
lt2,EMG+NIRS+HRV,noabs,v0102,0,1,-1
lt2,EMG+NIRS+HRV,noabs,v0105,0,1,-1
lt2,EMG+NIRS+HRV,noabs,v0106c,1,2,-1
lt2,EMG+NIRS+HRV,noabs,v0101,1,3,-2
lt2,EMG+NIRS+HRV,noabs,v0103,0,5,-5
lt2,EMG+NIRS+HRV,with_abs,v0011,8,0,8
lt2,EMG+NIRS+HRV,with_abs,v0107,4,0,4
lt2,EMG+NIRS+HRV,with_abs,v0104,3,1,2
lt2,EMG+NIRS+HRV,with_abs,v0106a,3,1,2
lt2,EMG+NIRS+HRV,with_abs,v0102,0,1,-1
lt2,EMG+NIRS+HRV,with_abs,v0106b,0,1,-1
lt2,EMG+NIRS+HRV,with_abs,v0105,0,2,-2
lt2,EMG+NIRS+HRV,with_abs,v0106c,2,4,-2
lt2,EMG+NIRS+HRV,with_abs,v0101,1,5,-4
lt2,EMG+NIRS+HRV,with_abs,v0103,0,6,-6
lt2,NIRS,noabs,v0106b,7,0,7
lt2,NIRS,noabs,v0104,2,1,1
lt2,NIRS,noabs,v0106a,2,1,1
lt2,NIRS,noabs,v0106c,2,1,1
lt2,NIRS,noabs,v0105,1,1,0
lt2,NIRS,noabs,v0107,0,0,0
lt2,NIRS,noabs,v0102,0,1,-1
lt2,NIRS,noabs,v0101,1,4,-3
lt2,NIRS,noabs,v0103,0,6,-6
lt2,NIRS,with_abs,v0106b,6,0,6
lt2,NIRS,with_abs,v0106a,2,1,1
lt2,NIRS,with_abs,v0106c,2,1,1
lt2,NIRS,with_abs,v0011,0,0,0
lt2,NIRS,with_abs,v0105,0,0,0
lt2,NIRS,with_abs,v0107,0,0,0
lt2,NIRS,with_abs,v0102,0,1,-1
lt2,NIRS,with_abs,v0104,0,1,-1
lt2,NIRS,with_abs,v0101,0,3,-3
lt2,NIRS,with_abs,v0103,0,3,-3
