version,family,variant,target,feature_set,inner_model,raw_mae_min,kalman_mae_min,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,n_windows,loso_n_subjects,loso_mae_mean,loso_mae_median,loso_mae_std,loso_mae_iqr,loso_r2_median,loso_neg_r2_share,gap_mae,kalman_gain,best_sigma_obs
v0106c,wavelet,with_abs,lt2,EMG+NIRS,,5.6598,5.8258,5.8258,5.9576,6.1363,6.7664,-0.19,0.372,3634,17,5.1541,4.7558,1.8045,2.2674,-0.324,0.765,-0.5057,-0.166,30.0
v0106c,wavelet,with_abs,lt1,EMG+NIRS+HRV,,5.3693,5.3395,5.3446,5.3395,5.348,5.4729,0.026,0.519,4130,18,4.9335,4.6372,1.6627,2.7851,-0.015,0.611,-0.4358,0.0298,50.0
v0106c,wavelet,with_abs,lt2,EMG+NIRS+HRV,,5.5644,5.7363,5.7363,5.8736,6.06,6.7117,-0.164,0.684,3634,17,5.0721,4.7608,1.7692,2.076,-0.291,0.765,-0.4923,-0.1719,30.0
v0106c,wavelet,noabs,lt1,EMG,,5.419,5.3736,5.3849,5.3736,5.3748,5.4803,0.01,0.418,4130,18,4.9943,4.705,1.6418,2.6965,-0.036,0.722,-0.4247,0.0454,50.0
v0106c,wavelet,noabs,lt2,EMG,,5.6392,5.8036,5.8036,5.9347,6.1129,6.742,-0.184,0.457,3634,17,5.1404,4.7149,1.7881,2.3155,-0.327,0.765,-0.4988,-0.1644,30.0
v0106c,wavelet,noabs,lt1,NIRS,,5.3605,5.3063,5.3222,5.3082,5.3063,5.4024,0.016,0.557,4130,18,4.9163,4.5293,1.7082,2.9814,0.008,0.444,-0.4442,0.0542,75.0
v0106c,wavelet,noabs,lt2,NIRS,,5.7181,5.8938,5.8938,6.0329,6.2212,6.8813,-0.221,0.384,3634,17,5.2219,4.9202,1.8063,2.1259,-0.37,0.824,-0.4962,-0.1757,30.0
v0106c,wavelet,noabs,lt1,EMG+NIRS,,5.4059,5.3665,5.3757,5.3665,5.37,5.4801,0.013,0.453,4130,18,4.9805,4.7084,1.6394,2.757,-0.014,0.556,-0.4254,0.0394,50.0
v0106c,wavelet,noabs,lt2,EMG+NIRS,,5.625,5.791,5.791,5.9231,6.1026,6.735,-0.177,0.514,3634,17,5.1282,4.6916,1.7776,2.186,-0.304,0.765,-0.4968,-0.166,30.0
v0106c,wavelet,noabs,lt1,EMG+NIRS+HRV,,5.3718,5.3393,5.3453,5.3393,5.3469,5.4702,0.026,0.489,4130,18,4.9414,4.6045,1.6463,2.7504,-0.022,0.667,-0.4304,0.0325,50.0
v0106c,wavelet,noabs,lt2,EMG+NIRS+HRV,,5.5898,5.7596,5.7596,5.8948,6.0782,6.7223,-0.171,0.58,3634,17,5.095,4.7587,1.774,2.1499,-0.29,0.765,-0.4948,-0.1698,30.0
v0107,ensemble,with_abs,lt1,EMG,ensemble,5.6562,5.6623,5.6623,5.724,5.8122,6.1421,-0.559,0.428,4130,18,5.1507,4.8531,3.4972,3.9575,0.068,0.5,-0.5055,-0.0061,30.0
v0107,ensemble,with_abs,lt2,EMG,ensemble,5.3482,5.3113,5.3113,5.3284,5.3713,5.5657,-0.913,0.538,3634,17,4.8069,3.8425,2.9898,4.9036,0.092,0.471,-0.5413,0.0369,30.0
v0107,ensemble,with_abs,lt1,NIRS,ensemble,4.9151,4.9542,4.9542,5.0333,5.1482,5.5397,0.111,0.593,4130,18,4.7027,3.8006,3.0444,2.9735,0.342,0.278,-0.2124,-0.0391,30.0
v0107,ensemble,with_abs,lt2,NIRS,ensemble,5.1268,5.1822,5.1822,5.255,5.3484,5.6945,-0.114,0.529,3634,17,4.8907,4.063,3.305,3.6649,0.214,0.353,-0.2361,-0.0554,30.0
v0107,ensemble,with_abs,lt1,EMG+NIRS,ensemble,5.8264,5.8049,5.8049,5.8375,5.877,6.0145,-0.637,0.51,4130,18,5.3723,4.5403,3.1205,3.9605,0.268,0.389,-0.4541,0.0215,30.0
v0107,ensemble,with_abs,lt2,EMG+NIRS,ensemble,5.1707,5.1461,5.1461,5.1736,5.2123,5.3747,-0.255,0.615,3634,17,4.8495,4.2825,2.4679,3.3867,-0.105,0.529,-0.3212,0.0246,30.0
v0107,ensemble,with_abs,lt1,EMG+NIRS+HRV,ensemble,4.4935,4.5385,4.5385,4.6126,4.7392,5.2106,0.134,0.686,4130,18,4.0376,3.6185,2.9463,2.6319,0.567,0.333,-0.4559,-0.045,30.0
v0107,ensemble,with_abs,lt2,EMG+NIRS+HRV,ensemble,2.9603,3.1046,3.1046,3.2178,3.3611,3.9867,0.568,0.848,3634,17,2.9567,2.3839,1.9804,1.3234,0.704,0.176,-0.0036,-0.1443,30.0
v0107,ensemble,noabs,lt1,EMG,ensemble,5.6712,5.6779,5.6779,5.7399,5.8275,6.156,-0.564,0.427,4130,18,5.1706,4.8255,3.5039,4.0604,0.051,0.5,-0.5006,-0.0067,30.0
v0107,ensemble,noabs,lt2,EMG,ensemble,5.357,5.3254,5.3254,5.343,5.3821,5.5652,-0.868,0.534,3634,17,4.8242,3.7184,3.0048,4.7927,0.088,0.471,-0.5328,0.0316,30.0
v0107,ensemble,noabs,lt1,NIRS,ensemble,4.6622,4.7261,4.7261,4.8123,4.9411,5.4069,0.177,0.613,4130,18,4.2714,3.6158,2.9038,2.2331,0.512,0.222,-0.3908,-0.0639,30.0
v0107,ensemble,noabs,lt2,NIRS,ensemble,4.5032,4.5506,4.5506,4.6385,4.7508,5.1272,0.239,0.629,3634,17,4.2248,3.807,2.3694,3.2132,0.323,0.235,-0.2784,-0.0474,30.0
v0107,ensemble,noabs,lt1,EMG+NIRS,ensemble,5.1798,5.2054,5.2054,5.2722,5.3571,5.6262,-0.562,0.587,4130,18,4.6654,4.0585,3.1046,2.8957,0.396,0.389,-0.5144,-0.0256,30.0
v0107,ensemble,noabs,lt2,EMG+NIRS,ensemble,4.5283,4.5449,4.5449,4.6101,4.6861,4.9042,-0.069,0.733,3634,17,4.2054,3.8489,2.1787,2.2478,0.136,0.412,-0.3229,-0.0166,30.0
v0107,ensemble,noabs,lt1,EMG+NIRS+HRV,ensemble,3.7709,3.8112,3.8112,3.9049,4.0462,4.6108,0.166,0.78,4130,18,3.3399,2.7131,2.4722,1.9614,0.648,0.278,-0.431,-0.0403,30.0
v0107,ensemble,noabs,lt2,EMG+NIRS+HRV,ensemble,2.9346,3.055,3.055,3.1915,3.3652,3.9597,0.369,0.869,3634,17,2.8759,2.5242,1.7883,1.001,0.693,0.176,-0.0587,-0.1204,30.0
v0011,linear,with_abs,lt1,EMG,"GBM(n=50,d=2)",3.7667,3.8528,3.8528,3.9433,4.0855,4.6229,0.437,0.71,4130,18,3.3282,2.9425,1.9975,1.999,0.553,0.056,-0.4385,-0.0861,30.0
v0011,linear,with_abs,lt2,EMG,"SVR(C=10,ε=0.1)",3.8661,3.9506,3.9506,4.0516,4.2017,4.7121,0.419,0.669,3651,18,3.2919,2.7843,1.9421,2.7767,0.44,0.111,-0.5742,-0.0845,30.0
v0011,linear,with_abs,lt1,NIRS,"GBM(n=50,d=3)",4.1421,4.1327,4.1327,4.2097,4.3304,4.7886,0.371,0.719,4130,18,3.8744,3.6161,2.0263,1.66,0.309,0.333,-0.2677,0.0094,30.0
v0011,linear,with_abs,lt2,NIRS,"GBM(n=50,d=2)",4.2199,4.2895,4.2895,4.389,4.5214,4.953,0.333,0.615,3651,18,3.9231,3.4477,1.9577,1.3992,0.054,0.389,-0.2968,-0.0696,30.0
v0011,linear,with_abs,lt1,HRV,Huber(ε=1.1),4.0142,4.1424,4.1424,4.2592,4.426,4.9938,0.379,0.654,4130,18,3.6084,3.5103,2.0107,1.6456,0.401,0.167,-0.4058,-0.1282,30.0
v0011,linear,with_abs,lt2,HRV,Ridge(α=1000),2.2468,2.504,2.504,2.693,2.9204,3.6301,0.817,0.911,3651,18,2.2086,1.9025,1.2199,0.9744,0.774,0.056,-0.0382,-0.2572,30.0
v0011,linear,with_abs,lt1,EMG+NIRS,"SVR(C=100,ε=1.0)",3.5172,3.5886,3.5886,3.6812,3.8266,4.377,0.52,0.745,4130,18,3.1089,2.112,1.8667,3.2543,0.597,0.056,-0.4083,-0.0714,30.0
v0011,linear,with_abs,lt2,EMG+NIRS,"SVR(C=10,ε=1.0)",3.7412,3.8493,3.8493,3.9627,4.115,4.6383,0.502,0.698,3651,18,3.2541,2.8964,1.735,2.5596,0.52,0.167,-0.4871,-0.1081,30.0
v0011,linear,with_abs,lt1,EMG+NIRS+HRV,"SVR(C=100,ε=1.0)",3.2867,3.3515,3.3515,3.4536,3.6158,4.2155,0.574,0.791,4130,18,2.8469,2.2293,1.9752,1.9318,0.762,0.056,-0.4398,-0.0648,30.0
v0011,linear,with_abs,lt2,EMG+NIRS+HRV,"EN(α=1.0,l1=0.9)",2.2835,2.4817,2.4817,2.6398,2.8427,3.4894,0.825,0.909,3651,18,2.1783,1.914,1.0854,0.8443,0.809,0.056,-0.1052,-0.1982,30.0
v0011,linear,noabs,lt1,EMG,"GBM(n=50,d=2)",3.7667,3.8528,3.8528,3.9433,4.0855,4.6229,0.437,0.71,4130,18,3.3282,2.9425,1.9975,1.999,0.553,0.056,-0.4385,-0.0861,30.0
v0011,linear,noabs,lt2,EMG,"SVR(C=10,ε=0.1)",3.8661,3.9506,3.9506,4.0516,4.2017,4.7121,0.419,0.669,3651,18,3.2919,2.7843,1.9421,2.7767,0.44,0.111,-0.5742,-0.0845,30.0
v0011,linear,noabs,lt1,NIRS,"GBM(n=50,d=3)",3.9978,4.0737,4.0737,4.193,4.3557,4.8685,0.444,0.736,4130,18,3.8744,3.6161,2.0263,1.66,0.309,0.333,-0.1234,-0.0759,30.0
v0011,linear,noabs,lt2,NIRS,"GBM(n=50,d=2)",3.874,3.8788,3.8788,3.9801,4.1443,4.6981,0.465,0.724,3651,18,3.9231,3.4477,1.9577,1.3992,0.054,0.389,0.0491,-0.0048,30.0
v0011,linear,noabs,lt1,HRV,Huber(ε=1.1),4.0095,4.1097,4.1097,4.2224,4.3824,4.9678,0.391,0.665,4130,18,3.6084,3.5103,2.0107,1.6456,0.401,0.167,-0.4011,-0.1002,30.0
v0011,linear,noabs,lt2,HRV,Ridge(α=1000),2.8409,2.9696,2.9696,3.0938,3.2622,3.8652,0.68,0.853,3651,18,2.2086,1.9025,1.2199,0.9744,0.774,0.056,-0.6323,-0.1287,30.0
v0011,linear,noabs,lt1,EMG+NIRS,"SVR(C=100,ε=1.0)",3.6416,3.7108,3.7108,3.8109,3.9655,4.5293,0.489,0.728,4130,18,3.1089,2.112,1.8667,3.2543,0.597,0.056,-0.5327,-0.0692,30.0
v0011,linear,noabs,lt2,EMG+NIRS,"SVR(C=10,ε=1.0)",3.5644,3.6695,3.6695,3.778,3.923,4.4257,0.545,0.727,3651,18,3.2541,2.8964,1.735,2.5596,0.52,0.167,-0.3103,-0.1051,30.0
v0011,linear,noabs,lt1,EMG+NIRS+HRV,"SVR(C=100,ε=1.0)",3.2626,3.3112,3.3112,3.4066,3.5676,4.2299,0.584,0.792,4130,18,2.8469,2.2293,1.9752,1.9318,0.762,0.056,-0.4157,-0.0486,30.0
v0011,linear,noabs,lt2,EMG+NIRS+HRV,"EN(α=1.0,l1=0.9)",2.7187,2.8169,2.8169,2.9499,3.1271,3.7907,0.584,0.883,3651,18,2.1783,1.914,1.0854,0.8443,0.809,0.056,-0.5404,-0.0982,30.0
