version,family,variant,target,feature_set,inner_model,raw_mae_min,kalman_mae_min,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,n_windows,loso_n_subjects,loso_mae_mean,loso_mae_median,loso_mae_std,loso_mae_iqr,loso_r2_median,loso_neg_r2_share,gap_mae,kalman_gain,best_sigma_obs
v0102,tcn,noabs,lt2,NIRS,,5.6766,5.8092,5.8092,5.9262,6.0929,6.698,-0.166,0.173,3553,16,5.2675,5.1376,1.5696,2.8917,-0.323,1.0,-0.4091,-0.1326,30.0
v0102,tcn,noabs,lt1,EMG+NIRS,,6.0815,6.0308,6.0404,6.0308,6.0432,6.2224,-0.208,-0.108,4130,18,5.6416,5.4794,1.7168,2.653,-0.505,1.0,-0.4399,0.0507,50.0
v0102,tcn,noabs,lt2,EMG+NIRS,,5.9054,6.0198,6.0198,6.1218,6.2718,6.8375,-0.193,0.118,3553,16,5.5693,5.5145,1.5402,1.5739,-0.539,0.875,-0.3361,-0.1144,30.0
v0102,tcn,noabs,lt1,EMG+NIRS+HRV,,6.0882,5.9863,6.0183,5.9913,5.9863,6.1373,-0.226,-0.155,4130,18,5.6495,5.6429,1.715,2.6118,-0.519,1.0,-0.4387,0.1019,75.0
v0102,tcn,noabs,lt2,EMG+NIRS+HRV,,5.466,5.6288,5.6288,5.7652,5.9507,6.5795,-0.004,0.364,3553,16,5.2741,5.0861,1.24,1.9786,-0.134,0.812,-0.1919,-0.1628,30.0
v0103,wavelet,with_abs,lt1,EMG,,5.6744,5.4147,5.5759,5.5197,5.4662,5.4147,-0.107,0.217,4130,18,5.219,5.0979,1.7931,2.9288,-0.068,0.778,-0.4554,0.2597,150.0
v0103,wavelet,with_abs,lt2,EMG,,6.1021,6.3164,6.3164,6.4839,6.7074,7.4652,-0.391,0.257,3634,17,5.6162,4.9168,1.8838,2.1203,-0.618,0.882,-0.4859,-0.2143,30.0
v0103,wavelet,with_abs,lt1,NIRS,,5.65,5.4276,5.56,5.5091,5.4617,5.4276,-0.101,0.189,4130,18,5.1889,4.806,1.8232,2.9569,-0.026,0.611,-0.4611,0.2224,150.0
v0103,wavelet,with_abs,lt2,NIRS,,6.1011,6.3113,6.3113,6.4766,6.6984,7.4525,-0.386,0.452,3634,17,5.6359,4.9309,1.8313,2.2455,-0.625,0.941,-0.4652,-0.2102,30.0
v0103,wavelet,with_abs,lt1,EMG+NIRS,,5.7233,5.4464,5.6222,5.5635,5.5068,5.4464,-0.125,0.141,4130,18,5.268,5.0621,1.8001,2.8682,-0.073,0.833,-0.4553,0.2769,150.0
v0103,wavelet,with_abs,lt2,EMG+NIRS,,6.1589,6.3764,6.3764,6.5467,6.7743,7.5443,-0.415,0.269,3634,17,5.6851,4.856,1.8692,2.0103,-0.653,0.882,-0.4738,-0.2175,30.0
v0103,wavelet,with_abs,lt1,EMG+NIRS+HRV,,5.6338,5.387,5.5389,5.4847,5.4334,5.387,-0.092,0.408,4130,18,5.1878,5.0381,1.7784,2.7726,-0.076,0.667,-0.446,0.2468,150.0
v0103,wavelet,with_abs,lt2,EMG+NIRS+HRV,,6.1504,6.3809,6.3809,6.5591,6.7944,7.5757,-0.396,0.461,3634,17,5.6991,4.9153,1.8415,1.9193,-0.565,0.882,-0.4513,-0.2305,30.0
v0103,wavelet,noabs,lt1,EMG,,5.6982,5.4307,5.5994,5.5425,5.4879,5.4307,-0.118,0.168,4130,18,5.2415,5.2008,1.8065,2.8207,-0.06,0.667,-0.4567,0.2675,150.0
v0103,wavelet,noabs,lt2,EMG,,6.0697,6.2837,6.2837,6.451,6.6748,7.4366,-0.384,0.374,3634,17,5.5822,4.7798,1.8913,2.0094,-0.581,0.882,-0.4875,-0.214,30.0
v0103,wavelet,noabs,lt1,NIRS,,5.6558,5.4311,5.5653,5.514,5.4661,5.4311,-0.093,0.249,4130,18,5.2005,4.9366,1.7869,2.9506,-0.059,0.778,-0.4553,0.2247,150.0
v0103,wavelet,noabs,lt2,NIRS,,6.1543,6.3672,6.3672,6.5342,6.7577,7.5152,-0.413,0.41,3634,17,5.682,4.9608,1.8536,2.191,-0.612,0.882,-0.4723,-0.2129,30.0
v0103,wavelet,noabs,lt1,EMG+NIRS,,5.6806,5.407,5.5798,5.5216,5.4656,5.407,-0.111,0.339,4130,18,5.2282,5.0076,1.7862,2.7856,-0.089,0.722,-0.4524,0.2736,150.0
v0103,wavelet,noabs,lt2,EMG+NIRS,,6.1045,6.3184,6.3184,6.486,6.7104,7.4737,-0.393,0.476,3634,17,5.6242,4.8581,1.8581,2.1065,-0.599,0.882,-0.4803,-0.2139,30.0
