variant,feature_set,target,mono_weight,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt2,1.0,18,79,5.4056,5.4362,30.0,5.4362,5.4742,5.5389,5.8422,-0.015,0.088,304.4
noabs,EMG,lt2,1.0,18,79,5.3747,5.414,30.0,5.414,5.457,5.5268,5.8406,-0.005,0.125,328.7
with_abs,NIRS,lt2,1.0,18,18,5.4491,5.5119,30.0,5.5119,5.5704,5.6594,6.0303,-0.058,0.061,299.6
noabs,NIRS,lt2,1.0,18,14,5.3919,5.4525,30.0,5.4525,5.5104,5.5989,5.9694,-0.024,0.235,234.6
with_abs,EMG+NIRS,lt2,1.0,18,97,5.3663,5.399,30.0,5.399,5.4388,5.5061,5.8181,-0.004,0.198,242.8
noabs,EMG+NIRS,lt2,1.0,18,93,5.3987,5.4295,30.0,5.4295,5.467,5.5309,5.8312,-0.009,0.142,236.4
with_abs,EMG+NIRS+HRV,lt2,1.0,18,107,5.2931,5.3266,30.0,5.3266,5.3672,5.4356,5.751,0.029,0.342,247.9
noabs,EMG+NIRS+HRV,lt2,1.0,18,101,5.3885,5.4203,30.0,5.4203,5.4596,5.5262,5.8382,-0.008,0.098,234.8
