variant,feature_set,target,subject_id,mae_min,r2
noabs,EMG+NIRS,lt1,S016,2.8535,0.378
noabs,EMG+NIRS,lt1,S017,3.9451,0.267
noabs,EMG+NIRS,lt1,S018,3.0273,0.411
noabs,EMG+NIRS,lt1,S019,9.9591,-0.88
with_abs,EMG+NIRS+HRV,lt1,S001,5.4462,-1.076
with_abs,EMG+NIRS+HRV,lt1,S002,4.4697,-1.151
with_abs,EMG+NIRS+HRV,lt1,S003,9.6155,-0.804
with_abs,EMG+NIRS+HRV,lt1,S004,4.398,-0.65
with_abs,EMG+NIRS+HRV,lt1,S005,4.1721,0.304
with_abs,EMG+NIRS+HRV,lt1,S006,2.3498,0.153
with_abs,EMG+NIRS+HRV,lt1,S007,1.2627,0.871
with_abs,EMG+NIRS+HRV,lt1,S008,2.3944,0.467
with_abs,EMG+NIRS+HRV,lt1,S009,8.0937,0.061
with_abs,EMG+NIRS+HRV,lt1,S010,4.5343,0.515
with_abs,EMG+NIRS+HRV,lt1,S011,2.2382,0.466
with_abs,EMG+NIRS+HRV,lt1,S012,1.9434,0.674
with_abs,EMG+NIRS+HRV,lt1,S013,3.0971,0.466
with_abs,EMG+NIRS+HRV,lt1,S014,4.8436,0.075
with_abs,EMG+NIRS+HRV,lt1,S016,3.7948,0.068
with_abs,EMG+NIRS+HRV,lt1,S017,3.5028,0.462
with_abs,EMG+NIRS+HRV,lt1,S018,3.0594,0.391
with_abs,EMG+NIRS+HRV,lt1,S019,7.0673,0.011
noabs,EMG+NIRS+HRV,lt1,S001,5.7014,-1.158
noabs,EMG+NIRS+HRV,lt1,S002,3.3947,-0.121
noabs,EMG+NIRS+HRV,lt1,S003,9.7895,-0.79
noabs,EMG+NIRS+HRV,lt1,S004,4.06,-0.521
noabs,EMG+NIRS+HRV,lt1,S005,4.2584,0.443
noabs,EMG+NIRS+HRV,lt1,S006,2.0726,0.263
noabs,EMG+NIRS+HRV,lt1,S007,1.2071,0.88
noabs,EMG+NIRS+HRV,lt1,S008,2.218,0.52
noabs,EMG+NIRS+HRV,lt1,S009,6.054,0.443
noabs,EMG+NIRS+HRV,lt1,S010,4.0248,0.559
noabs,EMG+NIRS+HRV,lt1,S011,2.5662,0.358
noabs,EMG+NIRS+HRV,lt1,S012,2.1541,0.565
noabs,EMG+NIRS+HRV,lt1,S013,3.9106,0.023
noabs,EMG+NIRS+HRV,lt1,S014,3.2349,0.416
noabs,EMG+NIRS+HRV,lt1,S016,3.6514,0.102
noabs,EMG+NIRS+HRV,lt1,S017,2.9145,0.61
noabs,EMG+NIRS+HRV,lt1,S018,2.7367,0.404
noabs,EMG+NIRS+HRV,lt1,S019,7.2499,-0.073
