variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_5,kalman_10,kalman_15,kalman_20,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
noabs,EMG,lt2,18,79,5.3024,5.3005,10.0,5.3007,5.3005,5.3011,5.3027,5.3078,5.3248,5.3539,5.4886,0.086,0.471,141.7
noabs,NIRS,lt2,18,14,4.4009,4.4298,5.0,4.4298,4.4743,4.52,4.5657,4.655,4.8215,5.0078,5.4645,0.245,0.596,166.3
noabs,EMG+NIRS,lt2,18,93,4.8505,4.8582,5.0,4.8582,4.8722,4.8875,4.9036,4.9367,5.0042,5.0887,5.357,0.211,0.503,135.9
noabs,EMG+NIRS+HRV,lt2,18,101,4.1569,4.1675,5.0,4.1675,4.1853,4.2048,4.2256,4.2711,4.3736,4.5143,4.9698,0.381,0.613,150.9
