version,variant,target,feature_set,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,n_windows
v0104,with_abs,lt2,EMG+NIRS,5.3848,5.6248,30.0,5.6248,5.8099,6.0519,6.8385,-0.144,0.629,3634
v0104,with_abs,lt1,EMG+NIRS+HRV,4.7018,4.7081,30.0,4.7081,4.7295,4.775,5.0125,0.166,0.616,4130
v0104,with_abs,lt2,EMG+NIRS+HRV,5.2851,5.5304,30.0,5.5304,5.7191,5.9652,6.7633,-0.109,0.652,3634
v0104,noabs,lt1,EMG,4.6837,4.6941,30.0,4.6941,4.7153,4.7584,4.9965,0.173,0.632,4130
v0104,noabs,lt2,EMG,5.3612,5.5949,30.0,5.5949,5.7757,6.0124,6.7865,-0.123,0.612,3634
v0104,noabs,lt1,NIRS,5.0196,4.9914,50.0,4.9938,4.9914,5.0031,5.1224,0.097,0.606,4130
v0104,noabs,lt2,NIRS,5.7389,5.9144,30.0,5.9144,6.0531,6.2396,6.8916,-0.219,0.122,3634
v0104,noabs,lt1,EMG+NIRS,4.6515,4.6606,30.0,4.6606,4.6816,4.724,4.9509,0.185,0.622,4130
v0104,noabs,lt2,EMG+NIRS,5.3757,5.6085,30.0,5.6085,5.7883,6.0245,6.8007,-0.132,0.634,3634
v0104,noabs,lt1,EMG+NIRS+HRV,4.7044,4.7107,30.0,4.7107,4.7326,4.7783,5.0156,0.171,0.622,4130
v0104,noabs,lt2,EMG+NIRS+HRV,5.3066,5.5501,30.0,5.5501,5.7394,5.9874,6.7926,-0.116,0.655,3634
v0105,with_abs,lt1,EMG,5.5087,5.5149,30.0,5.5149,5.5339,5.5742,5.8054,-0.053,-0.404,4130
v0105,with_abs,lt2,EMG,5.4523,5.4787,30.0,5.4787,5.5147,5.5778,5.8791,-0.044,-0.09,3553
v0105,with_abs,lt1,NIRS,5.4614,5.4498,30.0,5.4498,5.4572,5.4841,5.6752,-0.029,-0.2,4130
v0105,with_abs,lt2,NIRS,5.4218,5.4811,30.0,5.4811,5.5379,5.6248,5.9904,-0.046,0.105,3553
v0105,with_abs,lt1,EMG+NIRS,5.4817,5.4897,30.0,5.4897,5.5103,5.5524,5.7867,-0.038,-0.343,4130
v0105,with_abs,lt2,EMG+NIRS,5.43,5.4547,30.0,5.4547,5.4886,5.5487,5.8418,-0.033,-0.087,3553
v0105,with_abs,lt1,EMG+NIRS+HRV,5.4997,5.5037,30.0,5.5037,5.523,5.5644,5.7989,-0.045,-0.406,4130
v0105,with_abs,lt2,EMG+NIRS+HRV,5.2792,5.3054,30.0,5.3054,5.3407,5.4034,5.7063,0.031,0.329,3553
v0105,noabs,lt1,EMG,5.519,5.523,30.0,5.523,5.541,5.58,5.8065,-0.057,-0.516,4130
v0105,noabs,lt2,EMG,5.4226,5.4514,30.0,5.4514,5.4884,5.5526,5.8578,-0.03,-0.031,3553
v0105,noabs,lt1,NIRS,5.4355,5.4212,30.0,5.4212,5.4258,5.4491,5.6308,-0.022,-0.164,4130
v0105,noabs,lt2,NIRS,5.4259,5.4904,30.0,5.4904,5.5504,5.6412,6.0187,-0.037,0.139,3553
v0105,noabs,lt1,EMG+NIRS,5.4776,5.4866,30.0,5.4866,5.5082,5.5522,5.7943,-0.04,-0.348,4130
v0105,noabs,lt2,EMG+NIRS,5.4029,5.4275,30.0,5.4275,5.4624,5.5245,5.8244,-0.021,-0.001,3553
v0105,noabs,lt1,EMG+NIRS+HRV,5.5039,5.5141,30.0,5.5141,5.5349,5.5765,5.81,-0.046,-0.382,4130
v0105,noabs,lt2,EMG+NIRS+HRV,5.3653,5.3903,30.0,5.3903,5.4252,5.4872,5.7872,-0.001,0.142,3553
v0106a,with_abs,lt1,EMG,5.1272,5.1086,50.0,5.1091,5.1086,5.1237,5.2714,0.082,0.501,4130
v0106a,with_abs,lt2,EMG,5.3226,5.5595,30.0,5.5595,5.7423,5.9825,6.7676,-0.12,0.655,3634
v0106a,with_abs,lt1,NIRS,5.0832,5.0515,50.0,5.0574,5.0515,5.0584,5.1687,0.106,0.613,4130
v0106a,with_abs,lt2,NIRS,5.7601,5.9528,30.0,5.9528,6.101,6.2993,6.9889,-0.243,0.248,3634
v0106a,with_abs,lt1,EMG+NIRS,5.1012,5.0738,50.0,5.0763,5.0738,5.0876,5.2343,0.095,0.52,4130
v0106a,with_abs,lt2,EMG+NIRS,5.369,5.6049,30.0,5.6049,5.7851,6.0193,6.7848,-0.128,0.65,3634
v0106a,with_abs,lt1,EMG+NIRS+HRV,5.0933,5.0768,30.0,5.0768,5.08,5.1014,5.267,0.089,0.508,4130
v0106a,with_abs,lt2,EMG+NIRS+HRV,5.2958,5.5354,30.0,5.5354,5.7207,5.9644,6.7636,-0.108,0.726,3634
v0106a,noabs,lt1,EMG,5.0714,5.0465,50.0,5.0483,5.0465,5.0607,5.2071,0.094,0.528,4130
v0106a,noabs,lt2,EMG,5.3168,5.5497,30.0,5.5497,5.7309,5.97,6.7569,-0.118,0.667,3634
v0106a,noabs,lt1,NIRS,5.0558,5.0214,50.0,5.0276,5.0214,5.0295,5.1534,0.105,0.559,4130
v0106a,noabs,lt2,NIRS,5.6787,5.8831,30.0,5.8831,6.0433,6.2558,6.9703,-0.215,0.235,3634
v0106a,noabs,lt1,EMG+NIRS,5.102,5.0722,50.0,5.077,5.0722,5.0833,5.2273,0.083,0.496,4130
v0106a,noabs,lt2,EMG+NIRS,5.3411,5.5792,30.0,5.5792,5.762,6.0001,6.779,-0.123,0.692,3634
v0106a,noabs,lt1,EMG+NIRS+HRV,5.1726,5.1464,50.0,5.1489,5.1464,5.1613,5.3171,0.067,0.467,4130
v0106a,noabs,lt2,EMG+NIRS+HRV,5.3252,5.5644,30.0,5.5644,5.7473,5.9873,6.7673,-0.112,0.675,3634
v0106b,with_abs,lt1,EMG,4.0358,4.0461,30.0,4.0461,4.0988,4.1939,4.5823,0.335,0.723,4130
v0106b,with_abs,lt2,EMG,4.3347,4.4622,30.0,4.4622,4.5736,4.7289,5.2705,0.35,0.626,3634
v0106b,with_abs,lt1,NIRS,5.0577,4.9956,75.0,5.0127,4.997,4.9956,5.1033,0.064,0.436,4130
v0106b,with_abs,lt2,NIRS,4.5845,4.7067,30.0,4.7067,4.8019,4.9277,5.3516,0.221,0.612,3634
v0106b,with_abs,lt1,EMG+NIRS,3.7922,3.8479,30.0,3.8479,3.9258,4.0486,4.5129,0.421,0.772,4130
v0106b,with_abs,lt2,EMG+NIRS,4.1395,4.2808,30.0,4.2808,4.4006,4.5634,5.1073,0.411,0.653,3634
v0106b,with_abs,lt1,EMG+NIRS+HRV,3.6956,3.775,30.0,3.775,3.8707,4.0126,4.5143,0.451,0.763,4130
v0106b,with_abs,lt2,EMG+NIRS+HRV,3.6963,3.8607,30.0,3.8607,3.995,4.1696,4.7354,0.529,0.734,3634
v0106b,noabs,lt1,EMG,4.0166,4.0378,30.0,4.0378,4.0955,4.1964,4.6007,0.346,0.726,4130
v0106b,noabs,lt2,EMG,4.3751,4.5055,30.0,4.5055,4.6193,4.7792,5.329,0.325,0.606,3634
v0106b,noabs,lt1,NIRS,4.9994,4.9381,50.0,4.9516,4.9381,4.9401,5.0573,0.082,0.495,4130
v0106b,noabs,lt2,NIRS,4.726,4.8522,30.0,4.8522,4.948,5.0745,5.5168,0.176,0.609,3634
v0106b,noabs,lt1,EMG+NIRS,3.9216,3.9635,30.0,3.9635,4.0315,4.1436,4.5773,0.384,0.749,4130
v0106b,noabs,lt2,EMG+NIRS,4.1288,4.2678,30.0,4.2678,4.3849,4.5442,5.0837,0.39,0.643,3634
v0106b,noabs,lt1,EMG+NIRS+HRV,3.8031,3.863,30.0,3.863,3.945,4.0717,4.5297,0.417,0.748,4130
v0106b,noabs,lt2,EMG+NIRS+HRV,3.6791,3.8492,30.0,3.8492,3.9836,4.159,4.7311,0.527,0.739,3634
v0106c,with_abs,lt1,EMG,5.1668,5.1587,30.0,5.1587,5.1663,5.1914,5.369,0.053,0.608,4130
v0106c,with_abs,lt2,EMG,5.5637,5.736,30.0,5.736,5.8734,6.0597,6.7113,-0.165,0.555,3634
v0106c,with_abs,lt1,NIRS,5.1933,5.175,50.0,5.1751,5.175,5.1894,5.3279,0.045,0.686,4130
v0106c,with_abs,lt2,NIRS,5.7216,5.8984,30.0,5.8984,6.0371,6.2238,6.8755,-0.22,0.346,3634
v0106c,with_abs,lt1,EMG+NIRS,5.1556,5.1493,30.0,5.1493,5.158,5.1843,5.3637,0.058,0.609,4130
v0106c,with_abs,lt2,EMG+NIRS,5.5776,5.75,30.0,5.75,5.8865,6.071,6.7158,-0.168,0.53,3634
v0106c,with_abs,lt1,EMG+NIRS+HRV,5.1619,5.1549,30.0,5.1549,5.164,5.1912,5.374,0.054,0.58,4130
v0106c,with_abs,lt2,EMG+NIRS+HRV,5.5418,5.717,30.0,5.717,5.856,6.0441,6.7004,-0.158,0.652,3634
v0106c,noabs,lt1,EMG,5.1628,5.156,30.0,5.156,5.1645,5.1908,5.3715,0.057,0.625,4130
v0106c,noabs,lt2,EMG,5.5639,5.7364,30.0,5.7364,5.8739,6.0602,6.7108,-0.166,0.583,3634
v0106c,noabs,lt1,NIRS,5.1981,5.1749,50.0,5.1768,5.1749,5.1879,5.3247,0.043,0.623,4130
v0106c,noabs,lt2,NIRS,5.7017,5.8819,30.0,5.8819,6.0238,6.215,6.8812,-0.219,0.414,3634
v0106c,noabs,lt1,EMG+NIRS,5.1721,5.163,30.0,5.163,5.1703,5.1949,5.3694,0.052,0.59,4130
v0106c,noabs,lt2,EMG+NIRS,5.5639,5.7368,30.0,5.7368,5.8738,6.0593,6.7072,-0.165,0.554,3634
v0106c,noabs,lt1,EMG+NIRS+HRV,5.1607,5.1535,30.0,5.1535,5.1623,5.1893,5.3711,0.058,0.625,4130
v0106c,noabs,lt2,EMG+NIRS+HRV,5.5506,5.725,30.0,5.725,5.8634,6.0508,6.7044,-0.162,0.614,3634
v0107,with_abs,lt1,EMG,2.8869,3.0168,30.0,3.0168,3.16,3.3706,4.1005,0.624,0.859,4130
v0107,with_abs,lt2,EMG,3.4146,3.5717,30.0,3.5717,3.7019,3.8781,4.4684,0.57,0.804,3634
v0107,with_abs,lt1,NIRS,4.6707,4.7214,30.0,4.7214,4.8106,4.9382,5.3608,0.166,0.625,4130
v0107,with_abs,lt2,NIRS,5.1271,5.1801,30.0,5.1801,5.2528,5.346,5.6923,-0.113,0.527,3634
v0107,with_abs,lt1,EMG+NIRS,3.2607,3.3587,30.0,3.3587,3.486,3.6594,4.2472,0.563,0.81,4130
v0107,with_abs,lt2,EMG+NIRS,3.8159,3.9372,30.0,3.9372,4.0516,4.1989,4.6966,0.423,0.703,3634
