feature_set,target,alpha_sel,model,n_subjects,n_features_in,avg_selected,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG+NIRS,lt2,1.0,"GBM(n=100,d=2)",19,97,79.7,3.4712,3.2997,0.534,0.76,77.2
EMG+NIRS,lt2,1.0,"EN(α=0.1,l1=0.5)",19,97,79.7,3.5301,3.3242,0.539,0.755,2.7
EMG+NIRS,lt2,1.0,"GBM(n=200,d=2)",19,97,79.7,3.5668,3.3955,0.521,0.754,141.1
EMG+NIRS,lt2,1.0,Ridge(α=100),19,97,79.7,3.7013,3.4844,0.493,0.733,1.8
EMG+NIRS,lt2,1.0,"EN(α=0.01,l1=0.2)",19,97,79.7,4.0131,3.7953,0.403,0.697,6.1
EMG+NIRS,lt2,1.0,"EN(α=0.01,l1=0.5)",19,97,79.7,4.0948,3.8748,0.379,0.688,6.4
EMG+NIRS,lt2,1.0,Ridge(α=10),19,97,79.7,4.174,3.9488,0.355,0.68,1.7
EMG+NIRS,lt2,1.0,Ridge(α=1),19,97,79.7,4.3125,4.0698,0.315,0.665,1.7
EMG+NIRS+HRV,lt1,0.01,"EN(α=1.0,l1=0.5)",14,107,106.4,2.2618,2.1719,0.822,0.917,12.4
EMG+NIRS+HRV,lt1,0.01,"EN(α=1.0,l1=0.2)",14,107,106.4,2.2584,2.1758,0.822,0.918,12.4
EMG+NIRS+HRV,lt1,0.01,Ridge(α=1000),14,107,106.4,2.2854,2.1814,0.82,0.915,11.6
EMG+NIRS+HRV,lt1,0.01,"GBM(n=100,d=2)",14,107,106.4,2.3656,2.2466,0.767,0.877,77.2
EMG+NIRS+HRV,lt1,0.01,"GBM(n=200,d=2)",14,107,106.4,2.4041,2.2729,0.758,0.873,127.8
EMG+NIRS+HRV,lt1,0.01,"EN(α=0.1,l1=0.2)",14,107,106.4,2.4421,2.3048,0.795,0.901,13.5
EMG+NIRS+HRV,lt1,0.01,"EN(α=0.1,l1=0.5)",14,107,106.4,2.5175,2.3723,0.781,0.894,13.6
EMG+NIRS+HRV,lt1,0.01,Ridge(α=100),14,107,106.4,2.5921,2.4377,0.767,0.887,11.8
EMG+NIRS+HRV,lt1,0.01,"EN(α=0.01,l1=0.2)",14,107,106.4,2.8584,2.685,0.711,0.865,19.0
EMG+NIRS+HRV,lt1,0.01,"EN(α=0.01,l1=0.5)",14,107,106.4,2.9367,2.7636,0.695,0.859,19.4
EMG+NIRS+HRV,lt1,0.01,Ridge(α=10),14,107,106.4,3.0043,2.8305,0.681,0.853,11.7
EMG+NIRS+HRV,lt1,0.01,Ridge(α=1),14,107,106.4,3.2734,3.0853,0.626,0.829,11.9
EMG+NIRS+HRV,lt1,0.05,"EN(α=1.0,l1=0.5)",14,107,104.0,2.2716,2.1844,0.82,0.917,5.4
EMG+NIRS+HRV,lt1,0.05,"EN(α=1.0,l1=0.2)",14,107,104.0,2.2705,2.19,0.819,0.918,5.5
EMG+NIRS+HRV,lt1,0.05,Ridge(α=1000),14,107,104.0,2.2957,2.1939,0.818,0.914,6.0
EMG+NIRS+HRV,lt1,0.05,"GBM(n=100,d=2)",14,107,104.0,2.3956,2.2719,0.762,0.877,68.3
EMG+NIRS+HRV,lt1,0.05,"EN(α=0.1,l1=0.2)",14,107,104.0,2.452,2.3154,0.794,0.901,7.2
EMG+NIRS+HRV,lt1,0.05,"GBM(n=200,d=2)",14,107,104.0,2.4588,2.3335,0.749,0.87,119.9
EMG+NIRS+HRV,lt1,0.05,"EN(α=0.1,l1=0.5)",14,107,104.0,2.5263,2.3809,0.78,0.894,6.3
EMG+NIRS+HRV,lt1,0.05,Ridge(α=100),14,107,104.0,2.5999,2.4452,0.766,0.887,6.2
EMG+NIRS+HRV,lt1,0.05,"EN(α=0.01,l1=0.2)",14,107,104.0,2.8613,2.6878,0.71,0.865,11.1
EMG+NIRS+HRV,lt1,0.05,"EN(α=0.01,l1=0.5)",14,107,104.0,2.9369,2.7637,0.694,0.858,11.4
EMG+NIRS+HRV,lt1,0.05,Ridge(α=10),14,107,104.0,3.0017,2.8276,0.681,0.853,6.1
EMG+NIRS+HRV,lt1,0.05,Ridge(α=1),14,107,104.0,3.2599,3.0755,0.629,0.83,6.3
EMG+NIRS+HRV,lt1,0.1,"EN(α=1.0,l1=0.5)",14,107,102.0,2.2649,2.1716,0.821,0.916,3.7
EMG+NIRS+HRV,lt1,0.1,"EN(α=1.0,l1=0.2)",14,107,102.0,2.2607,2.1743,0.82,0.917,3.9
EMG+NIRS+HRV,lt1,0.1,Ridge(α=1000),14,107,102.0,2.2907,2.184,0.819,0.914,3.5
EMG+NIRS+HRV,lt1,0.1,"GBM(n=100,d=2)",14,107,102.0,2.4033,2.2897,0.761,0.874,64.3
EMG+NIRS+HRV,lt1,0.1,"EN(α=0.1,l1=0.2)",14,107,102.0,2.4535,2.3154,0.793,0.9,4.6
EMG+NIRS+HRV,lt1,0.1,"GBM(n=200,d=2)",14,107,102.0,2.443,2.3213,0.753,0.869,113.9
EMG+NIRS+HRV,lt1,0.1,"EN(α=0.1,l1=0.5)",14,107,102.0,2.5275,2.3817,0.779,0.893,4.6
EMG+NIRS+HRV,lt1,0.1,Ridge(α=100),14,107,102.0,2.6011,2.4458,0.766,0.887,3.5
EMG+NIRS+HRV,lt1,0.1,"EN(α=0.01,l1=0.2)",14,107,102.0,2.8543,2.6815,0.712,0.865,7.8
EMG+NIRS+HRV,lt1,0.1,"EN(α=0.01,l1=0.5)",14,107,102.0,2.9263,2.7541,0.696,0.86,8.1
EMG+NIRS+HRV,lt1,0.1,Ridge(α=10),14,107,102.0,2.9869,2.8141,0.684,0.855,3.4
EMG+NIRS+HRV,lt1,0.1,Ridge(α=1),14,107,102.0,3.2312,3.0478,0.634,0.835,3.5
EMG+NIRS+HRV,lt1,0.3,"EN(α=1.0,l1=0.5)",14,107,97.9,2.2812,2.1889,0.819,0.916,2.2
EMG+NIRS+HRV,lt1,0.3,"EN(α=1.0,l1=0.2)",14,107,97.9,2.2759,2.1919,0.819,0.917,2.3
EMG+NIRS+HRV,lt1,0.3,Ridge(α=1000),14,107,97.9,2.3079,2.2009,0.817,0.913,1.9
EMG+NIRS+HRV,lt1,0.3,"GBM(n=100,d=2)",14,107,97.9,2.3939,2.278,0.765,0.877,59.6
EMG+NIRS+HRV,lt1,0.3,"EN(α=0.1,l1=0.2)",14,107,97.9,2.4559,2.3186,0.793,0.9,3.0
EMG+NIRS+HRV,lt1,0.3,"GBM(n=200,d=2)",14,107,97.9,2.4519,2.3355,0.752,0.869,107.5
EMG+NIRS+HRV,lt1,0.3,"EN(α=0.1,l1=0.5)",14,107,97.9,2.5252,2.38,0.78,0.894,3.0
EMG+NIRS+HRV,lt1,0.3,Ridge(α=100),14,107,97.9,2.5936,2.4387,0.767,0.887,1.9
EMG+NIRS+HRV,lt1,0.3,"EN(α=0.01,l1=0.2)",14,107,97.9,2.8342,2.6604,0.716,0.867,5.7
EMG+NIRS+HRV,lt1,0.3,"EN(α=0.01,l1=0.5)",14,107,97.9,2.9017,2.7277,0.702,0.861,6.1
EMG+NIRS+HRV,lt1,0.3,Ridge(α=10),14,107,97.9,2.9581,2.7839,0.691,0.857,1.9
EMG+NIRS+HRV,lt1,0.3,Ridge(α=1),14,107,97.9,3.1657,2.9862,0.653,0.84,2.0
EMG+NIRS+HRV,lt1,1.0,"EN(α=1.0,l1=0.5)",14,107,82.1,2.2634,2.1731,0.822,0.917,1.3
EMG+NIRS+HRV,lt1,1.0,"EN(α=1.0,l1=0.2)",14,107,82.1,2.262,2.1802,0.821,0.918,1.4
EMG+NIRS+HRV,lt1,1.0,Ridge(α=1000),14,107,82.1,2.2892,2.1848,0.82,0.914,1.2
EMG+NIRS+HRV,lt1,1.0,"GBM(n=100,d=2)",14,107,82.1,2.3804,2.2573,0.763,0.877,49.4
EMG+NIRS+HRV,lt1,1.0,"GBM(n=200,d=2)",14,107,82.1,2.4134,2.281,0.754,0.872,90.0
EMG+NIRS+HRV,lt1,1.0,"EN(α=0.1,l1=0.2)",14,107,82.1,2.4422,2.3041,0.794,0.901,1.8
EMG+NIRS+HRV,lt1,1.0,"EN(α=0.1,l1=0.5)",14,107,82.1,2.5105,2.364,0.78,0.894,1.7
EMG+NIRS+HRV,lt1,1.0,Ridge(α=100),14,107,82.1,2.5779,2.4224,0.767,0.888,1.1
EMG+NIRS+HRV,lt1,1.0,"EN(α=0.01,l1=0.2)",14,107,82.1,2.8124,2.6385,0.716,0.869,3.5
EMG+NIRS+HRV,lt1,1.0,"EN(α=0.01,l1=0.5)",14,107,82.1,2.8825,2.707,0.701,0.863,3.8
EMG+NIRS+HRV,lt1,1.0,Ridge(α=10),14,107,82.1,2.9418,2.7638,0.69,0.859,1.1
EMG+NIRS+HRV,lt1,1.0,Ridge(α=1),14,107,82.1,3.159,2.9641,0.65,0.842,1.1
EMG+NIRS+HRV,lt2,0.01,"EN(α=0.1,l1=0.2)",19,107,106.3,2.2924,2.2131,0.816,0.913,20.0
EMG+NIRS+HRV,lt2,0.01,"EN(α=0.1,l1=0.5)",19,107,106.3,2.3192,2.2326,0.811,0.911,19.3
EMG+NIRS+HRV,lt2,0.01,Ridge(α=1000),19,107,106.3,2.3254,2.244,0.809,0.91,17.7
EMG+NIRS+HRV,lt2,0.01,"EN(α=1.0,l1=0.5)",19,107,106.3,2.3436,2.2639,0.802,0.906,18.5
EMG+NIRS+HRV,lt2,0.01,"EN(α=1.0,l1=0.2)",19,107,106.3,2.3667,2.2873,0.793,0.902,18.4
EMG+NIRS+HRV,lt2,0.01,Ridge(α=100),19,107,106.3,2.3899,2.2966,0.799,0.906,17.6
EMG+NIRS+HRV,lt2,0.01,"GBM(n=100,d=2)",19,107,106.3,2.3648,2.3284,0.808,0.91,122.6
EMG+NIRS+HRV,lt2,0.01,"GBM(n=200,d=2)",19,107,106.3,2.395,2.347,0.803,0.907,202.6
EMG+NIRS+HRV,lt2,0.01,"EN(α=0.01,l1=0.2)",19,107,106.3,2.5656,2.4698,0.767,0.893,26.4
EMG+NIRS+HRV,lt2,0.01,"EN(α=0.01,l1=0.5)",19,107,106.3,2.6216,2.5264,0.757,0.889,27.1
EMG+NIRS+HRV,lt2,0.01,Ridge(α=10),19,107,106.3,2.683,2.587,0.745,0.885,17.6
EMG+NIRS+HRV,lt2,0.01,Ridge(α=1),19,107,106.3,2.8231,2.7213,0.715,0.875,17.7
EMG+NIRS+HRV,lt2,0.05,"EN(α=0.1,l1=0.2)",19,107,102.9,2.2884,2.2055,0.817,0.913,9.3
EMG+NIRS+HRV,lt2,0.05,"EN(α=0.1,l1=0.5)",19,107,102.9,2.3163,2.2269,0.812,0.911,8.8
EMG+NIRS+HRV,lt2,0.05,Ridge(α=1000),19,107,102.9,2.3206,2.2355,0.81,0.91,7.4
EMG+NIRS+HRV,lt2,0.05,"EN(α=1.0,l1=0.5)",19,107,102.9,2.3421,2.2613,0.802,0.906,7.5
EMG+NIRS+HRV,lt2,0.05,"EN(α=1.0,l1=0.2)",19,107,102.9,2.3664,2.2859,0.793,0.902,7.6
EMG+NIRS+HRV,lt2,0.05,Ridge(α=100),19,107,102.9,2.3887,2.2925,0.799,0.906,7.7
EMG+NIRS+HRV,lt2,0.05,"GBM(n=100,d=2)",19,107,102.9,2.3889,2.358,0.804,0.907,108.3
EMG+NIRS+HRV,lt2,0.05,"GBM(n=200,d=2)",19,107,102.9,2.4315,2.3884,0.797,0.903,190.9
EMG+NIRS+HRV,lt2,0.05,"EN(α=0.01,l1=0.2)",19,107,102.9,2.5657,2.4691,0.767,0.893,15.1
EMG+NIRS+HRV,lt2,0.05,"EN(α=0.01,l1=0.5)",19,107,102.9,2.6211,2.5259,0.757,0.889,14.9
EMG+NIRS+HRV,lt2,0.05,Ridge(α=10),19,107,102.9,2.6806,2.586,0.745,0.885,7.5
EMG+NIRS+HRV,lt2,0.05,Ridge(α=1),19,107,102.9,2.8118,2.7124,0.719,0.877,7.9
EMG+NIRS+HRV,lt2,0.1,"EN(α=0.1,l1=0.2)",19,107,99.3,2.2928,2.2107,0.816,0.913,6.3
EMG+NIRS+HRV,lt2,0.1,"EN(α=0.1,l1=0.5)",19,107,99.3,2.319,2.2301,0.811,0.911,6.1
EMG+NIRS+HRV,lt2,0.1,Ridge(α=1000),19,107,99.3,2.3298,2.2442,0.809,0.91,4.6
EMG+NIRS+HRV,lt2,0.1,"EN(α=1.0,l1=0.5)",19,107,99.3,2.3492,2.2664,0.801,0.906,5.0
EMG+NIRS+HRV,lt2,0.1,"EN(α=1.0,l1=0.2)",19,107,99.3,2.3725,2.29,0.792,0.902,5.2
EMG+NIRS+HRV,lt2,0.1,Ridge(α=100),19,107,99.3,2.3891,2.2949,0.799,0.906,4.6
EMG+NIRS+HRV,lt2,0.1,"GBM(n=200,d=2)",19,107,99.3,2.4044,2.365,0.803,0.907,180.2
EMG+NIRS+HRV,lt2,0.1,"GBM(n=100,d=2)",19,107,99.3,2.3952,2.367,0.804,0.908,101.2
EMG+NIRS+HRV,lt2,0.1,"EN(α=0.01,l1=0.2)",19,107,99.3,2.5644,2.4695,0.768,0.893,10.0
EMG+NIRS+HRV,lt2,0.1,"EN(α=0.01,l1=0.5)",19,107,99.3,2.6213,2.5271,0.757,0.889,10.1
EMG+NIRS+HRV,lt2,0.1,Ridge(α=10),19,107,99.3,2.6846,2.5898,0.745,0.884,4.7
EMG+NIRS+HRV,lt2,0.1,Ridge(α=1),19,107,99.3,2.832,2.7321,0.715,0.874,4.8
EMG+NIRS+HRV,lt2,0.3,"EN(α=0.1,l1=0.2)",19,107,91.8,2.2908,2.2106,0.816,0.913,3.9
EMG+NIRS+HRV,lt2,0.3,"EN(α=0.1,l1=0.5)",19,107,91.8,2.3183,2.2311,0.811,0.911,3.7
EMG+NIRS+HRV,lt2,0.3,Ridge(α=1000),19,107,91.8,2.3208,2.2392,0.81,0.91,2.5
EMG+NIRS+HRV,lt2,0.3,"EN(α=1.0,l1=0.5)",19,107,91.8,2.338,2.2593,0.803,0.906,2.6
EMG+NIRS+HRV,lt2,0.3,"EN(α=1.0,l1=0.2)",19,107,91.8,2.359,2.2805,0.795,0.903,2.9
EMG+NIRS+HRV,lt2,0.3,Ridge(α=100),19,107,91.8,2.3883,2.2957,0.799,0.906,2.4
EMG+NIRS+HRV,lt2,0.3,"GBM(n=100,d=2)",19,107,91.8,2.3415,2.3125,0.816,0.91,91.2
EMG+NIRS+HRV,lt2,0.3,"GBM(n=200,d=2)",19,107,91.8,2.3751,2.3339,0.811,0.906,165.0
EMG+NIRS+HRV,lt2,0.3,"EN(α=0.01,l1=0.2)",19,107,91.8,2.5582,2.4686,0.768,0.894,6.8
EMG+NIRS+HRV,lt2,0.3,"EN(α=0.01,l1=0.5)",19,107,91.8,2.6122,2.5242,0.758,0.89,6.6
EMG+NIRS+HRV,lt2,0.3,Ridge(α=10),19,107,91.8,2.6711,2.5832,0.746,0.886,2.5
EMG+NIRS+HRV,lt2,0.3,Ridge(α=1),19,107,91.8,2.8061,2.7136,0.718,0.876,2.4
EMG+NIRS+HRV,lt2,1.0,"EN(α=0.1,l1=0.2)",19,107,78.4,2.2809,2.1994,0.817,0.914,2.8
EMG+NIRS+HRV,lt2,1.0,"EN(α=0.1,l1=0.5)",19,107,78.4,2.2951,2.2074,0.814,0.912,3.0
EMG+NIRS+HRV,lt2,1.0,Ridge(α=1000),19,107,78.4,2.3233,2.2362,0.81,0.91,1.7
EMG+NIRS+HRV,lt2,1.0,Ridge(α=100),19,107,78.4,2.3382,2.2434,0.806,0.908,1.8
EMG+NIRS+HRV,lt2,1.0,"EN(α=1.0,l1=0.5)",19,107,78.4,2.3487,2.2622,0.802,0.907,2.2
EMG+NIRS+HRV,lt2,1.0,"EN(α=1.0,l1=0.2)",19,107,78.4,2.3825,2.2945,0.791,0.902,2.2
EMG+NIRS+HRV,lt2,1.0,"GBM(n=200,d=2)",19,107,78.4,2.3933,2.3481,0.796,0.905,140.2
EMG+NIRS+HRV,lt2,1.0,"EN(α=0.01,l1=0.2)",19,107,78.4,2.4615,2.3518,0.783,0.899,6.0
EMG+NIRS+HRV,lt2,1.0,"GBM(n=100,d=2)",19,107,78.4,2.3996,2.363,0.796,0.904,76.8
EMG+NIRS+HRV,lt2,1.0,"EN(α=0.01,l1=0.5)",19,107,78.4,2.5085,2.3921,0.774,0.896,6.4
EMG+NIRS+HRV,lt2,1.0,Ridge(α=10),19,107,78.4,2.5666,2.4416,0.762,0.892,1.7
EMG+NIRS+HRV,lt2,1.0,Ridge(α=1),19,107,78.4,2.7145,2.571,0.73,0.882,1.7
NIRS,lt1,0.01,"GBM(n=100,d=2)",14,18,18.0,4.3069,4.0902,0.371,0.645,12.6
NIRS,lt1,0.01,"GBM(n=200,d=2)",14,18,18.0,4.3878,4.1679,0.355,0.651,21.1
NIRS,lt1,0.01,"EN(α=1.0,l1=0.5)",14,18,18.0,4.4253,4.2777,0.309,0.685,1.3
NIRS,lt1,0.01,"EN(α=1.0,l1=0.2)",14,18,18.0,4.4159,4.2859,0.321,0.67,1.3
NIRS,lt1,0.01,Ridge(α=1000),14,18,18.0,4.4494,4.2861,0.287,0.693,1.3
NIRS,lt1,0.01,"EN(α=0.1,l1=0.2)",14,18,18.0,4.6133,4.4033,0.15,0.702,1.3
NIRS,lt1,0.01,"EN(α=0.1,l1=0.5)",14,18,18.0,4.6866,4.4712,0.101,0.696,1.4
NIRS,lt1,0.01,Ridge(α=100),14,18,18.0,4.7595,4.5441,0.058,0.686,1.3
NIRS,lt1,0.01,"EN(α=0.01,l1=0.2)",14,18,18.0,5.0221,4.8092,-0.073,0.64,1.5
NIRS,lt1,0.01,"EN(α=0.01,l1=0.5)",14,18,18.0,5.1012,4.8884,-0.106,0.625,1.6
NIRS,lt1,0.01,Ridge(α=10),14,18,18.0,5.1674,4.9581,-0.131,0.614,1.3
NIRS,lt1,0.01,Ridge(α=1),14,18,18.0,5.5297,5.3364,-0.25,0.565,1.3
NIRS,lt1,0.05,"GBM(n=100,d=2)",14,18,17.9,4.3124,4.0976,0.37,0.645,11.5
NIRS,lt1,0.05,"GBM(n=200,d=2)",14,18,17.9,4.3838,4.1644,0.357,0.652,20.5
NIRS,lt1,0.05,"EN(α=1.0,l1=0.5)",14,18,17.9,4.4255,4.2782,0.309,0.684,0.5
NIRS,lt1,0.05,Ridge(α=1000),14,18,17.9,4.4494,4.2865,0.287,0.692,0.6
NIRS,lt1,0.05,"EN(α=1.0,l1=0.2)",14,18,17.9,4.4163,4.2866,0.321,0.669,0.5
NIRS,lt1,0.05,"EN(α=0.1,l1=0.2)",14,18,17.9,4.6136,4.4036,0.15,0.702,0.6
NIRS,lt1,0.05,"EN(α=0.1,l1=0.5)",14,18,17.9,4.6869,4.4714,0.101,0.696,0.6
NIRS,lt1,0.05,Ridge(α=100),14,18,17.9,4.7597,4.5442,0.058,0.686,0.5
NIRS,lt1,0.05,"EN(α=0.01,l1=0.2)",14,18,17.9,5.0221,4.8092,-0.073,0.64,0.8
NIRS,lt1,0.05,"EN(α=0.01,l1=0.5)",14,18,17.9,5.1012,4.8884,-0.106,0.625,0.9
NIRS,lt1,0.05,Ridge(α=10),14,18,17.9,5.1673,4.9581,-0.131,0.614,0.6
NIRS,lt1,0.05,Ridge(α=1),14,18,17.9,5.5296,5.3363,-0.25,0.565,0.5
NIRS,lt1,0.1,"GBM(n=100,d=2)",14,18,17.9,4.3166,4.1013,0.369,0.643,11.3
NIRS,lt1,0.1,"GBM(n=200,d=2)",14,18,17.9,4.4128,4.1969,0.35,0.648,20.2
NIRS,lt1,0.1,"EN(α=1.0,l1=0.5)",14,18,17.9,4.4262,4.2785,0.309,0.685,0.4
NIRS,lt1,0.1,Ridge(α=1000),14,18,17.9,4.4501,4.2867,0.287,0.693,0.4
NIRS,lt1,0.1,"EN(α=1.0,l1=0.2)",14,18,17.9,4.417,4.2869,0.321,0.67,0.4
NIRS,lt1,0.1,"EN(α=0.1,l1=0.2)",14,18,17.9,4.6136,4.4036,0.15,0.702,0.5
NIRS,lt1,0.1,"EN(α=0.1,l1=0.5)",14,18,17.9,4.6868,4.4714,0.101,0.696,0.5
NIRS,lt1,0.1,Ridge(α=100),14,18,17.9,4.7597,4.5442,0.058,0.686,0.4
NIRS,lt1,0.1,"EN(α=0.01,l1=0.2)",14,18,17.9,5.022,4.8091,-0.073,0.64,0.7
NIRS,lt1,0.1,"EN(α=0.01,l1=0.5)",14,18,17.9,5.1011,4.8883,-0.106,0.625,0.7
NIRS,lt1,0.1,Ridge(α=10),14,18,17.9,5.1672,4.958,-0.131,0.614,0.4
NIRS,lt1,0.1,Ridge(α=1),14,18,17.9,5.5296,5.3362,-0.25,0.565,0.4
NIRS,lt1,0.3,"GBM(n=100,d=2)",14,18,17.6,4.2573,4.0354,0.38,0.647,10.9
NIRS,lt1,0.3,"GBM(n=200,d=2)",14,18,17.6,4.3666,4.1377,0.358,0.648,19.6
NIRS,lt1,0.3,"EN(α=1.0,l1=0.5)",14,18,17.6,4.4154,4.271,0.309,0.679,0.3
NIRS,lt1,0.3,Ridge(α=1000),14,18,17.6,4.438,4.2775,0.287,0.688,0.3
NIRS,lt1,0.3,"EN(α=1.0,l1=0.2)",14,18,17.6,4.4082,4.2821,0.32,0.663,0.3
NIRS,lt1,0.3,"EN(α=0.1,l1=0.2)",14,18,17.6,4.5974,4.3946,0.154,0.702,0.4
NIRS,lt1,0.3,"EN(α=0.1,l1=0.5)",14,18,17.6,4.6772,4.465,0.103,0.696,0.4
NIRS,lt1,0.3,Ridge(α=100),14,18,17.6,4.7587,4.5434,0.059,0.686,0.3
NIRS,lt1,0.3,"EN(α=0.01,l1=0.2)",14,18,17.6,5.0552,4.8362,-0.081,0.637,0.6
NIRS,lt1,0.3,"EN(α=0.01,l1=0.5)",14,18,17.6,5.1443,4.9242,-0.116,0.622,0.6
NIRS,lt1,0.3,Ridge(α=10),14,18,17.6,5.2188,5.0003,-0.142,0.609,0.3
NIRS,lt1,0.3,Ridge(α=1),14,18,17.6,5.6124,5.402,-0.268,0.559,0.3
NIRS,lt1,1.0,"GBM(n=100,d=2)",14,18,17.4,4.1997,3.9769,0.394,0.655,10.4
NIRS,lt1,1.0,"GBM(n=200,d=2)",14,18,17.4,4.2855,4.0502,0.372,0.657,19.0
NIRS,lt1,1.0,"EN(α=1.0,l1=0.5)",14,18,17.4,4.4409,4.2949,0.305,0.683,0.2
NIRS,lt1,1.0,Ridge(α=1000),14,18,17.4,4.4615,4.2993,0.284,0.691,0.2
NIRS,lt1,1.0,"EN(α=1.0,l1=0.2)",14,18,17.4,4.436,4.3077,0.317,0.668,0.3
NIRS,lt1,1.0,"EN(α=0.1,l1=0.2)",14,18,17.4,4.6112,4.4018,0.151,0.702,0.3
NIRS,lt1,1.0,"EN(α=0.1,l1=0.5)",14,18,17.4,4.6786,4.4645,0.103,0.698,0.3
NIRS,lt1,1.0,Ridge(α=100),14,18,17.4,4.7458,4.5315,0.062,0.69,0.2
NIRS,lt1,1.0,"EN(α=0.01,l1=0.2)",14,18,17.4,4.9731,4.7612,-0.062,0.65,0.5
NIRS,lt1,1.0,"EN(α=0.01,l1=0.5)",14,18,17.4,5.0291,4.8197,-0.09,0.638,0.5
NIRS,lt1,1.0,Ridge(α=10),14,18,17.4,5.0716,4.8672,-0.108,0.629,0.2
NIRS,lt1,1.0,Ridge(α=1),14,18,17.4,5.3047,5.1216,-0.19,0.592,0.2
NIRS,lt2,0.01,"GBM(n=100,d=2)",19,18,17.8,4.5653,4.3607,0.245,0.533,19.4
NIRS,lt2,0.01,"EN(α=1.0,l1=0.5)",19,18,17.8,4.5708,4.4238,0.235,0.563,1.3
NIRS,lt2,0.01,"EN(α=1.0,l1=0.2)",19,18,17.8,4.5722,4.4439,0.241,0.556,1.2
NIRS,lt2,0.01,Ridge(α=1000),19,18,17.8,4.6043,4.4487,0.22,0.572,1.2
NIRS,lt2,0.01,"GBM(n=200,d=2)",19,18,17.8,4.7462,4.5203,0.214,0.543,33.8
NIRS,lt2,0.01,"EN(α=0.1,l1=0.2)",19,18,17.8,4.8223,4.6559,0.15,0.547,1.4
NIRS,lt2,0.01,"EN(α=0.1,l1=0.5)",19,18,17.8,4.9291,4.7598,0.105,0.534,1.4
NIRS,lt2,0.01,Ridge(α=100),19,18,17.8,5.0913,4.923,0.029,0.522,1.3
NIRS,lt2,0.01,"EN(α=0.01,l1=0.2)",19,18,17.8,5.4647,5.2824,-0.202,0.508,1.6
NIRS,lt2,0.01,"EN(α=0.01,l1=0.5)",19,18,17.8,5.5855,5.3944,-0.312,0.505,1.7
NIRS,lt2,0.01,Ridge(α=10),19,18,17.8,5.7114,5.5043,-0.459,0.502,1.2
NIRS,lt2,0.01,Ridge(α=1),19,18,17.8,5.9953,5.7335,-0.823,0.494,1.2
NIRS,lt2,0.05,"GBM(n=100,d=2)",19,18,17.5,4.5633,4.3604,0.248,0.535,18.8
NIRS,lt2,0.05,"EN(α=1.0,l1=0.5)",19,18,17.5,4.5708,4.4251,0.235,0.563,0.6
NIRS,lt2,0.05,"EN(α=1.0,l1=0.2)",19,18,17.5,4.5724,4.447,0.241,0.556,0.6
NIRS,lt2,0.05,Ridge(α=1000),19,18,17.5,4.603,4.448,0.221,0.572,0.6
NIRS,lt2,0.05,"GBM(n=200,d=2)",19,18,17.5,4.7465,4.5221,0.218,0.546,32.9
NIRS,lt2,0.05,"EN(α=0.1,l1=0.2)",19,18,17.5,4.8207,4.6543,0.15,0.547,0.7
NIRS,lt2,0.05,"EN(α=0.1,l1=0.5)",19,18,17.5,4.9279,4.7586,0.105,0.534,0.7
NIRS,lt2,0.05,Ridge(α=100),19,18,17.5,5.0906,4.9224,0.029,0.522,0.6
NIRS,lt2,0.05,"EN(α=0.01,l1=0.2)",19,18,17.5,5.4645,5.2824,-0.202,0.508,1.0
NIRS,lt2,0.05,"EN(α=0.01,l1=0.5)",19,18,17.5,5.5854,5.3944,-0.312,0.505,1.0
NIRS,lt2,0.05,Ridge(α=10),19,18,17.5,5.7112,5.5043,-0.459,0.502,0.6
NIRS,lt2,0.05,Ridge(α=1),19,18,17.5,5.9951,5.7335,-0.823,0.494,0.6
NIRS,lt2,0.1,"GBM(n=100,d=2)",19,18,17.4,4.563,4.3528,0.244,0.531,18.2
NIRS,lt2,0.1,"EN(α=1.0,l1=0.5)",19,18,17.4,4.5687,4.4227,0.236,0.564,0.6
NIRS,lt2,0.1,"EN(α=1.0,l1=0.2)",19,18,17.4,4.5702,4.4435,0.241,0.557,0.5
NIRS,lt2,0.1,Ridge(α=1000),19,18,17.4,4.6021,4.447,0.221,0.572,0.5
NIRS,lt2,0.1,"GBM(n=200,d=2)",19,18,17.4,4.799,4.5777,0.192,0.528,32.1
NIRS,lt2,0.1,"EN(α=0.1,l1=0.2)",19,18,17.4,4.822,4.6557,0.15,0.547,0.6
NIRS,lt2,0.1,"EN(α=0.1,l1=0.5)",19,18,17.4,4.9295,4.7604,0.104,0.534,0.6
NIRS,lt2,0.1,Ridge(α=100),19,18,17.4,5.0921,4.9241,0.028,0.522,0.5
NIRS,lt2,0.1,"EN(α=0.01,l1=0.2)",19,18,17.4,5.4635,5.2815,-0.201,0.508,0.9
NIRS,lt2,0.1,"EN(α=0.01,l1=0.5)",19,18,17.4,5.583,5.3923,-0.31,0.505,0.9
NIRS,lt2,0.1,Ridge(α=10),19,18,17.4,5.7075,5.5009,-0.456,0.502,0.5
NIRS,lt2,0.1,Ridge(α=1),19,18,17.4,5.9894,5.7281,-0.817,0.494,0.5
NIRS,lt2,0.3,"GBM(n=100,d=2)",19,18,17.6,4.558,4.3587,0.244,0.531,18.0
