feature_set,target,alpha_sel,model,n_subjects,n_features_in,avg_selected,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG,lt1,1.0,"EN(α=1.0,l1=0.5)",14,79,63.1,2.8797,2.7473,0.711,0.868,1.1
EMG,lt1,1.0,"EN(α=1.0,l1=0.2)",14,79,63.1,2.869,2.7503,0.712,0.87,1.1
EMG,lt1,1.0,"GBM(n=200,d=2)",14,79,63.1,2.925,2.7577,0.686,0.85,68.5
EMG,lt1,1.0,Ridge(α=1000),14,79,63.1,2.9027,2.7587,0.706,0.864,0.9
EMG,lt1,1.0,"GBM(n=100,d=2)",14,79,63.1,2.9219,2.7736,0.686,0.851,37.5
EMG,lt1,1.0,"EN(α=0.1,l1=0.2)",14,79,63.1,2.9839,2.8035,0.685,0.851,1.6
EMG,lt1,1.0,"EN(α=0.1,l1=0.5)",14,79,63.1,3.011,2.8183,0.678,0.847,1.5
EMG,lt1,1.0,Ridge(α=100),14,79,63.1,3.0392,2.8356,0.671,0.842,0.9
EMG,lt1,1.0,"EN(α=0.01,l1=0.2)",14,79,63.1,3.1068,2.8748,0.653,0.831,3.0
EMG,lt1,1.0,"EN(α=0.01,l1=0.5)",14,79,63.1,3.1237,2.8861,0.648,0.827,3.2
EMG,lt1,1.0,Ridge(α=10),14,79,63.1,3.1395,2.897,0.643,0.824,0.9
EMG,lt1,1.0,Ridge(α=1),14,79,63.1,3.2278,2.9584,0.619,0.809,0.9
EMG,lt2,0.01,"EN(α=1.0,l1=0.2)",19,79,78.5,3.1362,2.9955,0.625,0.822,13.3
EMG,lt2,0.01,"EN(α=1.0,l1=0.5)",19,79,78.5,3.1474,2.9974,0.624,0.821,13.7
EMG,lt2,0.01,Ridge(α=1000),19,79,78.5,3.1751,3.0111,0.619,0.816,13.3
EMG,lt2,0.01,"EN(α=0.1,l1=0.2)",19,79,78.5,3.2333,3.0463,0.603,0.806,15.0
EMG,lt2,0.01,"EN(α=0.1,l1=0.5)",19,79,78.5,3.2569,3.0594,0.597,0.801,15.4
EMG,lt2,0.01,Ridge(α=100),19,79,78.5,3.2901,3.0787,0.588,0.795,13.2
EMG,lt2,0.01,"EN(α=0.01,l1=0.2)",19,79,78.5,3.3573,3.1225,0.569,0.784,20.4
EMG,lt2,0.01,"EN(α=0.01,l1=0.5)",19,79,78.5,3.3775,3.137,0.563,0.78,21.4
EMG,lt2,0.01,Ridge(α=10),19,79,78.5,3.4007,3.1518,0.556,0.776,13.2
EMG,lt2,0.01,"GBM(n=100,d=2)",19,79,78.5,3.3255,3.1596,0.574,0.793,91.0
EMG,lt2,0.01,Ridge(α=1),19,79,78.5,3.4313,3.1663,0.544,0.771,13.1
EMG,lt2,0.01,"GBM(n=200,d=2)",19,79,78.5,3.3901,3.2031,0.561,0.786,152.7
EMG,lt2,0.05,"EN(α=1.0,l1=0.2)",19,79,77.6,3.1367,2.9951,0.625,0.822,6.5
EMG,lt2,0.05,"EN(α=1.0,l1=0.5)",19,79,77.6,3.1478,2.9966,0.624,0.82,6.5
EMG,lt2,0.05,Ridge(α=1000),19,79,77.6,3.1763,3.0106,0.619,0.816,6.7
EMG,lt2,0.05,"EN(α=0.1,l1=0.2)",19,79,77.6,3.235,3.0468,0.603,0.805,8.2
EMG,lt2,0.05,"EN(α=0.1,l1=0.5)",19,79,77.6,3.2587,3.0604,0.597,0.8,7.8
EMG,lt2,0.05,Ridge(α=100),19,79,77.6,3.2915,3.0793,0.588,0.795,6.7
EMG,lt2,0.05,"EN(α=0.01,l1=0.2)",19,79,77.6,3.3583,3.1232,0.569,0.783,13.0
EMG,lt2,0.05,"EN(α=0.01,l1=0.5)",19,79,77.6,3.3782,3.1378,0.562,0.78,13.6
EMG,lt2,0.05,"GBM(n=100,d=2)",19,79,77.6,3.3165,3.1466,0.576,0.793,82.5
EMG,lt2,0.05,Ridge(α=10),19,79,77.6,3.3998,3.1529,0.556,0.777,6.7
EMG,lt2,0.05,Ridge(α=1),19,79,77.6,3.4278,3.1716,0.545,0.772,6.8
EMG,lt2,0.05,"GBM(n=200,d=2)",19,79,77.6,3.4025,3.217,0.559,0.784,146.1
EMG,lt2,0.1,"EN(α=1.0,l1=0.2)",19,79,75.8,3.1403,3.0029,0.625,0.822,4.4
EMG,lt2,0.1,"EN(α=1.0,l1=0.5)",19,79,75.8,3.1521,3.0043,0.624,0.821,4.3
EMG,lt2,0.1,Ridge(α=1000),19,79,75.8,3.1813,3.0178,0.618,0.817,4.0
EMG,lt2,0.1,"EN(α=0.1,l1=0.2)",19,79,75.8,3.2402,3.0512,0.603,0.805,5.4
EMG,lt2,0.1,"EN(α=0.1,l1=0.5)",19,79,75.8,3.2623,3.0636,0.596,0.801,5.4
EMG,lt2,0.1,Ridge(α=100),19,79,75.8,3.2934,3.0815,0.588,0.795,4.0
EMG,lt2,0.1,"EN(α=0.01,l1=0.2)",19,79,75.8,3.3564,3.1222,0.569,0.783,8.7
EMG,lt2,0.1,"EN(α=0.01,l1=0.5)",19,79,75.8,3.3767,3.1367,0.563,0.78,8.7
