feature,hits,stability_pct,group
trainred_smo2_mean,19,100.0,NIRS
trainred_smo2_drop,19,100.0,NIRS
hhb_from_running_min,19,100.0,NIRS
smo2_from_running_max,19,100.0,NIRS
trainred_thb_std,19,100.0,NIRS
trainred_thb_slope,19,100.0,NIRS
trainred_thb_mean,19,100.0,NIRS
trainred_hbdiff_std,19,100.0,NIRS
trainred_hbdiff_slope,19,100.0,NIRS
trainred_hbdiff_mean,19,100.0,NIRS
trainred_hhb_std,19,100.0,NIRS
trainred_dsmo2_dt,19,100.0,NIRS
trainred_smo2_slope,19,100.0,NIRS
trainred_hhb_mean,18,94.7,NIRS
trainred_smo2_std,18,94.7,NIRS
smo2_rel_drop_pct,18,94.7,NIRS
trainred_dhhb_dt,3,15.8,NIRS
trainred_hhb_slope,3,15.8,NIRS
