variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt1,18,79,6.4326,6.4642,30.0,6.4642,6.5126,6.5979,6.9762,-0.401,0.089,155.0
noabs,EMG,lt1,18,79,6.591,6.56,30.0,6.56,6.5765,6.6324,6.9368,-0.453,0.085,151.2
with_abs,NIRS,lt1,18,18,5.9092,5.9512,30.0,5.9512,6.0008,6.0895,6.4827,-0.104,0.157,165.7
noabs,NIRS,lt1,18,14,6.7124,6.7236,30.0,6.7236,6.7664,6.8615,7.3413,-0.452,0.026,191.4
with_abs,EMG+NIRS,lt1,18,97,5.8358,5.847,30.0,5.847,5.8906,5.982,6.4195,-0.197,0.163,178.8
noabs,EMG+NIRS,lt1,18,93,6.0026,5.9979,30.0,5.9979,6.0391,6.126,6.5473,-0.306,0.095,159.6
with_abs,EMG+NIRS+HRV,lt1,18,107,6.2415,6.2711,30.0,6.2711,6.328,6.4326,6.8878,-0.304,0.148,174.5
noabs,EMG+NIRS+HRV,lt1,18,101,6.4618,6.4624,30.0,6.4624,6.5126,6.611,7.0539,-0.464,0.084,186.1
