config,subject_id,mae_min
"ref_v004 (hrv_mean_rr_ms, как в v004)",S002,2.5588024804124676
"ref_v004 (hrv_mean_rr_ms, как в v004)",S003,3.3061720281830023
"ref_v004 (hrv_mean_rr_ms, как в v004)",S004,1.294180809223125
"ref_v004 (hrv_mean_rr_ms, как в v004)",S006,1.5880482202798913
"ref_v004 (hrv_mean_rr_ms, как в v004)",S008,3.2130293293872803
"ref_v004 (hrv_mean_rr_ms, как в v004)",S009,2.2266396846408147
"ref_v004 (hrv_mean_rr_ms, как в v004)",S010,1.746725282118919
"ref_v004 (hrv_mean_rr_ms, как в v004)",S011,1.5467337584333951
"ref_v004 (hrv_mean_rr_ms, как в v004)",S013,1.8242154671995516
"ref_v004 (hrv_mean_rr_ms, как в v004)",S014,1.042470713369754
"ref_v004 (hrv_mean_rr_ms, как в v004)",S016,1.4834747164689497
"ref_v004 (hrv_mean_rr_ms, как в v004)",S017,1.115297365767605
A: rr_pct+delta вместо rr_ms,S002,3.5161553493121973
A: rr_pct+delta вместо rr_ms,S003,3.5690878103221455
A: rr_pct+delta вместо rr_ms,S004,1.8294120320076255
A: rr_pct+delta вместо rr_ms,S006,2.3955789506221814
A: rr_pct+delta вместо rr_ms,S008,3.1590543142047696
A: rr_pct+delta вместо rr_ms,S009,3.5668372186914836
A: rr_pct+delta вместо rr_ms,S010,3.0310702479588363
A: rr_pct+delta вместо rr_ms,S011,2.225020201191304
A: rr_pct+delta вместо rr_ms,S013,1.889940859352614
A: rr_pct+delta вместо rr_ms,S014,2.460044832777115
A: rr_pct+delta вместо rr_ms,S016,1.4650552995122397
A: rr_pct+delta вместо rr_ms,S017,1.5519496588995314
B: все HRV→pct + smo2_delta,S002,3.556609775744136
B: все HRV→pct + smo2_delta,S003,4.991151941185698
B: все HRV→pct + smo2_delta,S004,11.039723841167985
B: все HRV→pct + smo2_delta,S006,2.6481157074320234
B: все HRV→pct + smo2_delta,S008,3.9962836008927383
B: все HRV→pct + smo2_delta,S009,4.325343264579059
B: все HRV→pct + smo2_delta,S010,2.384593136424372
B: все HRV→pct + smo2_delta,S011,2.21896521297257
B: все HRV→pct + smo2_delta,S013,5.078249382690928
B: все HRV→pct + smo2_delta,S014,3.5692598069596086
B: все HRV→pct + smo2_delta,S016,7.034078496020246
B: все HRV→pct + smo2_delta,S017,1.803780372490388
B2: все HRV→pct+delta,S002,3.5429009501750914
B2: все HRV→pct+delta,S003,3.536338537325757
B2: все HRV→pct+delta,S004,7.680074011676579
B2: все HRV→pct+delta,S006,2.8187537094941897
B2: все HRV→pct+delta,S008,4.432431070641011
B2: все HRV→pct+delta,S009,6.871549272864006
B2: все HRV→pct+delta,S010,3.6148164463850647
B2: все HRV→pct+delta,S011,2.250230611474218
B2: все HRV→pct+delta,S013,2.9092753616234504
B2: все HRV→pct+delta,S014,3.723430913179164
B2: все HRV→pct+delta,S016,2.918798339074114
B2: все HRV→pct+delta,S017,1.9434296332564245
C: B + slope,S002,3.561375053281367
C: B + slope,S003,5.867518764808163
C: B + slope,S004,10.84727819927399
C: B + slope,S006,2.448424353386324
C: B + slope,S008,4.300001818508926
C: B + slope,S009,4.393366605927048
C: B + slope,S010,2.619213924797416
C: B + slope,S011,2.0391352553866704
C: B + slope,S013,5.525031488752265
C: B + slope,S014,3.667112735639598
C: B + slope,S016,7.109776390631135
C: B + slope,S017,2.0199710976049614
D: A + slope,S002,3.9009330088330563
D: A + slope,S003,3.5662651639522758
D: A + slope,S004,1.8147838911548293
D: A + slope,S006,2.124428539994717
D: A + slope,S008,2.914409951731107
D: A + slope,S009,3.7855982148775684
D: A + slope,S010,2.9703524730009394
D: A + slope,S011,2.627581171048118
D: A + slope,S013,1.8270534389900421
D: A + slope,S014,2.0741830053082437
D: A + slope,S016,1.4117367106618488
D: A + slope,S017,1.306480556374932
E: pct+scale-free+z_EMG+slope,S002,3.6239829495268876
E: pct+scale-free+z_EMG+slope,S003,4.679401519856097
E: pct+scale-free+z_EMG+slope,S004,6.55472216882182
E: pct+scale-free+z_EMG+slope,S006,3.3450046192840306
E: pct+scale-free+z_EMG+slope,S008,4.285386721779856
E: pct+scale-free+z_EMG+slope,S009,8.745102570207825
E: pct+scale-free+z_EMG+slope,S010,3.8387422467736942
E: pct+scale-free+z_EMG+slope,S011,1.4673104994168504
E: pct+scale-free+z_EMG+slope,S013,4.162432038712218
E: pct+scale-free+z_EMG+slope,S014,3.475729897307274
E: pct+scale-free+z_EMG+slope,S016,4.227386840795119
E: pct+scale-free+z_EMG+slope,S017,1.4028221204505935
