variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt2,18,79,5.5773,5.7813,30.0,5.7813,5.9417,6.1551,6.8808,-0.184,0.509,184.8
noabs,EMG,lt2,18,79,5.5576,5.7659,30.0,5.7659,5.928,6.1438,6.8723,-0.175,0.414,225.7
with_abs,NIRS,lt2,18,18,5.7195,5.9055,30.0,5.9055,6.0508,6.246,6.9245,-0.221,0.126,190.8
noabs,NIRS,lt2,18,14,5.7306,5.9372,30.0,5.9372,6.0979,6.3121,7.0339,-0.237,0.261,205.6
with_abs,EMG+NIRS,lt2,18,97,5.6146,5.8212,30.0,5.8212,5.9802,6.1902,6.899,-0.193,0.375,176.5
noabs,EMG+NIRS,lt2,18,93,5.5928,5.7976,30.0,5.7976,5.9555,6.1638,6.867,-0.179,0.438,165.1
with_abs,EMG+NIRS+HRV,lt2,18,107,5.3905,5.6264,30.0,5.6264,5.8076,6.0448,6.8264,-0.13,0.703,164.6
noabs,EMG+NIRS+HRV,lt2,18,101,5.4627,5.6898,30.0,5.6898,5.864,6.0926,6.8532,-0.151,0.49,161.3
