feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
NIRS,lt1,"SVR(C=100,ε=0.1)",14,18,5.0245,4.8418,0.194,0.584,10.7
NIRS,lt1,"SVR(C=100,ε=1.0)",14,18,5.0266,4.8438,0.194,0.584,10.7
HRV,lt1,Ridge(α=1),14,7,2.5811,2.6431,0.747,0.871,0.2
HRV,lt1,Ridge(α=10),14,7,2.5836,2.6447,0.747,0.871,0.2
HRV,lt1,Ridge(α=100),14,7,2.5872,2.6482,0.745,0.87,0.2
HRV,lt1,Ridge(α=1000),14,7,2.8033,2.8442,0.702,0.853,0.2
HRV,lt1,Huber(ε=1.1),14,7,2.6002,2.6884,0.744,0.868,0.6
HRV,lt1,Huber(ε=1.35),14,7,2.5428,2.6221,0.753,0.874,0.8
HRV,lt1,Huber(ε=1.5),14,7,2.5478,2.6223,0.752,0.874,0.6
HRV,lt1,Huber(ε=2.0),14,7,2.5572,2.6259,0.75,0.873,0.8
HRV,lt1,"EN(α=0.01,l1=0.2)",14,7,2.5836,2.644,0.747,0.871,0.3
HRV,lt1,"EN(α=0.01,l1=0.5)",14,7,2.5836,2.6443,0.747,0.871,0.4
HRV,lt1,"EN(α=0.01,l1=0.9)",14,7,2.5831,2.6448,0.746,0.871,1.2
HRV,lt1,"EN(α=0.1,l1=0.2)",14,7,2.6141,2.6719,0.739,0.866,0.2
HRV,lt1,"EN(α=0.1,l1=0.5)",14,7,2.5935,2.6541,0.744,0.869,0.3
HRV,lt1,"EN(α=0.1,l1=0.9)",14,7,2.5838,2.6439,0.747,0.871,0.3
HRV,lt1,"EN(α=1.0,l1=0.2)",14,7,3.0072,3.0306,0.661,0.841,0.3
HRV,lt1,"EN(α=1.0,l1=0.5)",14,7,2.8872,2.9153,0.685,0.848,0.4
HRV,lt1,"EN(α=1.0,l1=0.9)",14,7,2.6271,2.6838,0.736,0.865,0.5
HRV,lt1,"GBM(n=50,d=2)",14,7,2.8839,2.946,0.657,0.808,4.8
HRV,lt1,"GBM(n=50,d=3)",14,7,2.9591,3.0128,0.599,0.791,8.1
HRV,lt1,"GBM(n=100,d=2)",14,7,2.951,2.9942,0.627,0.804,10.1
HRV,lt1,"GBM(n=100,d=3)",14,7,3.0388,3.0763,0.57,0.779,13.8
HRV,lt1,"GBM(n=200,d=2)",14,7,3.0929,3.1177,0.56,0.777,20.2
HRV,lt1,"GBM(n=200,d=3)",14,7,3.1286,3.1505,0.539,0.769,27.6
HRV,lt1,"SVR(C=1,ε=0.1)",14,7,3.7316,3.7775,0.455,0.752,5.8
HRV,lt1,"SVR(C=1,ε=1.0)",14,7,3.731,3.7769,0.455,0.752,7.6
HRV,lt1,"SVR(C=10,ε=0.1)",14,7,3.1636,3.2436,0.594,0.781,8.1
HRV,lt1,"SVR(C=10,ε=1.0)",14,7,3.166,3.2459,0.594,0.78,7.0
HRV,lt1,"SVR(C=100,ε=0.1)",14,7,3.058,3.1231,0.61,0.785,8.4
HRV,lt1,"SVR(C=100,ε=1.0)",14,7,3.0564,3.1213,0.61,0.785,5.8
EMG+NIRS,lt1,Ridge(α=1),14,97,3.7063,3.4265,0.535,0.789,1.5
EMG+NIRS,lt1,Ridge(α=10),14,97,3.4754,3.2157,0.591,0.81,1.7
EMG+NIRS,lt1,Ridge(α=100),14,97,3.0659,2.8695,0.682,0.846,1.2
EMG+NIRS,lt1,Ridge(α=1000),14,97,2.7444,2.6126,0.741,0.878,1.7
EMG+NIRS,lt1,Huber(ε=1.1),14,97,3.9176,3.6229,0.467,0.76,33.5
EMG+NIRS,lt1,Huber(ε=1.35),14,97,3.8813,3.5833,0.483,0.77,29.7
EMG+NIRS,lt1,Huber(ε=1.5),14,97,3.8665,3.5655,0.489,0.773,28.6
