feature_set,target,model,subject_id,mae_min,r2
EMG,lt2,Huber(ε=1.35),S003,7.8655,-4.509
EMG,lt2,Huber(ε=1.35),S004,6.1507,-4.622
EMG,lt2,Huber(ε=1.35),S005,4.7578,0.178
EMG,lt2,Huber(ε=1.35),S006,2.7316,0.055
EMG,lt2,Huber(ε=1.35),S007,3.5005,-3.371
EMG,lt2,Huber(ε=1.35),S008,1.3482,0.778
EMG,lt2,Huber(ε=1.35),S009,9.2387,-0.586
EMG,lt2,Huber(ε=1.35),S010,3.5178,0.605
EMG,lt2,Huber(ε=1.35),S011,1.1913,0.894
EMG,lt2,Huber(ε=1.35),S012,2.6568,0.074
EMG,lt2,Huber(ε=1.35),S013,7.08,-0.779
EMG,lt2,Huber(ε=1.35),S014,2.3857,0.746
EMG,lt2,Huber(ε=1.35),S016,3.6756,-0.116
EMG,lt2,Huber(ε=1.35),S017,4.65,-0.123
EMG,lt2,Huber(ε=1.35),S018,1.9603,-0.464
EMG,lt2,Huber(ε=1.35),S019,3.8675,0.616
EMG,lt2,Huber(ε=1.5),S001,2.0898,0.822
EMG,lt2,Huber(ε=1.5),S002,4.2551,-0.74
EMG,lt2,Huber(ε=1.5),S003,7.8836,-4.778
EMG,lt2,Huber(ε=1.5),S004,6.6509,-5.517
EMG,lt2,Huber(ε=1.5),S005,4.9775,0.108
EMG,lt2,Huber(ε=1.5),S006,2.912,-0.066
EMG,lt2,Huber(ε=1.5),S007,3.448,-3.66
EMG,lt2,Huber(ε=1.5),S008,1.3276,0.785
EMG,lt2,Huber(ε=1.5),S009,9.5468,-0.7
EMG,lt2,Huber(ε=1.5),S010,3.5089,0.612
EMG,lt2,Huber(ε=1.5),S011,1.194,0.89
EMG,lt2,Huber(ε=1.5),S012,2.7011,0.034
EMG,lt2,Huber(ε=1.5),S013,6.812,-0.659
EMG,lt2,Huber(ε=1.5),S014,2.2854,0.767
EMG,lt2,Huber(ε=1.5),S016,3.8003,-0.157
EMG,lt2,Huber(ε=1.5),S017,4.7622,-0.181
EMG,lt2,Huber(ε=1.5),S018,2.0323,-0.541
EMG,lt2,Huber(ε=1.5),S019,3.7232,0.638
EMG,lt2,Huber(ε=2.0),S001,2.4452,0.767
EMG,lt2,Huber(ε=2.0),S002,4.3427,-0.812
EMG,lt2,Huber(ε=2.0),S003,8.6628,-7.637
EMG,lt2,Huber(ε=2.0),S004,7.8472,-7.423
EMG,lt2,Huber(ε=2.0),S005,5.6381,-0.122
EMG,lt2,Huber(ε=2.0),S006,3.4378,-0.43
EMG,lt2,Huber(ε=2.0),S007,3.1487,-4.252
EMG,lt2,Huber(ε=2.0),S008,1.3672,0.773
EMG,lt2,Huber(ε=2.0),S009,10.1156,-0.945
EMG,lt2,Huber(ε=2.0),S010,3.5185,0.631
EMG,lt2,Huber(ε=2.0),S011,1.3486,0.855
EMG,lt2,Huber(ε=2.0),S012,3.1254,-0.258
EMG,lt2,Huber(ε=2.0),S013,5.8096,-0.272
EMG,lt2,Huber(ε=2.0),S014,2.0538,0.804
EMG,lt2,Huber(ε=2.0),S016,4.1901,-0.334
EMG,lt2,Huber(ε=2.0),S017,5.1406,-0.397
EMG,lt2,Huber(ε=2.0),S018,2.4541,-1.054
EMG,lt2,Huber(ε=2.0),S019,3.8623,0.63
EMG,lt2,"EN(α=0.01,l1=0.2)",S001,2.3569,0.754
EMG,lt2,"EN(α=0.01,l1=0.2)",S002,7.012,-3.538
EMG,lt2,"EN(α=0.01,l1=0.2)",S003,9.4994,-9.582
EMG,lt2,"EN(α=0.01,l1=0.2)",S004,11.1367,-26.909
EMG,lt2,"EN(α=0.01,l1=0.2)",S005,8.0194,-1.159
EMG,lt2,"EN(α=0.01,l1=0.2)",S006,3.9805,-0.71
EMG,lt2,"EN(α=0.01,l1=0.2)",S007,2.379,-2.553
EMG,lt2,"EN(α=0.01,l1=0.2)",S008,1.1634,0.825
EMG,lt2,"EN(α=0.01,l1=0.2)",S009,10.6454,-1.164
EMG,lt2,"EN(α=0.01,l1=0.2)",S010,4.4194,0.474
EMG,lt2,"EN(α=0.01,l1=0.2)",S011,3.4173,0.257
EMG,lt2,"EN(α=0.01,l1=0.2)",S012,3.2958,-0.311
EMG,lt2,"EN(α=0.01,l1=0.2)",S013,11.4496,-3.719
EMG,lt2,"EN(α=0.01,l1=0.2)",S014,2.0965,0.751
EMG,lt2,"EN(α=0.01,l1=0.2)",S016,1.838,0.74
EMG,lt2,"EN(α=0.01,l1=0.2)",S017,3.4402,0.3
EMG,lt2,"EN(α=0.01,l1=0.2)",S018,2.832,-1.688
EMG,lt2,"EN(α=0.01,l1=0.2)",S019,8.5205,-0.332
EMG,lt2,"EN(α=0.01,l1=0.5)",S001,2.2915,0.774
EMG,lt2,"EN(α=0.01,l1=0.5)",S002,6.8587,-3.313
EMG,lt2,"EN(α=0.01,l1=0.5)",S003,9.8161,-11.139
EMG,lt2,"EN(α=0.01,l1=0.5)",S004,11.1518,-27.993
EMG,lt2,"EN(α=0.01,l1=0.5)",S005,7.7179,-0.998
EMG,lt2,"EN(α=0.01,l1=0.5)",S006,4.0003,-0.741
EMG,lt2,"EN(α=0.01,l1=0.5)",S007,2.4293,-2.963
EMG,lt2,"EN(α=0.01,l1=0.5)",S008,1.2266,0.811
EMG,lt2,"EN(α=0.01,l1=0.5)",S009,10.905,-1.274
EMG,lt2,"EN(α=0.01,l1=0.5)",S010,4.3428,0.496
EMG,lt2,"EN(α=0.01,l1=0.5)",S011,3.0563,0.399
EMG,lt2,"EN(α=0.01,l1=0.5)",S012,3.5307,-0.509
EMG,lt2,"EN(α=0.01,l1=0.5)",S013,11.0087,-3.413
EMG,lt2,"EN(α=0.01,l1=0.5)",S014,2.069,0.759
EMG,lt2,"EN(α=0.01,l1=0.5)",S016,1.7219,0.783
EMG,lt2,"EN(α=0.01,l1=0.5)",S017,3.051,0.435
EMG,lt2,"EN(α=0.01,l1=0.5)",S018,2.8856,-1.731
EMG,lt2,"EN(α=0.01,l1=0.5)",S019,8.2604,-0.264
EMG,lt2,"EN(α=0.01,l1=0.9)",S001,2.2621,0.78
EMG,lt2,"EN(α=0.01,l1=0.9)",S002,5.6027,-1.915
EMG,lt2,"EN(α=0.01,l1=0.9)",S003,10.139,-13.251
EMG,lt2,"EN(α=0.01,l1=0.9)",S004,10.2204,-20.838
EMG,lt2,"EN(α=0.01,l1=0.9)",S005,6.5875,-0.537
EMG,lt2,"EN(α=0.01,l1=0.9)",S006,4.2021,-0.931
EMG,lt2,"EN(α=0.01,l1=0.9)",S007,2.7181,-4.18
EMG,lt2,"EN(α=0.01,l1=0.9)",S008,1.4536,0.74
EMG,lt2,"EN(α=0.01,l1=0.9)",S009,11.0155,-1.334
EMG,lt2,"EN(α=0.01,l1=0.9)",S010,3.4425,0.657
