variant,feature_set,target,n_subjects,n_features,raw_ensemble_mae,raw_tcn_mae,raw_lin_mae,kalman_mae_min,best_sigma_obs,mean_alpha,r2,rho,sec
noabs,EMG,lt2,18,79,5.357,5.0371,6.1178,5.3247,15.0,0.226,-0.868,0.534,228.7
noabs,NIRS,lt2,18,14,4.5032,4.7214,4.6442,4.49,10.0,0.106,0.239,0.629,214.9
noabs,EMG+NIRS,lt2,18,93,4.5283,4.9005,4.7608,4.498,10.0,0.168,-0.069,0.733,226.6
noabs,EMG+NIRS+HRV,lt2,18,101,2.9346,4.5997,2.9503,2.93,5.0,0.053,0.369,0.869,222.4
