variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
noabs,EMG,lt1,18,79,4.541,4.6642,30.0,4.6642,4.7379,4.8279,5.1403,0.289,0.664,468.7
noabs,EMG,lt2,18,79,4.3386,4.4106,30.0,4.4106,4.4547,4.524,4.8034,0.346,0.649,379.7
noabs,EMG+NIRS,lt1,18,93,3.7694,3.9885,30.0,3.9885,4.1432,4.3263,4.8518,0.509,0.747,385.2
noabs,EMG+NIRS,lt2,18,93,4.0541,4.2038,30.0,4.2038,4.3081,4.4458,4.9587,0.416,0.67,416.6
noabs,EMG+NIRS+HRV,lt1,18,101,3.8677,4.0303,30.0,4.0303,4.1487,4.3026,4.7938,0.5,0.751,540.5
noabs,EMG+NIRS+HRV,lt2,18,101,3.45,3.6132,30.0,3.6132,3.7428,3.9145,4.5066,0.568,0.784,503.9
