script,variant,feature_set,target,subject_id,mae_min,trained
v0011,best_model,HRV,lt1,S009,3.2421,1
v0011,best_model,HRV,lt1,S010,2.4682,1
v0011,best_model,HRV,lt1,S011,1.0377,0
v0011,best_model,HRV,lt1,S013,2.0605,1
v0011,best_model,HRV,lt1,S014,1.9297,0
v0011,best_model,HRV,lt1,S016,0.989,0
v0011,best_model,HRV,lt1,S017,1.5376,1
v0011,best_model,HRV,lt1,S018,3.7894,0
v0011,best_model,HRV,lt1,S019,1.4324,1
v0011,best_model,HRV,lt2,S001,1.7572,0
v0011,best_model,HRV,lt2,S002,1.5831,0
v0011,best_model,HRV,lt2,S003,3.4708,1
v0011,best_model,HRV,lt2,S004,1.6383,0
v0011,best_model,HRV,lt2,S005,2.4956,0
v0011,best_model,HRV,lt2,S006,0.6526,0
v0011,best_model,HRV,lt2,S007,0.9015,0
v0011,best_model,HRV,lt2,S008,1.2771,0
v0011,best_model,HRV,lt2,S009,1.4212,1
v0011,best_model,HRV,lt2,S010,3.6623,1
v0011,best_model,HRV,lt2,S011,1.4229,0
v0011,best_model,HRV,lt2,S012,1.3461,0
v0011,best_model,HRV,lt2,S013,1.9755,1
v0011,best_model,HRV,lt2,S014,1.8736,0
v0011,best_model,HRV,lt2,S015,1.5242,0
v0011,best_model,HRV,lt2,S016,1.2979,0
v0011,best_model,HRV,lt2,S017,0.6239,1
v0011,best_model,HRV,lt2,S018,2.7913,0
v0011,best_model,HRV,lt2,S019,1.5987,1
v0011,best_model,NIRS,lt1,S002,3.0631,0
v0011,best_model,NIRS,lt1,S003,4.39,1
v0011,best_model,NIRS,lt1,S004,2.4258,0
v0011,best_model,NIRS,lt1,S006,1.9743,0
v0011,best_model,NIRS,lt1,S008,1.484,0
v0011,best_model,NIRS,lt1,S009,4.1739,1
v0011,best_model,NIRS,lt1,S010,3.6605,1
v0011,best_model,NIRS,lt1,S011,2.5529,0
v0011,best_model,NIRS,lt1,S013,2.2843,1
v0011,best_model,NIRS,lt1,S014,3.3324,0
v0011,best_model,NIRS,lt1,S016,2.8271,0
v0011,best_model,NIRS,lt1,S017,2.7683,1
v0011,best_model,NIRS,lt1,S018,4.7225,0
v0011,best_model,NIRS,lt1,S019,4.932,1
v0011,best_model,NIRS,lt2,S001,5.3128,0
v0011,best_model,NIRS,lt2,S002,1.2396,0
v0011,best_model,NIRS,lt2,S003,5.4268,1
v0011,best_model,NIRS,lt2,S004,1.4866,0
v0011,best_model,NIRS,lt2,S005,4.0635,0
v0011,best_model,NIRS,lt2,S006,1.7395,0
v0011,best_model,NIRS,lt2,S007,0.9119,0
v0011,best_model,NIRS,lt2,S008,1.5938,0
v0011,best_model,NIRS,lt2,S009,6.1181,1
v0011,best_model,NIRS,lt2,S010,2.0592,1
v0011,best_model,NIRS,lt2,S011,2.4254,0
v0011,best_model,NIRS,lt2,S012,2.0022,0
v0011,best_model,NIRS,lt2,S013,2.6209,1
v0011,best_model,NIRS,lt2,S014,2.6332,0
v0011,best_model,NIRS,lt2,S015,6.0447,0
v0011,best_model,NIRS,lt2,S016,2.1244,0
v0011,best_model,NIRS,lt2,S017,2.9971,1
v0011,best_model,NIRS,lt2,S018,1.5457,0
