feature,mean_abs_shap,group,share_pct
feat_rr_per_watt,46.4618,interaction,4.9
hrv_mean_rr_ms,35.9312,HRV,3.8
z_vl_dist_load_wavelet_entropy,35.8236,EMG,3.8
trainred_hhb_mean,35.7541,NIRS,3.8
trainred_smo2_drop,34.7799,NIRS,3.7
z_vl_dist_load_zcr,33.728,EMG,3.5
trainred_hbdiff_std,31.3161,NIRS,3.3
hhb_from_running_min,30.0,NIRS,3.2
hrv_dfa_alpha1,29.6076,HRV,3.1
z_vl_prox_load_e_d5,23.2186,EMG,2.4
trainred_hhb_std,22.4154,NIRS,2.4
trainred_smo2_std,20.6614,NIRS,2.2
z_vl_dist_load_rms,18.766,EMG,2.0
z_vl_prox_load_p_mid,18.5633,EMG,2.0
z_vl_dist_rest_ratio_mid_high,18.1258,EMG,1.9
z_vl_dist_load_e_d5,17.3547,EMG,1.8
z_vl_prox_load_p_high,16.1534,EMG,1.7
trainred_thb_mean,15.9381,NIRS,1.7
z_vl_dist_rest_p_high,15.8342,EMG,1.7
z_vl_prox_load_mdf,15.6995,EMG,1.7
z_vl_prox_rest_ratio_mid_high,15.37,EMG,1.6
z_vl_prox_rest_mav,14.3547,EMG,1.5
z_vl_prox_load_wl,14.3519,EMG,1.5
z_vl_prox_load_mnf,14.3148,EMG,1.5
trainred_hbdiff_mean,14.3073,NIRS,1.5
smo2_from_running_max,13.8979,NIRS,1.5
feat_smo2_x_dfa,13.2261,interaction,1.4
z_vl_prox_load_wavelet_entropy,13.0916,EMG,1.4
feat_smo2_x_rr,12.6804,interaction,1.3
trainred_smo2_mean,11.7727,NIRS,1.2
z_vl_prox_rest_wavelet_entropy,11.2281,EMG,1.2
z_vl_prox_rest_p_mid,11.1933,EMG,1.2
z_vl_prox_rest_p_low,10.9824,EMG,1.2
z_vl_prox_load_ratio_mid_high,9.9975,EMG,1.1
z_cadence_mean_rpm,9.3525,kinematics,1.0
z_vl_dist_rest_p_low,8.9928,EMG,0.9
z_vl_prox_load_rms,8.9535,EMG,0.9
z_vl_dist_load_p_mid,8.752,EMG,0.9
z_vl_prox_load_zcr,8.6898,EMG,0.9
z_vl_dist_load_mdf,8.6383,EMG,0.9
z_vl_prox_load_e_d3,8.3317,EMG,0.9
hrv_sd1_sd2_ratio,8.2019,HRV,0.9
z_vl_prox_rest_mnf,7.5156,EMG,0.8
z_vl_dist_load_e_d4,7.0916,EMG,0.7
z_vl_dist_load_ratio_mid_high,6.9966,EMG,0.7
trainred_thb_std,6.7485,NIRS,0.7
z_vl_dist_load_e_d3,6.4005,EMG,0.7
z_vl_prox_load_rms_cv,6.0271,EMG,0.6
z_vl_dist_rest_ratio_low_high,6.0202,EMG,0.6
z_vl_dist_rest_zcr,5.8054,EMG,0.6
z_vl_dist_rest_p_mid,5.6482,EMG,0.6
z_vl_prox_load_e_d2,5.5897,EMG,0.6
z_load_duration_ms,4.6567,kinematics,0.5
z_vl_prox_rest_wl,4.6375,EMG,0.5
hrv_sd2_ms,4.5026,HRV,0.5
z_vl_dist_load_mav,4.4929,EMG,0.5
hrv_sd1_ms,4.4745,HRV,0.5
hrv_rmssd_ms,4.4745,HRV,0.5
z_vl_prox_rest_e_d2,4.3231,EMG,0.5
z_vl_dist_rest_wavelet_entropy,4.2136,EMG,0.4
z_load_duration_cv,4.0904,kinematics,0.4
smo2_rel_drop_pct,3.9231,NIRS,0.4
z_load_sampen_30s,3.9024,kinematics,0.4
z_vl_prox_rest_e_d3,3.6167,EMG,0.4
z_vl_prox_rest_mdf,3.3887,EMG,0.4
z_vl_prox_load_mav,3.3468,EMG,0.4
z_vl_dist_load_mnf,3.3149,EMG,0.3
hrv_sdnn_ms,3.2047,HRV,0.3
z_vl_prox_rest_p_high,3.0267,EMG,0.3
z_vl_dist_load_e_d2,2.9652,EMG,0.3
z_rest_duration_cv,2.8198,kinematics,0.3
z_vl_dist_load_rms_cv,2.8032,EMG,0.3
z_vl_dist_rest_mav,2.7304,EMG,0.3
z_vl_prox_load_ratio_low_high,2.6511,EMG,0.3
z_load_rest_ratio,2.374,kinematics,0.2
z_rest_duration_ms,2.3339,kinematics,0.2
z_rest_sampen_30s,2.1629,kinematics,0.2
z_vl_dist_load_ratio_low_high,2.0796,EMG,0.2
trainred_thb_slope,2.0326,NIRS,0.2
z_vl_prox_rest_e_d5,2.0237,EMG,0.2
z_cadence_cv,1.9562,kinematics,0.2
z_vl_prox_rest_rms,1.9049,EMG,0.2
z_vl_dist_load_p_high,1.7968,EMG,0.2
z_vl_prox_rest_zcr,1.5409,EMG,0.2
z_vl_dist_rest_rms,1.4926,EMG,0.2
trainred_hhb_slope,1.4619,NIRS,0.2
trainred_dhhb_dt,1.4619,NIRS,0.2
z_vl_dist_rest_rms_cv,1.3388,EMG,0.1
z_vl_dist_rest_wl,1.0478,EMG,0.1
z_vl_prox_load_e_d4,1.0379,EMG,0.1
z_rest_trend_cv_ratio_30s,0.9556,kinematics,0.1
z_vl_dist_rest_mnf,0.9256,EMG,0.1
trainred_smo2_slope,0.8966,NIRS,0.1
trainred_dsmo2_dt,0.8966,NIRS,0.1
z_vl_prox_rest_rms_cv,0.8911,EMG,0.1
z_vl_prox_rest_e_d4,0.8068,EMG,0.1
z_vl_dist_rest_e_d2,0.7869,EMG,0.1
z_vl_dist_rest_mdf,0.7834,EMG,0.1
z_vl_prox_rest_ratio_low_high,0.7584,EMG,0.1
z_vl_dist_load_wl,0.7071,EMG,0.1
z_vl_prox_load_p_low,0.5368,EMG,0.1
z_vl_dist_rest_e_d3,0.289,EMG,0.0
z_vl_dist_rest_e_d4,0.2836,EMG,0.0
z_load_trend_cv_ratio_30s,0.2263,kinematics,0.0
z_vl_dist_load_p_low,0.1693,EMG,0.0
z_vl_dist_rest_e_d5,0.1307,EMG,0.0
trainred_hbdiff_slope,0.1262,NIRS,0.0
