variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt2,18,79,5.5744,5.7852,30.0,5.7852,5.9471,6.1621,6.8911,-0.178,0.446,230.6
noabs,EMG,lt2,18,79,5.6407,5.8475,30.0,5.8475,6.007,6.2193,6.9403,-0.204,0.323,260.8
with_abs,NIRS,lt2,18,18,5.862,6.0388,30.0,6.0388,6.1765,6.3619,7.0155,-0.287,0.228,240.5
noabs,NIRS,lt2,18,14,5.7484,5.9279,30.0,5.9279,6.0709,6.2637,6.9353,-0.224,0.196,235.8
with_abs,EMG+NIRS,lt2,18,97,5.6916,5.8974,30.0,5.8974,6.0555,6.2646,6.97,-0.217,0.385,181.9
noabs,EMG+NIRS,lt2,18,93,5.6648,5.8814,30.0,5.8814,6.0467,6.2631,6.9846,-0.206,0.409,177.1
with_abs,EMG+NIRS+HRV,lt2,18,107,5.3917,5.6297,30.0,5.6297,5.8144,6.0563,6.8508,-0.132,0.708,178.2
noabs,EMG+NIRS+HRV,lt2,18,101,5.4315,5.6615,30.0,5.6615,5.8392,6.073,6.8455,-0.143,0.582,166.6
