variant,feature_set,target,subject_id,mae_min,r2
noabs,EMG,lt1,S001,3.6272,0.335
noabs,EMG,lt1,S002,2.1782,0.196
noabs,EMG,lt1,S003,6.8479,-0.068
noabs,EMG,lt1,S004,3.494,-0.153
noabs,EMG,lt1,S005,5.9335,-0.314
noabs,EMG,lt1,S006,2.642,-0.043
noabs,EMG,lt1,S007,4.8012,-0.164
noabs,EMG,lt1,S008,2.6249,-0.191
noabs,EMG,lt1,S009,8.9999,-0.948
noabs,EMG,lt1,S010,4.5313,0.471
noabs,EMG,lt1,S011,2.1957,0.413
noabs,EMG,lt1,S012,2.2492,0.162
noabs,EMG,lt1,S013,1.3792,0.925
noabs,EMG,lt1,S014,2.7898,0.574
noabs,EMG,lt1,S016,1.2729,0.859
noabs,EMG,lt1,S017,3.9563,0.022
noabs,EMG,lt1,S018,1.487,0.809
noabs,EMG,lt1,S019,4.7268,0.453
noabs,EMG,lt2,S001,4.9849,0.08
noabs,EMG,lt2,S002,2.1561,0.32
noabs,EMG,lt2,S003,4.6572,0.402
noabs,EMG,lt2,S004,3.1017,0.176
noabs,EMG,lt2,S005,7.3336,-0.902
noabs,EMG,lt2,S006,4.9599,-2.175
noabs,EMG,lt2,S007,1.3719,0.598
noabs,EMG,lt2,S008,1.8798,0.467
noabs,EMG,lt2,S009,7.1686,-0.056
noabs,EMG,lt2,S010,3.8921,0.567
noabs,EMG,lt2,S011,4.6164,-0.436
noabs,EMG,lt2,S012,2.9079,0.012
noabs,EMG,lt2,S013,2.6351,0.763
noabs,EMG,lt2,S014,2.9704,0.55
noabs,EMG,lt2,S016,1.3587,0.809
noabs,EMG,lt2,S017,3.6739,0.247
noabs,EMG,lt2,S018,2.0168,-0.843
noabs,EMG,lt2,S019,5.0846,0.405
noabs,EMG+NIRS,lt1,S001,4.5987,0.059
noabs,EMG+NIRS,lt1,S002,2.2136,0.116
noabs,EMG+NIRS,lt1,S003,6.5925,0.047
noabs,EMG+NIRS,lt1,S004,2.1193,0.586
noabs,EMG+NIRS,lt1,S005,5.398,-0.018
noabs,EMG+NIRS,lt1,S006,2.1398,0.036
noabs,EMG+NIRS,lt1,S007,3.5746,0.282
noabs,EMG+NIRS,lt1,S008,2.0637,0.315
noabs,EMG+NIRS,lt1,S009,7.5891,-0.352
noabs,EMG+NIRS,lt1,S010,4.3955,0.482
noabs,EMG+NIRS,lt1,S011,2.1823,0.335
noabs,EMG+NIRS,lt1,S012,2.2554,0.17
noabs,EMG+NIRS,lt1,S013,1.4585,0.895
noabs,EMG+NIRS,lt1,S014,1.8165,0.814
noabs,EMG+NIRS,lt1,S016,1.4311,0.729
noabs,EMG+NIRS,lt1,S017,4.3218,-0.177
noabs,EMG+NIRS,lt1,S018,2.2489,0.643
noabs,EMG+NIRS,lt1,S019,4.9984,0.381
noabs,EMG+NIRS,lt2,S001,5.2124,-0.005
noabs,EMG+NIRS,lt2,S002,1.4863,0.427
noabs,EMG+NIRS,lt2,S003,5.2386,0.337
noabs,EMG+NIRS,lt2,S004,2.5298,0.433
noabs,EMG+NIRS,lt2,S005,8.1766,-1.453
