variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt1,18,79,4.5579,4.7835,30.0,4.7835,4.9484,5.1493,5.7188,0.296,0.577,77.7
noabs,EMG,lt1,18,79,4.6759,4.8792,30.0,4.8792,5.0289,5.2126,5.7404,0.264,0.547,74.5
with_abs,NIRS,lt1,18,18,4.4232,4.5834,30.0,4.5834,4.6967,4.8372,5.2862,0.324,0.622,80.3
noabs,NIRS,lt1,18,14,4.911,5.1022,30.0,5.1022,5.2362,5.4035,5.9334,0.14,0.632,81.0
with_abs,EMG+NIRS,lt1,18,97,3.9104,4.1196,30.0,4.1196,4.2654,4.4422,4.9668,0.485,0.724,92.9
noabs,EMG+NIRS,lt1,18,93,4.0894,4.3199,30.0,4.3199,4.4828,4.6798,5.2507,0.428,0.678,90.4
with_abs,EMG+NIRS+HRV,lt1,18,107,3.7559,3.9933,30.0,3.9933,4.1702,4.3894,5.0445,0.501,0.734,102.7
noabs,EMG+NIRS+HRV,lt1,18,101,3.8746,4.1216,30.0,4.1216,4.3061,4.535,5.2023,0.483,0.725,91.8
