rank,name,n_features,n_folds,elapsed_sec,mae_min_mean,mae_min_std,rmse_min_mean,r2_mean,spearman_rho_mean,spearman_rho_std
1,ElasticNet_a0.5_l1r0.9_nirs_hrv,22,13,0.2,2.224510554955822,1.535369330697494,2.4981216333181866,0.7516758497864952,0.9679473736517784,0.029835692205039857
2,ElasticNet_a0.1_l1r0.5_nirs_hrv,22,13,0.2,2.227959440006383,1.5282135489710522,2.5076127887472075,0.748123622136316,0.9671040589102733,0.03041933632954225
3,Ridge_a100_0_nirs_hrv,22,13,0.1,2.232036656963373,1.5372211281621782,2.514360934389605,0.7448132085400735,0.9670311982064308,0.030623932936952918
4,ElasticNet_a0.1_l1r0.1_nirs_hrv,22,13,0.2,2.2404626248234254,1.5038378286228533,2.5284653851372836,0.744369859889434,0.9654762000853336,0.031033762909446917
5,ElasticNet_a0.1_l1r0.9_nirs_hrv,22,13,0.3,2.321162008778298,1.6108409282864367,2.6068912327612734,0.7099224424995012,0.9641314359969051,0.03573509460437353
6,Ridge_a500_0_nirs_hrv,22,13,0.1,2.3291537154399653,1.4793409140213347,2.648241551584509,0.7119623754892556,0.9607276227815469,0.03150485897062626
7,ElasticNet_a0.01_l1r0.1_nirs_hrv,22,13,0.5,2.334166886586053,1.609858218136171,2.6210971453868694,0.7044002476444244,0.9630439406527326,0.03756744318541359
8,Ridge_a100_0_hrv_only,7,13,0.1,2.370244932133175,0.912592534357341,2.7012413960836272,0.732990852524163,0.9615483368744818,0.05195874804100907
9,ElasticNet_a0.01_l1r0.5_nirs_hrv,22,13,0.6,2.3710021168747026,1.6252770798389613,2.658027140425104,0.6905334462075174,0.9623980239898942,0.037761022159700494
10,ElasticNet_a0.5_l1r0.5_nirs_hrv,22,13,0.2,2.371686090793,1.470361056282857,2.699292946605425,0.6967030207589017,0.9599721337597479,0.030012386953197127
11,Ridge_a10_0_nirs_hrv,22,13,0.1,2.3831269439849905,1.6286417117072198,2.670383800373969,0.6857649296228373,0.9619714114527139,0.03835016276450142
12,Ridge_a500_0_hrv_only,7,13,0.1,2.393225651143178,0.89546599296603,2.792941611827282,0.705105346181675,0.9485428146127634,0.05559501222020718
13,ET300_nirs_hrv,22,13,20.3,2.4144761067130927,1.063945343132947,2.745571857980527,0.7003649181830354,0.9646629239432882,0.04024566163300924
14,ElasticNet_a0.01_l1r0.9_nirs_hrv,22,13,1.5,2.420064709275966,1.6449118779620833,2.708288247727195,0.6714191499849587,0.9613477521426455,0.0385616380855061
15,Ridge_a1_rob_nirs_hrv,22,13,0.1,2.426955418352766,1.6476133365172874,2.715629792790585,0.6689912670775381,0.9611968926573554,0.038577058814629785
16,Ridge_a1_0_nirs_hrv,22,13,0.1,2.431418776072576,1.648240806138596,2.720144138060651,0.6672745588232178,0.9610639987157862,0.03862517718461773
17,Ridge_a0_1_nirs_hrv,22,13,0.1,2.4473315124193116,1.6501586016709355,2.7371019464136337,0.6634356847547083,0.9601612501158082,0.03887179217016136
18,Ridge_a0_01_nirs_hrv,22,13,0.1,2.454607068977582,1.6500203584039375,2.745262626707507,0.6620668871998495,0.959399469642274,0.039232106534124046
19,Ridge_a10_0_hrv_only,7,13,0.1,2.4678075945432933,0.9116031451055264,2.7710448331694164,0.7088047227182581,0.9629491186187962,0.0519020687096965
20,Ridge_a1_0_hrv_only,7,13,0.1,2.4841047492516997,0.917893818625508,2.786083124353758,0.7036554948494865,0.9626373407120355,0.05358289067974764
21,ElasticNet_a0.5_l1r0.1_nirs_hrv,22,13,0.2,2.490118662003039,1.440924193521077,2.848160941827263,0.6566622571143058,0.9550570200173669,0.03069853417379676
22,Ridge_a0_1_hrv_only,7,13,0.1,2.493137004634449,0.9201366688811671,2.7970368779919514,0.701395651902902,0.9609599663779782,0.05858188033645603
23,Ridge_a0_01_hrv_only,7,13,0.1,2.498301459326641,0.9213991954138616,2.804335577727691,0.6999895741377091,0.9598584008548182,0.06220543683006354
24,LGBM_deep_nirs_hrv,22,13,12.9,2.6127876157917806,1.1661542436157617,3.0315198700158836,0.6277405151579699,0.9425689864349381,0.05449727370179696
25,ET300_hrv_only,7,13,9.0,2.63558809387632,1.2144746774704192,3.0746321006804402,0.64278388427138,0.9457888191570716,0.03408229692101269
26,LGBM_shallow_nirs_hrv,22,13,1.8,2.6868484015665355,1.2583558119922011,3.0482658226151997,0.6260422673107071,0.9470394492881518,0.046563934483727414
27,LGBM_shallow_all,99,13,6.6,2.6931037552884685,1.600715414326943,3.0258213106033782,0.6188969229766115,0.9736397712769473,0.01878754298213999
28,LGBM_default_nirs_hrv,22,13,5.0,2.720891324473587,1.091572992837304,3.1082146008772322,0.6139186148369178,0.9426449295056376,0.05346907588415547
29,LGBM_dart_hrv_only,7,13,20.5,2.7226332212168525,1.2895556034824702,3.1681863593083697,0.618125012811345,0.9260644896856547,0.05537714257483657
30,LGBM_default_nirs_hrv_signlog,22,13,5.5,2.7291124698708042,0.9709135614292335,3.244906937513556,0.5657464239137663,0.8490516666328775,0.2176270573360788
31,LGBM_deep_hrv_only,7,13,6.3,2.7713884979162895,1.2728417447156073,3.3123444133063704,0.5881614523223383,0.9152637956463472,0.07706679910401149
32,LGBM_dart_all,99,13,45.3,2.7722345871652148,1.5110576937575741,3.1125609571597233,0.5702008349157522,0.9566916059915027,0.06104466581928247
33,Stack_LGBM_RF_all,99,13,674.8,2.772905550144173,1.657216363658762,3.126044573135627,0.5926896465826833,0.9657479560714086,0.02911995025746146
34,SVR_rbf_C10_hrv_only,7,13,2.4,2.773620894619179,1.52122122582797,3.30454533256289,0.6237189691707137,0.9130587424916303,0.15311663578645443
35,SVR_rbf_C10_rob_top10,10,13,2.2,2.77538908732423,2.035153910323425,3.2708443537791,0.545503531836771,0.8688927804513913,0.38146237388196513
36,GBM300_all,99,13,271.7,2.781953225701689,1.5572907498583253,3.16534654361031,0.5933004950395637,0.9649543892631782,0.03711369049239565
37,LGBM_default_all,99,13,20.3,2.784247658733307,1.6384118236797218,3.1249644967932975,0.5975659591201439,0.9716492655270916,0.02286819263606587
38,LGBM_deep_all,99,13,48.6,2.7842900966604707,1.8317344760159535,3.1342410754330112,0.5891823897380459,0.9644827714518941,0.032345788830349956
39,RF500deep_hrv_only,7,13,44.0,2.784336334855804,1.1434913818984,3.2272809949305246,0.587860502315116,0.9401138481650485,0.03448559701974038
40,LGBM_shallow_top35,35,13,3.2,2.7863089590698134,1.7820236721621576,3.147568239474969,0.5656451120621363,0.9592016181475409,0.03820633949428167
41,RF500deep_all,99,13,453.5,2.7939227388524372,1.2566466560691865,3.2322605054711713,0.5757450184666015,0.9598799692529761,0.04049983511044909
42,GBM300_nirs_hrv,22,13,62.9,2.799573112499378,1.0997569110887482,3.194885213608363,0.5806168699183254,0.9494169207718328,0.050093568590235026
43,SVR_rbf_C10_rob_hrv_only,7,13,2.4,2.8041821814810644,1.4608602328108429,3.3233136576111324,0.6188595234882222,0.9143945033673281,0.15378096653143308
44,GBM300_hrv_only,7,13,20.4,2.805920199308514,1.3050122191704558,3.2994120529886923,0.581741655902865,0.9342089884121051,0.031871835791165495
45,ET300_all,99,13,82.4,2.8101729593834532,2.2572328376568427,3.16660707229048,0.5783517797034498,0.9871845311378297,0.01197430888268143
46,LGBM_deep_nirs_hrv_signlog,22,13,10.1,2.816233377231308,0.9356399331118909,3.3988681134526852,0.5294077618657871,0.8342138917261042,0.2318125606445636
47,RF200_hrv_only,7,13,14.3,2.820049878258867,1.1444940441626188,3.246446878567587,0.5852201678902785,0.939985952301811,0.03790147032297533
48,LGBM_default_top35,35,13,9.8,2.820500616266348,1.8753220072995065,3.21941074505178,0.5430461053242442,0.954992624026137,0.04685459358965858
49,GBM300_top35,35,13,107.7,2.8207396430220304,1.5217349808689529,3.236412266137568,0.5449815232786562,0.9590666341436482,0.04363128679397663
50,RF200_all,99,13,191.8,2.8233676165368347,1.2418044305401235,3.2645683043035336,0.5647531963149461,0.9611001426266461,0.03674856553973829
51,LGBM_shallow_hrv_only,7,13,0.9,2.83882906160908,1.2575978665216365,3.359218823074215,0.5801774007788943,0.9134503074745269,0.056848801137204745
52,LGBM_default_hrv_only,7,13,2.3,2.8447997376312983,1.2900613501338705,3.378296657652157,0.5621458122632423,0.9128855925504986,0.06508696343272828
53,ET300_top35,35,13,33.2,2.8555508880927243,2.514801676720132,3.2446078291529195,0.513910044769087,0.9783846516322245,0.01986730760477451
54,RF500deep_top35,35,13,197.1,2.8642819452936723,1.567726515623206,3.3159862456331863,0.5374187952503581,0.9571783317782993,0.033425540396245866
55,RF200_top35,35,13,68.4,2.8666404587191803,1.5239585673822031,3.3261016297437656,0.5352204972988819,0.9528729564056397,0.03403999900698848
56,GBM300_top20,20,13,59.7,2.869658243965724,1.837949324383392,3.2815194170263946,0.5207078816842687,0.9127434317382813,0.17416584985490324
57,Ridge_a100_0_top35,35,13,0.1,2.8782014741114024,3.9574818680046446,5.866347272894531,-2.72776024623757,0.9617610483280166,0.096486558407173
58,RF500deep_top20,20,13,119.9,2.8825113556414204,1.7764369352979557,3.3526535309763976,0.4869020988961218,0.9093853667115123,0.20417591415309322
59,RF200_nirs_hrv,22,13,41.2,2.884339158209099,0.9244866978888776,3.3547965483159343,0.5287647893104384,0.9297548265094732,0.06655351977566427
60,LGBM_deep_top35,35,13,18.7,2.8918113626782667,2.055414971172094,3.295526113266731,0.5154873647988288,0.9497146588506159,0.051717451653925564
61,Stack_LGBM_RF_nirs_hrv,22,13,180.1,2.895740491059221,1.2650603461070842,3.3165081892656114,0.5574283227743917,0.935980715685944,0.05756686108157011
62,LGBM_dart_nirs_hrv,22,13,20.0,2.898681984058558,1.0691841963253854,3.2993867838005646,0.5130742590623648,0.9341110420593689,0.06090651436166681
63,ET300_top20,20,13,20.3,2.90057099529006,2.7476485650967204,3.272703988725951,0.4908657726694938,0.9612304198369931,0.0889822800699666
64,RF500deep_nirs_hrv,22,13,130.1,2.9029607428219157,0.9221354640455529,3.3716906346258115,0.5187410522191418,0.9352489116157202,0.06382066768586264
65,LGBM_dart_top35,35,13,23.3,2.9072429016460086,1.4974486367084088,3.3146926568093376,0.5114121903705826,0.9472714883667656,0.06403166736722818
66,RF200_top20,20,13,37.4,2.9077183419476635,1.735580203833995,3.3905088665633984,0.4808692202161806,0.8982122175793091,0.2395621528561335
67,SVR_rbf_C10_top20,20,13,2.4,2.908112935008176,1.92241602847587,3.533179166654693,0.4651849353733573,0.8702541106420648,0.36893048497225434
68,LGBM_shallow_top20,20,13,1.5,2.91712613778341,1.887372853615252,3.338352645956526,0.5167652321352858,0.9278368491273563,0.12222572889469367
69,Stack_LGBM_RF_hrv_only,7,13,75.1,2.9294490964726916,1.2494940165779753,3.3473085215743583,0.5751956091294128,0.9392469590219898,0.038029009167947894
70,LGBM_default_top20,20,13,4.4,2.9315377264120643,2.1031993578638355,3.4106457965257984,0.5019153876793374,0.9291891423648481,0.13453066532992278
71,SVR_rbf_C10_top10,10,13,2.3,2.9519791696961115,1.8737035389300303,3.5575957912454896,0.5197628094492236,0.8481745564902854,0.37802345356897804
72,Stack_LGBM_RF_top20,20,13,158.0,2.968627872567458,2.074716467445914,3.4106913064059112,0.5073025575045297,0.9137416696586957,0.181586107589022
73,LGBM_dart_top20,20,13,23.9,3.008729120631961,1.8831600578214736,3.4573276779873847,0.5121373810700293,0.900072159538976,0.18898628362412637
74,LGBM_deep_top20,20,13,13.1,3.0138736895472116,2.2657310458383733,3.5043670052371,0.4696010669000935,0.9207217651830816,0.1555844202772974
75,SVR_rbf_C10_nirs_hrv,22,13,3.3,3.0140394786047273,1.2569114585615875,3.6803599883566163,0.43900698598743576,0.8922054707134893,0.15956603176450201
76,SVR_rbf_C100_hrv_only,7,13,2.4,3.033325803248567,1.406335688237999,3.575816347412447,0.539452788109746,0.8917340125097604,0.1741319050959736
77,SVR_rbf_C10_rob_nirs_hrv,22,13,3.2,3.0756119612014263,1.3249617229692607,3.694262813308505,0.4637992171248693,0.8779666754341708,0.18753311651391535
78,LGBM_default_top20_signlog,20,13,3.3,3.0864963617592567,1.9396282975119177,3.634620714755564,0.43904772017678234,0.9116372388316552,0.06224671039628981
79,SVR_rbf_C10_rob_top20,20,13,2.5,3.1330653833649738,2.068854471995289,3.6622676994769785,0.4045895107134898,0.8699123404186466,0.36613060205103826
80,SVR_rbf_C100_top10,10,13,2.4,3.1668938145606864,1.7464789970070693,3.6106679133072883,0.5068150639364115,0.8500254223542891,0.35634334042420956
81,LGBM_deep_top20_signlog,20,13,7.9,3.182944901319684,2.1019321705534106,3.877104610044811,0.41470386298265577,0.8788536315111551,0.08109234295812981
82,SVR_rbf_C100_nirs_hrv,22,13,3.7,3.1970030955698303,1.045486959707082,3.780369156632686,0.32383318126097393,0.923525643407237,0.1072453161929085
83,Ridge_a500_0_top35,35,13,0.2,3.2325240006469125,4.228084437972908,4.811135666962316,-0.8044124857138442,0.9605313382015227,0.08803607520573693
84,LGBM_deep_hrv_only_signlog,7,13,4.7,3.2648005721522186,1.2436113573687788,4.011383214906418,0.36384974393695396,0.7783602100490601,0.34508605112376783
85,LGBM_default_hrv_only_signlog,7,13,2.0,3.3472410076545236,1.2033202596218713,4.391693105229363,0.05645667113139716,0.8393027815405752,0.09977297248959532
86,SVR_rbf_C100_top20,20,13,2.7,3.431751427480975,1.9182234657855952,3.923150310444699,0.3134521529862295,0.8739443231126368,0.3535310995513852
87,Ridge_a10_0_top35,35,13,0.2,3.43380611645786,5.637083226421368,8.032668895625669,-7.51424493453462,0.9599304971485852,0.10114934081531113
88,LGBM_default_all_kin_subjEMGnorm,99,13,21.5,3.4398441829386144,1.609873195731914,3.927239186710677,0.2869085391167883,0.9474085474751431,0.08683258375082921
89,LGBM_default_all_subjEMGnorm,99,13,21.8,3.4398441829386144,1.609873195731914,3.927239186710677,0.2869085391167883,0.9474085474751431,0.08683258375082921
90,Ridge_a500_0_top20,20,13,0.1,3.449347052560783,4.806775019646136,3.830058924613485,0.1467706289108173,0.9940791886588555,0.00708054956853656
91,Ridge_a500_0_top10,10,13,0.1,3.4784666037603795,4.335353515032949,3.8538762564471507,0.24530885819792705,0.9911031213831284,0.014637276186511637
92,SVR_rbf_C1_top10,10,13,2.3,3.5104323826122723,1.633832270580862,4.326492036588528,0.31836375339621026,0.8392705049412087,0.38112895965769694
93,SVR_rbf_C1_hrv_only,7,13,2.6,3.524658978834769,1.7863499362161694,4.219417168709109,0.1672850888355728,0.8651890629413244,0.18149790160252346
94,ElasticNet_a0.5_l1r0.9_all,99,13,2.2,3.5864057632029667,5.64192931361594,5.110166595098525,-1.166734399568974,0.9534090577503271,0.08842826220878382
95,SVR_rbf_C1_top20,20,13,2.6,3.6380541514427454,1.7100168349229623,4.463492658284595,0.21839897517825393,0.816927545841177,0.5235577904446631
96,LGBM_deep_all_subjEMGnorm,99,13,53.9,3.7058882574364462,1.8331553898963253,4.23893002499047,0.14885778175072154,0.9396086162930642,0.07934760038010046
97,LGBM_deep_all_kin_subjEMGnorm,99,13,50.6,3.7058882574364462,1.8331553898963253,4.23893002499047,0.14885778175072154,0.9396086162930642,0.07934760038010046
98,LGBM_shallow_emg_nirs,87,13,6.3,3.753674160055563,3.2087370422682278,4.354017304166937,0.18942421920556377,0.8606434122770843,0.14374142386287964
99,ElasticNet_a0.5_l1r0.5_all,99,13,1.4,3.844469321545901,5.507712780150767,4.537715914561904,-0.2911582479810876,0.9509918961161093,0.07419606554257885
100,LGBM_default_emg_nirs,87,13,19.2,3.9269201695427216,3.337678900548386,4.566055441834355,0.12007859301577109,0.8570885042669177,0.150376999013875
101,Ridge_a500_0_all,99,13,0.4,3.938737199884552,5.955645442088469,5.085985543783455,-0.8842294163619392,0.9481987554443332,0.08422182049301496
102,ElasticNet_a0.5_l1r0.1_all,99,13,1.4,3.9446755754381146,5.4351907723297765,4.423368298970089,-0.12486758678752553,0.951300031299598,0.06395033656247823
103,LGBM_deep_emg_nirs,87,13,39.9,3.9546224583893217,3.3686242213703097,4.61016503992998,0.05921575188706733,0.8425475101122366,0.15891755957568393
104,LGBM_dart_emg_nirs,87,13,33.4,3.9744881174745723,3.0729256822587834,4.648192757042882,0.09525264895763019,0.8327189744056469,0.1833408390993316
105,Ridge_a100_0_top10,10,13,0.1,4.0123823460051105,5.832517954543567,4.420253261947653,-0.1741237590278676,0.9905689412287836,0.015026034923576336
106,ElasticNet_a0.1_l1r0.1_all,99,13,4.9,4.031002389245557,6.862372404512268,6.431456995338485,-3.1263671325571787,0.9475945041306961,0.09476399043156351
107,Ridge_a100_0_top20,20,13,0.2,4.043765446642113,6.133128232735316,4.4491577224120045,-0.24299608477567755,0.9930987500618175,0.008345864197736731
108,ElasticNet_a0.1_l1r0.5_all,99,13,5.0,4.115182619497538,7.510329717384155,7.337186899351083,-5.190314193768696,0.9492117702147755,0.09720740592260864
109,SVR_rbf_C1_nirs_hrv,22,13,3.2,4.163407328815028,1.7545150947029984,4.968458616616733,-0.05182125179725989,0.8427594045707096,0.22196065795131958
110,Ridge_a100_0_all,99,13,0.4,4.267401862477251,8.151413153215703,8.098001153532422,-7.144289603868397,0.9503082321572099,0.09685500774612527
111,Stack_LGBM_ET_Ridge_top20,20,13,93.6,4.2676683437168155,6.9975566591781515,4.7731504390555575,-0.48839118821377486,0.9757366637400422,0.02983587024740452
112,Ridge_a1_0_top35,35,13,0.1,4.299334207414867,8.119175220746135,10.634233328600306,-15.548837813107907,0.957158790287753,0.10234388578172023
113,SVR_poly_C10_nirs_hrv,22,13,2.7,4.402706457572242,1.068608313407893,5.3093123861092035,-0.17750414075564197,0.42549172642558464,0.48883905442685904
114,SVR_poly_C10_hrv_only,7,13,1.9,4.465111085857758,1.6232884247219599,5.4872095260449205,-0.4687575915950352,0.5198635332979666,0.31198447837743165
115,Ridge_a0_1_top35,35,13,0.1,4.512737584119171,8.509030737659497,10.890321077418772,-16.174628838340762,0.9539029779368775,0.10247869886565877
116,Ridge_a0_01_top35,35,13,0.2,4.540287776356279,8.535835060932891,10.891339409959405,-16.10932620417407,0.9534510965732548,0.10253416088536838
117,Ridge_a10_0_top10,10,13,0.1,4.6064201653264245,7.59889217766335,5.07052443019379,-0.7678212596607069,0.9882877434837536,0.015944600244163123
118,ElasticNet_a0.1_l1r0.9_all,99,13,6.2,4.651588972563287,9.428879671594569,9.403444937770574,-10.992776704768342,0.9557182215065289,0.09648860892438273
119,Ridge_a1_0_top10,10,13,0.1,4.8167620873324966,8.096405548511925,5.287851194422368,-0.9618620036923425,0.9866283642231668,0.016354979492806426
120,Ridge_a0_1_top10,10,13,0.1,4.855679512099963,8.16213069458776,5.328935312486252,-0.9916979500823694,0.9862461256087838,0.016507734624938774
121,Ridge_a0_01_top10,10,13,0.1,4.86011006382848,8.168932810797761,5.333637682175772,-0.9949237408531452,0.9862293760891808,0.01647753430200756
122,ElasticNet_a0.01_l1r0.1_all,99,13,7.0,5.052075930752451,10.840072645712047,11.042264638212115,-16.92771947343537,0.9548076808747473,0.09780327506644816
123,SVR_rbf_C10_all_subjEMGnorm,99,13,4.3,5.236440847240899,1.7839477596398279,6.181259569849739,-0.7236866543203219,,
