variant,feature_set,target,subject_id,mae_min,r2
noabs,EMG,lt1,S001,3.7516,0.352
noabs,EMG,lt1,S002,4.9128,-2.073
noabs,EMG,lt1,S003,4.8885,0.353
noabs,EMG,lt1,S004,2.5301,0.332
noabs,EMG,lt1,S005,6.2504,-0.56
noabs,EMG,lt1,S006,2.1401,0.226
noabs,EMG,lt1,S007,3.1435,0.365
noabs,EMG,lt1,S008,4.7641,-2.005
noabs,EMG,lt1,S009,7.5488,-0.277
noabs,EMG,lt1,S010,6.2298,-0.019
noabs,EMG,lt1,S011,1.5846,0.719
noabs,EMG,lt1,S012,0.7124,0.917
noabs,EMG,lt1,S013,2.1583,0.8
noabs,EMG,lt1,S014,2.733,0.438
noabs,EMG,lt1,S016,1.1223,0.893
noabs,EMG,lt1,S017,2.338,0.64
noabs,EMG,lt1,S018,1.153,0.919
noabs,EMG,lt1,S019,4.8648,0.358
noabs,EMG,lt2,S001,3.201,0.433
noabs,EMG,lt2,S002,3.847,-1.219
noabs,EMG,lt2,S003,2.7436,0.709
noabs,EMG,lt2,S004,1.0384,0.801
noabs,EMG,lt2,S005,6.4242,-1.07
noabs,EMG,lt2,S006,2.7925,-0.453
noabs,EMG,lt2,S008,1.6381,0.178
noabs,EMG,lt2,S009,5.3037,0.297
noabs,EMG,lt2,S010,3.9909,0.484
noabs,EMG,lt2,S011,2.724,0.025
noabs,EMG,lt2,S012,0.6095,0.945
noabs,EMG,lt2,S013,2.2726,0.742
noabs,EMG,lt2,S014,1.1701,0.886
noabs,EMG,lt2,S016,0.8786,0.923
noabs,EMG,lt2,S017,2.5305,0.432
noabs,EMG,lt2,S018,1.8441,-1.765
noabs,EMG,lt2,S019,3.9879,0.528
noabs,EMG+NIRS,lt1,S001,4.1263,0.241
noabs,EMG+NIRS,lt1,S002,3.1722,-0.36
noabs,EMG+NIRS,lt1,S003,6.0246,0.062
noabs,EMG+NIRS,lt1,S004,0.8688,0.891
noabs,EMG+NIRS,lt1,S005,4.634,0.197
noabs,EMG+NIRS,lt1,S006,2.0521,0.313
noabs,EMG+NIRS,lt1,S007,1.8025,0.781
noabs,EMG+NIRS,lt1,S008,3.7682,-0.903
noabs,EMG+NIRS,lt1,S009,7.0005,-0.019
noabs,EMG+NIRS,lt1,S010,2.5998,0.782
noabs,EMG+NIRS,lt1,S011,0.9828,0.88
noabs,EMG+NIRS,lt1,S012,2.8144,0.074
noabs,EMG+NIRS,lt1,S013,2.1065,0.833
noabs,EMG+NIRS,lt1,S014,1.6342,0.811
noabs,EMG+NIRS,lt1,S016,1.6828,0.731
noabs,EMG+NIRS,lt1,S017,4.0097,0.028
noabs,EMG+NIRS,lt1,S018,1.2176,0.876
noabs,EMG+NIRS,lt1,S019,4.7394,0.412
noabs,EMG+NIRS,lt2,S001,4.628,-0.058
noabs,EMG+NIRS,lt2,S002,2.9433,-0.591
noabs,EMG+NIRS,lt2,S003,2.6005,0.764
noabs,EMG+NIRS,lt2,S004,0.4822,0.966
noabs,EMG+NIRS,lt2,S005,9.9366,-3.332
noabs,EMG+NIRS,lt2,S006,5.4956,-4.655
noabs,EMG+NIRS,lt2,S008,0.8737,0.852
noabs,EMG+NIRS,lt2,S009,2.7168,0.817
noabs,EMG+NIRS,lt2,S010,2.8077,0.776
noabs,EMG+NIRS,lt2,S011,2.6589,0.329
noabs,EMG+NIRS,lt2,S012,2.4141,0.235
noabs,EMG+NIRS,lt2,S013,1.1568,0.926
noabs,EMG+NIRS,lt2,S014,3.812,0.045
noabs,EMG+NIRS,lt2,S016,1.264,0.863
noabs,EMG+NIRS,lt2,S017,2.4322,0.583
noabs,EMG+NIRS,lt2,S018,1.3562,-0.462
noabs,EMG+NIRS,lt2,S019,5.0754,0.309
noabs,EMG+NIRS+HRV,lt1,S001,3.7451,0.306
noabs,EMG+NIRS+HRV,lt1,S002,2.4357,0.156
noabs,EMG+NIRS+HRV,lt1,S003,7.0247,-0.278
noabs,EMG+NIRS+HRV,lt1,S004,1.3233,0.77
noabs,EMG+NIRS+HRV,lt1,S005,3.9075,0.434
noabs,EMG+NIRS+HRV,lt1,S006,0.4525,0.956
noabs,EMG+NIRS+HRV,lt1,S007,1.5055,0.828
noabs,EMG+NIRS+HRV,lt1,S008,1.6852,0.56
noabs,EMG+NIRS+HRV,lt1,S009,5.0995,0.51
noabs,EMG+NIRS+HRV,lt1,S010,3.3584,0.66
noabs,EMG+NIRS+HRV,lt1,S011,0.7253,0.916
noabs,EMG+NIRS+HRV,lt1,S012,3.9587,-0.888
noabs,EMG+NIRS+HRV,lt1,S013,1.6926,0.846
noabs,EMG+NIRS+HRV,lt1,S014,3.1486,0.483
noabs,EMG+NIRS+HRV,lt1,S016,1.7583,0.748
noabs,EMG+NIRS+HRV,lt1,S017,5.0474,-0.391
noabs,EMG+NIRS+HRV,lt1,S018,0.7703,0.935
noabs,EMG+NIRS+HRV,lt1,S019,2.748,0.807
noabs,EMG+NIRS+HRV,lt2,S001,4.7702,-0.092
noabs,EMG+NIRS+HRV,lt2,S002,1.3806,0.682
noabs,EMG+NIRS+HRV,lt2,S003,2.5031,0.785
noabs,EMG+NIRS+HRV,lt2,S004,0.9741,0.866
noabs,EMG+NIRS+HRV,lt2,S005,6.2513,-0.861
noabs,EMG+NIRS+HRV,lt2,S006,3.0107,-0.627
noabs,EMG+NIRS+HRV,lt2,S008,0.9788,0.811
noabs,EMG+NIRS+HRV,lt2,S009,3.6209,0.7
noabs,EMG+NIRS+HRV,lt2,S010,3.765,0.553
noabs,EMG+NIRS+HRV,lt2,S011,1.9343,0.635
noabs,EMG+NIRS+HRV,lt2,S012,3.3426,-0.341
noabs,EMG+NIRS+HRV,lt2,S013,1.3463,0.916
noabs,EMG+NIRS+HRV,lt2,S014,2.8715,0.484
noabs,EMG+NIRS+HRV,lt2,S016,1.8438,0.719
noabs,EMG+NIRS+HRV,lt2,S017,2.6458,0.41
noabs,EMG+NIRS+HRV,lt2,S018,3.643,-10.976
noabs,EMG+NIRS+HRV,lt2,S019,2.1877,0.853
