variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt2,19,79,7.3217,7.2561,50.0,7.2612,7.2561,7.2853,7.525,-0.791,-0.136,754.1
noabs,EMG,lt2,19,79,7.6252,7.4383,75.0,7.5114,7.4603,7.4383,7.5659,-0.936,-0.192,712.2
with_abs,NIRS,lt2,19,18,6.8412,6.7015,75.0,6.7631,6.7261,6.7015,6.7515,-0.552,0.029,712.1
noabs,NIRS,lt2,19,14,6.1408,6.1105,30.0,6.1105,6.1128,6.1415,6.3601,-0.331,0.188,733.5
with_abs,EMG+NIRS,lt2,19,97,7.2654,7.0911,75.0,7.1694,7.1206,7.0911,7.1868,-0.805,-0.192,638.8
noabs,EMG+NIRS,lt2,19,93,8.058,7.8709,75.0,7.9574,7.9067,7.8709,7.9453,-1.168,-0.317,744.0
with_abs,EMG+NIRS+HRV,lt2,19,107,6.3017,6.3124,30.0,6.3124,6.3366,6.3875,6.6704,-0.402,0.208,664.7
noabs,EMG+NIRS+HRV,lt2,19,101,6.8945,6.8319,50.0,6.8431,6.8319,6.8528,7.0981,-0.601,-0.013,643.5
with_abs,EMG,lt1,14,79,7.417,7.3226,50.0,7.3453,7.3226,7.3232,7.5154,-0.862,-0.187,431.2
noabs,EMG,lt1,14,79,7.345,7.2924,50.0,7.3041,7.2924,7.2962,7.4594,-0.86,-0.201,511.1
with_abs,NIRS,lt1,14,18,7.0407,6.811,75.0,6.9279,6.8622,6.811,6.8113,-0.839,0.135,541.4
noabs,NIRS,lt1,14,14,6.2274,6.0618,75.0,6.1098,6.0619,6.0618,6.3202,-0.469,0.203,565.0
with_abs,EMG+NIRS,lt1,14,97,6.0971,6.1762,30.0,6.1762,6.2614,6.3856,6.8756,-0.464,0.204,455.8
noabs,EMG+NIRS,lt1,14,93,6.1209,6.1068,30.0,6.1068,6.1269,6.1845,6.5402,-0.443,0.109,464.1
with_abs,EMG+NIRS+HRV,lt1,14,107,5.7164,5.8016,30.0,5.8016,5.8858,6.0115,6.5341,-0.306,0.367,493.4
noabs,EMG+NIRS+HRV,lt1,14,101,6.0267,6.116,30.0,6.116,6.199,6.3194,6.8068,-0.409,0.207,448.3
