subject_id,model,n_test,elapsed_sec,mae_sec,mae_min,rmse_sec,rmse_min,r2,spearman_rho
S001,Ridge,208,0.0,133.5014527551913,2.2250242125865216,145.58739495909407,2.426456582651568,0.8169140964265625,0.9968435454705478
S001,RandomForest,208,0.29,122.95318642820601,2.0492197738034337,141.74396923766682,2.362399487294447,0.8264532289985189,0.9430552957993936
S001,LightGBM,208,1.3,107.07630585246775,1.7846050975411292,138.17366835416593,2.3028944725694322,0.8350858453201756,0.9353682088837799
S002,Ridge,154,0.0,152.86747119583444,2.5477911865972405,165.66122223477262,2.7610203705795437,0.44453099451347133,0.9901558277269854
S002,RandomForest,154,0.31,172.9893419899595,2.8831556998326584,191.18430036028857,3.1864050060048097,0.26018597436046753,0.9551590724266246
S002,LightGBM,154,1.36,185.39728978951868,3.0899548298253112,205.34266821830295,3.4223778036383825,0.14655309012499118,0.9533190402260612
S003,Ridge,271,0.0,214.5436713952816,3.5757278565880264,261.1462648938426,4.35243774823071,0.6691584550066105,0.9958553409063503
S003,RandomForest,271,0.3,196.95725899503014,3.2826209832505024,236.37446738807367,3.9395744564678945,0.7289474298989084,0.9652055486261187
S003,LightGBM,271,1.27,211.6422183369451,3.5273703056157517,258.1456553675436,4.30242758945906,0.6767176135145059,0.969125174590997
S004,Ridge,169,0.0,119.67451240733416,1.9945752067889027,128.96776143483504,2.149462690580584,0.7204591010165962,0.9157550594202178
S004,RandomForest,169,0.3,143.47886004086408,2.3913143340144014,158.25229224224435,2.637538204037406,0.5790960000012653,0.9205153656883495
S004,LightGBM,169,1.27,124.59567530923633,2.0765945884872723,144.1437541663047,2.4023959027717448,0.6507996325183852,0.9288571648807108
S005,Ridge,240,0.0,168.5932571130553,2.809887618550922,194.5406887274629,3.2423448121243816,0.6848698401929589,0.7983411170332817
S005,RandomForest,240,0.29,171.67052600286738,2.861175433381123,194.21208535957976,3.2368680893263293,0.685933528984424,0.9488184448069288
S005,LightGBM,240,1.29,165.75830218535086,2.7626383697558476,191.30272130776643,3.188378688462774,0.6952726973056242,0.9469572973452769
S006,Ridge,139,0.0,51.3188928280893,0.855314880468155,63.74684472451539,1.0624474120752565,0.8990394978302743,0.9797220608606282
S006,RandomForest,139,0.31,40.621408269290086,0.6770234711548347,50.12758824981527,0.8354598041635878,0.93757080487595,0.9863130613521605
S006,LightGBM,139,1.28,49.324436373073326,0.8220739395512221,58.919844163059665,0.9819974027176611,0.9137503593490875,0.9651905804548906
S007,Ridge,17,0.0,100.79932204325948,1.6799887007209913,103.35446636005359,1.7225744393342266,0.5511181388185726,0.985294117647059
S007,RandomForest,17,0.32,123.41225872003184,2.0568709786671975,132.69883913573233,2.2116473189288723,0.260040746298949,0.9730392156862747
S007,LightGBM,17,1.32,74.42970677973818,1.2404951129956363,104.74148695120752,1.745691449186792,0.5389892755040069,0.7279411764705883
S009,Ridge,354,0.0,186.89280081788132,3.1148800136313555,205.71551742837306,3.428591957139551,0.8379040053210302,0.9925941204436007
S009,RandomForest,354,0.3,267.1345238106995,4.452242063511658,302.2841153408222,5.038068589013704,0.6499993658704548,0.8648294249942385
S009,LightGBM,354,1.26,247.50663746904817,4.125110624484136,283.2657557040864,4.72109592840144,0.6926548744347338,0.8688258563927335
S010,Ridge,318,0.0,232.55423003277983,3.8759038338796636,257.48935340535803,4.291489223422634,0.6852905054615419,0.9958201472930688
S010,RandomForest,318,0.3,289.07284858144345,4.817880809690724,323.34019595553946,5.389003265925657,0.5037383828221869,0.9825357890002353
S010,LightGBM,318,1.29,291.312850259765,4.855214170996083,327.96566050001593,5.466094341666932,0.4894385278891882,0.9696664773462407
S011,Ridge,181,0.0,116.39879742146454,1.939979957024409,127.49191936292529,2.1248653227154213,0.7618433772477269,0.9893631230647804
S011,RandomForest,181,0.33,185.98280195836267,3.099713365972711,213.46095175905162,3.557682529317527,0.33237248460248836,0.9620605913423593
S011,LightGBM,181,1.41,200.5864242511708,3.3431070708528465,228.87305585391275,3.814550930898546,0.23248533778889002,0.9497439944953757
S012,Ridge,161,0.0,102.60381581288802,1.710063596881467,130.7094015246891,2.178490025411485,0.6836120806121779,0.9264320220841962
S012,RandomForest,161,0.31,105.52963507481203,1.7588272512468672,139.9964984785896,2.33327497464316,0.6370551928469308,0.8918190706234186
S012,LightGBM,161,1.28,120.43049514174024,2.007174919029004,150.40989920137906,2.5068316533563175,0.5810530041153886,0.8833641616089252
S013,Ridge,263,0.0,231.54839885815423,3.8591399809692373,241.7075599128157,4.028459331880262,0.5945694342886372,0.9826562141309767
S013,RandomForest,263,0.31,238.9960767244948,3.9832679454082465,276.15623224783184,4.602603870797197,0.47076846211437584,0.9380778521196744
S013,LightGBM,263,1.28,287.5391943115899,4.792319905193165,325.70657750914364,5.428442958485728,0.2638114182323399,0.9300504228012796
S014,Ridge,225,0.0,129.51729450403002,2.158621575067167,150.664105029391,2.5110684171565167,0.7847692236633316,0.9553234302570587
S014,RandomForest,225,0.3,141.44528049357638,2.3574213415596064,171.61748212744442,2.8602913687907403,0.7207405799137457,0.8938110481517507
S014,LightGBM,225,1.32,135.94026202838916,2.265671033806486,172.81728009165369,2.8802880015275614,0.7168222601301171,0.8944318622081702
