subject_id,model,n_test,elapsed_sec,mae_sec,mae_min,rmse_sec,rmse_min,r2,spearman_rho
S001,Ridge,208,0.04,168.00962797223258,2.8001604662038764,190.97305722037677,3.1828842870062797,0.684970257149518,0.9897011836371103
S001,RandomForest,208,3.55,146.03194108469654,2.4338656847449425,162.92293946846715,2.7153823244744526,0.7707170126380607,0.9341174470302864
S001,LightGBM,208,2.19,133.60870719593848,2.2268117865989745,146.07039715366028,2.434506619227671,0.8156972660429711,0.9415889221381212
S002,Ridge,154,0.03,176.6946968688793,2.9449116144813217,186.30887683179617,3.105147947196603,0.2974371140022669,0.9883059382110617
S002,RandomForest,154,3.42,219.71481119119798,3.6619135198532997,231.4282407290751,3.857137345484585,-0.08405375042539953,0.9790959198928839
S002,LightGBM,154,1.86,194.48987071294724,3.2414978452157874,213.74223501266752,3.5623705835444586,0.07530437893565056,0.984021291801178
S003,Ridge,271,0.02,2602.1503383491604,43.36917230581934,7156.101974049053,119.26836623415088,-247.43080364223488,0.6374755806381593
S003,RandomForest,271,3.2,363.87173214944227,6.064528869157371,385.89412641529594,6.431568773588266,0.2775816984776466,0.9930596181265516
S003,LightGBM,271,2.13,391.05951233402266,6.517658538900378,411.6076407802096,6.860127346336826,0.17809947245516367,0.9899253551359044
S004,Ridge,169,0.02,121.25409776135696,2.0209016293559494,161.07550307783268,2.684591717963878,0.563944240474338,0.8918129381930289
S004,RandomForest,169,3.14,181.34163686255678,3.0223606143759465,199.45426252952305,3.3242377088253843,0.3313949102320015,0.9443513500074588
S004,LightGBM,169,1.68,194.19786180720803,3.236631030120134,209.05463533158434,3.4842439221930723,0.2654816713677023,0.9630028342698028
S005,Ridge,240,0.02,178.35410974536535,2.972568495756089,200.94180334681803,3.3490300557803008,0.6637907463399659,0.9477933644681328
S005,RandomForest,240,2.63,193.21283055214647,3.2202138425357747,247.89962502622382,4.13166041710373,0.488293644217223,0.867869233840865
S005,LightGBM,240,1.77,186.27809169745206,3.1046348616242008,236.11631108804818,3.9352718514674696,0.5357829893789113,0.9154829076893695
S006,Ridge,139,0.03,228.0727348057306,3.8012122467621765,236.46798944371608,3.941133157395268,-0.3892449697280309,0.9827516868492782
S006,RandomForest,139,3.03,66.31014802229367,1.1051691337048946,84.17104328497922,1.4028507214163204,0.8239810055234329,0.9751999642522005
S006,LightGBM,139,1.63,73.15399593200878,1.2192332655334797,86.51516482019989,1.441919413669998,0.8140404038790974,0.9819160820411992
S007,Ridge,17,0.02,66.46601218019897,1.107766869669983,82.13317710253499,1.3688862850422499,0.716527584887255,0.985294117647059
S007,RandomForest,17,3.09,118.90170498958958,1.9816950831598263,124.39207600048472,2.0732012666747455,0.34978199650677644,0.928921568627451
S007,LightGBM,17,1.75,106.50483681106168,1.7750806135176946,108.76592676321624,1.812765446053604,0.5028822298649023,0.8848039215686275
S009,Ridge,354,0.02,75.6051178958038,1.2600852982633968,110.2612869212225,1.8376881153537084,0.9534323531190075,0.9829901191370628
S009,RandomForest,354,2.92,177.1713497526694,2.952855829211157,216.028508612546,3.6004751435424334,0.8212441293060435,0.9777805339209983
S009,LightGBM,354,1.8,177.4634145169607,2.9577235752826785,207.03709045590432,3.450618174265072,0.835814616959389,0.9881334968083819
S010,Ridge,318,0.02,68.4199233911421,1.1403320565190351,83.78508854404704,1.396418142400784,0.9666784835307475,0.9945539888934064
S010,RandomForest,318,2.75,186.3709413935327,3.106182356558878,241.28988286354223,4.021498047725704,0.7236436059580419,0.987756737125104
S010,LightGBM,318,1.75,160.97162884278583,2.682860480713097,200.13066868633206,3.335511144772201,0.8098840364363948,0.9939860274774659
S011,Ridge,181,0.02,203.81053980370584,3.396842330061764,214.71105026510233,3.578517504418372,0.3245298885576072,0.9950863133183575
S011,RandomForest,181,2.78,101.36342978118255,1.6893904963530424,113.90164581863564,1.8983607636439275,0.8099108436601624,0.9838807601238541
S011,LightGBM,181,1.7,71.97615192093211,1.1996025320155352,85.56953558739724,1.4261589264566206,0.8927158180125591,0.9887539716268998
S012,Ridge,161,0.02,112.15463450127862,1.8692439083546437,123.9098437382704,2.0651640623045067,0.7156731597177299,0.9850097768576032
S012,RandomForest,161,2.71,87.16143120317643,1.4526905200529405,105.88264426893434,1.7647107378155724,0.7923864007892278,0.9907292385553256
S012,LightGBM,161,1.78,99.30193346883819,1.6550322244806364,119.86616877465123,1.9977694795775205,0.7339278070979043,0.9757073844030367
S013,Ridge,263,0.02,200.95318793671353,3.3492197989452257,244.9542409129193,4.082570681881988,0.5836045791726265,0.9889078138069517
S013,RandomForest,263,2.54,187.54579155104503,3.125763192517417,237.61158361118206,3.9601930601863677,0.6081938607479962,0.9642279468999928
S013,LightGBM,263,1.64,193.01799776908598,3.2169666294847663,241.62613101460317,4.027102183576719,0.5948425594095338,0.9511600784204038
S014,Ridge,225,0.02,138.85458550370365,2.314243091728394,163.16406725155238,2.719401120859206,0.7475741513078158,0.9843868520859672
S014,RandomForest,225,2.68,169.64382846117078,2.827397141019513,190.68477535637058,3.178079589272843,0.6552400421677362,0.9846565528866414
S014,LightGBM,225,1.85,153.81363001459482,2.563560500243247,176.40975501904853,2.940162583650809,0.7049266592994883,0.9795459334176149
