architecture_id,model_id,family,target,feature_set,with_abs,wavelet_mode,window_size_sec,sequence_length,stride_sec,sample_stride_sec,model_name,full_model_name,hyperparams_json
Lin3,Lin3_e29fb94f,Lin,lt1,NIRS,True,none,30,1,0,5,Ridge(alpha=100),Ridge(alpha=100) NIRS with_abs wavelet=none LT1,"{""alpha"": 100}"
Lin3,Lin3_71a213cf,Lin,lt1,NIRS,False,none,30,1,0,5,Ridge(alpha=100),Ridge(alpha=100) NIRS no_abs wavelet=none LT1,"{""alpha"": 100}"
Lin3,Lin3_0551b042,Lin,lt1,HRV,True,none,30,1,0,5,Ridge(alpha=100),Ridge(alpha=100) HRV with_abs wavelet=none LT1,"{""alpha"": 100}"
Lin3,Lin3_9a45dca3,Lin,lt1,HRV,False,none,30,1,0,5,Ridge(alpha=100),Ridge(alpha=100) HRV no_abs wavelet=none LT1,"{""alpha"": 100}"
Lin3,Lin3_7f092637,Lin,lt1,EMG+NIRS,True,none,30,1,0,5,Ridge(alpha=100),Ridge(alpha=100) EMG+NIRS with_abs wavelet=none LT1,"{""alpha"": 100}"
Lin3,Lin3_86c5f465,Lin,lt1,EMG+NIRS,False,none,30,1,0,5,Ridge(alpha=100),Ridge(alpha=100) EMG+NIRS no_abs wavelet=none LT1,"{""alpha"": 100}"
Lin3,Lin3_e26e1e8e,Lin,lt1,EMG+NIRS+HRV,True,none,30,1,0,5,Ridge(alpha=100),Ridge(alpha=100) EMG+NIRS+HRV with_abs wavelet=none LT1,"{""alpha"": 100}"
Lin3,Lin3_ec68232d,Lin,lt1,EMG+NIRS+HRV,False,none,30,1,0,5,Ridge(alpha=100),Ridge(alpha=100) EMG+NIRS+HRV no_abs wavelet=none LT1,"{""alpha"": 100}"
Lin3,Lin3_ed59ad82,Lin,lt2,NIRS,True,none,30,1,0,5,Ridge(alpha=100),Ridge(alpha=100) NIRS with_abs wavelet=none LT2,"{""alpha"": 100}"
Lin3,Lin3_3f06e06b,Lin,lt2,NIRS,False,none,30,1,0,5,Ridge(alpha=100),Ridge(alpha=100) NIRS no_abs wavelet=none LT2,"{""alpha"": 100}"
