tag,alpha,target_coverage,subject_id,trained,q_halfwidth_sec,q_halfwidth_min,empirical_coverage,n_windows
lt1_ENH_noabs,0.1,0.9,S001,0,509.99,8.5,0.9587,242
lt1_ENH_noabs,0.1,0.9,S002,0,510.3,8.505,1.0,156
lt1_ENH_noabs,0.1,0.9,S003,1,435.84,7.264,0.2571,319
lt1_ENH_noabs,0.1,0.9,S004,0,509.24,8.487,0.9651,172
lt1_ENH_noabs,0.1,0.9,S005,0,515.25,8.587,1.0,264
lt1_ENH_noabs,0.1,0.9,S006,0,509.96,8.499,1.0,141
lt1_ENH_noabs,0.1,0.9,S007,0,510.15,8.503,0.9648,227
lt1_ENH_noabs,0.1,0.9,S008,0,510.23,8.504,1.0,150
lt1_ENH_noabs,0.1,0.9,S009,1,447.76,7.463,0.4354,356
lt1_ENH_noabs,0.1,0.9,S010,1,511.87,8.531,0.9563,320
lt1_ENH_noabs,0.1,0.9,S011,0,511.94,8.532,1.0,183
lt1_ENH_noabs,0.1,0.9,S012,0,497.06,8.284,0.7485,163
lt1_ENH_noabs,0.1,0.9,S013,1,509.29,8.488,0.9434,265
lt1_ENH_noabs,0.1,0.9,S014,0,513.63,8.561,1.0,227
lt1_ENH_noabs,0.1,0.9,S016,0,512.07,8.534,1.0,188
lt1_ENH_noabs,0.1,0.9,S017,1,513.04,8.551,1.0,221
lt1_ENH_noabs,0.1,0.9,S018,0,512.82,8.547,1.0,217
lt1_ENH_noabs,0.1,0.9,S019,1,516.8,8.613,0.9937,319
lt1_ENH_noabs,0.2,0.8,S001,0,389.97,6.5,0.9463,242
lt1_ENH_noabs,0.2,0.8,S002,0,388.2,6.47,1.0,156
lt1_ENH_noabs,0.2,0.8,S003,1,307.95,5.132,0.1599,319
lt1_ENH_noabs,0.2,0.8,S004,0,386.31,6.439,0.9651,172
lt1_ENH_noabs,0.2,0.8,S005,0,396.11,6.602,1.0,264
lt1_ENH_noabs,0.2,0.8,S006,0,386.26,6.438,1.0,141
lt1_ENH_noabs,0.2,0.8,S007,0,382.0,6.367,0.8722,227
lt1_ENH_noabs,0.2,0.8,S008,0,387.62,6.46,1.0,150
lt1_ENH_noabs,0.2,0.8,S009,1,304.9,5.082,0.1938,356
lt1_ENH_noabs,0.2,0.8,S010,1,354.58,5.91,0.5938,320
lt1_ENH_noabs,0.2,0.8,S011,0,390.01,6.5,1.0,183
lt1_ENH_noabs,0.2,0.8,S012,0,361.39,6.023,0.5031,163
lt1_ENH_noabs,0.2,0.8,S013,1,375.68,6.261,0.7811,265
lt1_ENH_noabs,0.2,0.8,S014,0,392.72,6.545,1.0,227
lt1_ENH_noabs,0.2,0.8,S016,0,390.15,6.502,1.0,188
lt1_ENH_noabs,0.2,0.8,S017,1,392.2,6.537,1.0,221
lt1_ENH_noabs,0.2,0.8,S018,0,391.72,6.529,0.9908,217
lt1_ENH_noabs,0.2,0.8,S019,1,395.7,6.595,0.9561,319
