ver,tgt,fset,subj,n_windows,ytrue_start,ytrue_end,ypred_mean,ypred_std,ypred_min,ypred_max,mae,has_nan,has_inf,extreme_val
v0301,lt1,EMG,14,158,240.73628,-544.26373,-180.60816955566406,236.25057983398438,-506.0591735839844,281.68975830078125,41.12572479248047,False,False,False
v0301,lt1,EMG,15,191,190.97755,-759.02246,-18.597856521606445,130.7562255859375,-255.36866760253906,389.9952087402344,265.700439453125,False,False,False
v0301,lt1,EMG,16,187,365.51236,-564.4876,-91.80366516113281,261.2951965332031,-574.8648071289062,450.1562194824219,53.88377380371094,False,False,False
v0301,lt1,EMG,17,289,620.67535,-819.32465,-274.59783935546875,173.6147003173828,-441.07672119140625,328.19854736328125,291.2062072753906,False,False,False
v0301,lt1,EMG_NIRS,0,212,98.41573,-956.5843,-215.509033203125,248.93719482421875,-509.39202880859375,248.17605590820312,213.57522583007812,False,False,False
v0301,lt1,EMG_NIRS,1,126,190.29907,-434.70093,122.39623260498047,131.42166137695312,-219.6226043701172,314.1748046875,244.84739685058594,False,False,False
v0301,lt1,EMG_NIRS,2,289,715.6045,-724.3955,-345.46966552734375,266.8255615234375,-621.967041015625,327.26416015625,357.46435546875,False,False,False
v0301,lt1,EMG_NIRS,3,142,234.35553,-470.64447,-129.6571044921875,247.48654174804688,-607.0621337890625,181.3273162841797,71.64885711669922,False,False,False
v0301,lt1,EMG_NIRS,4,234,104.008606,-1060.9913,-212.0572052001953,306.3004455566406,-728.6810302734375,159.4955596923828,266.4342041015625,False,False,False
v0301,lt1,EMG_NIRS,5,111,232.11374,-317.88626,88.62712097167969,255.61878967285156,-313.34454345703125,479.105712890625,132.63357543945312,False,False,False
v0301,lt1,EMG_NIRS,6,197,155.19516,-824.8048,-265.5348205566406,358.3721008300781,-622.25048828125,468.1916198730469,125.4424057006836,False,False,False
v0301,lt1,EMG_NIRS,7,120,166.98906,-428.01093,22.78021812438965,218.02658081054688,-391.4871520996094,309.1701354980469,153.29115295410156,False,False,False
v0301,lt1,EMG_NIRS,8,326,275.24228,-1349.7577,-102.802734375,317.85003662109375,-427.2080993652344,602.0444946289062,434.4549560546875,False,False,False
v0301,lt1,EMG_NIRS,9,290,723.96344,-721.03656,-174.6005096435547,269.17767333984375,-521.7418212890625,665.7025756835938,209.47698974609375,False,False,False
v0301,lt1,EMG_NIRS,10,153,228.6978,-531.3022,-126.1944580078125,124.7486801147461,-300.5425109863281,139.2752227783203,91.90766143798828,False,False,False
v0301,lt1,EMG_NIRS,11,133,115.2754,-544.7246,-227.48524475097656,342.5479736328125,-607.8467407226562,273.6680603027344,158.63949584960938,False,False,False
v0301,lt1,EMG_NIRS,12,235,274.29776,-895.7022,-331.2744445800781,322.3523864746094,-690.3887939453125,455.1522216796875,88.4306869506836,False,False,False
