variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec,version
with_abs,EMG,lt2,18,79,4.177,4.234,30.0,4.234,4.2822,4.3492,4.6367,0.027,0.622,183.9,v0403
with_abs,EMG+NIRS,lt1,18,97,3.5074,3.65,30.0,3.65,3.7578,3.8907,4.3168,0.42,0.696,155.2,v0403
with_abs,EMG+NIRS,lt2,18,97,3.4471,3.6124,30.0,3.6124,3.74,3.9012,4.4172,0.377,0.665,221.6,v0403
with_abs,EMG+NIRS+HRV,lt1,18,107,3.9147,4.0511,30.0,4.0511,4.1552,4.2835,4.6938,0.345,0.681,222.9,v0403
with_abs,EMG+NIRS+HRV,lt2,18,107,2.5222,2.6483,30.0,2.6483,2.7595,2.9234,3.509,0.674,0.809,135.9,v0403
noabs,EMG,lt1,18,79,4.2155,4.3341,30.0,4.3341,4.4158,4.5184,4.8857,0.182,0.625,142.5,v0404
noabs,EMG,lt2,18,79,3.6886,3.8036,30.0,3.8036,3.8997,4.0263,4.4816,0.321,0.652,154.0,v0404
noabs,EMG+NIRS,lt1,18,93,3.574,3.7282,30.0,3.7282,3.8406,3.9818,4.4582,0.403,0.696,189.6,v0404
noabs,EMG+NIRS,lt2,18,93,4.0046,4.0852,30.0,4.0852,4.1524,4.2506,4.5809,0.207,0.627,220.9,v0404
noabs,EMG+NIRS+HRV,lt1,18,101,3.8693,4.013,30.0,4.013,4.1229,4.2541,4.6757,0.314,0.659,140.5,v0404
noabs,EMG+NIRS+HRV,lt2,18,101,3.0,3.1539,30.0,3.1539,3.2654,3.4123,3.927,0.563,0.771,132.9,v0404
with_abs,EMG,lt1,18,79,3.8127,3.9887,30.0,3.9887,4.1225,4.29,4.8009,0.391,0.714,196.1,v0405
with_abs,EMG,lt2,18,79,3.4729,3.6009,30.0,3.6009,3.7113,3.8526,4.3288,0.474,0.787,210.5,v0405
with_abs,EMG+NIRS,lt1,18,97,3.6909,3.8223,30.0,3.8223,3.9288,4.0624,4.4735,0.425,0.718,314.4,v0405
with_abs,EMG+NIRS,lt2,18,97,3.3347,3.5096,30.0,3.5096,3.6493,3.8072,4.2832,0.493,0.754,219.1,v0405
with_abs,EMG+NIRS+HRV,lt1,18,107,3.8051,3.9305,30.0,3.9305,4.0289,4.1642,4.6137,0.476,0.757,337.7,v0405
with_abs,EMG+NIRS+HRV,lt2,18,107,2.0616,2.2559,30.0,2.2559,2.4168,2.6255,3.3314,0.817,0.91,231.9,v0405
noabs,EMG,lt1,18,79,3.9826,4.1368,30.0,4.1368,4.2514,4.3971,4.8658,0.261,0.643,201.5,v0406
noabs,EMG,lt2,18,79,3.7687,3.8385,30.0,3.8385,3.9186,4.0537,4.5558,0.394,0.74,186.1,v0406
noabs,EMG+NIRS,lt1,18,93,3.515,3.6657,30.0,3.6657,3.7779,3.9164,4.3638,0.459,0.757,228.5,v0406
noabs,EMG+NIRS,lt2,18,93,3.7143,3.8487,30.0,3.8487,3.9497,4.0743,4.5248,0.389,0.745,219.9,v0406
noabs,EMG+NIRS+HRV,lt1,18,101,3.1347,3.3067,30.0,3.3067,3.4439,3.6229,4.1887,0.61,0.845,296.6,v0406
noabs,EMG+NIRS+HRV,lt2,18,101,3.0819,3.2921,30.0,3.2921,3.4383,3.6276,4.2668,0.593,0.822,244.7,v0406
with_abs,EMG,lt1,18,79,4.7092,4.8039,30.0,4.8039,4.895,5.0218,5.4431,0.036,0.557,202.1,v0407
with_abs,EMG,lt2,18,79,3.9204,3.9691,30.0,3.9691,4.0428,4.17,4.6181,0.281,0.698,130.2,v0407
with_abs,EMG+NIRS,lt1,18,97,3.8273,3.935,30.0,3.935,4.0172,4.1241,4.5122,0.4,0.711,232.4,v0407
with_abs,EMG+NIRS,lt2,18,97,3.6062,3.7476,30.0,3.7476,3.8606,4.0031,4.4394,0.435,0.726,133.5,v0407
with_abs,EMG+NIRS+HRV,lt1,18,107,3.6788,3.8568,30.0,3.8568,3.9888,4.1594,4.6848,0.46,0.755,267.5,v0407
with_abs,EMG+NIRS+HRV,lt2,18,107,2.3777,2.5979,30.0,2.5979,2.7725,3.0026,3.7296,0.749,0.853,146.2,v0407
noabs,EMG,lt1,18,79,4.8022,4.9145,30.0,4.9145,5.0129,5.1397,5.5349,-0.194,0.492,190.5,v0408
noabs,EMG,lt2,18,79,4.476,4.491,30.0,4.491,4.5225,4.5868,4.8906,0.061,0.617,146.1,v0408
noabs,EMG+NIRS,lt1,18,93,3.8678,3.9986,30.0,3.9986,4.1065,4.2449,4.7136,0.366,0.69,211.9,v0408
noabs,EMG+NIRS,lt2,18,93,3.3369,3.4372,30.0,3.4372,3.5321,3.6709,4.1409,0.506,0.755,127.8,v0408
noabs,EMG+NIRS+HRV,lt1,18,101,3.82,3.9798,30.0,3.9798,4.1059,4.2802,4.8386,0.391,0.731,295.9,v0408
noabs,EMG+NIRS+HRV,lt2,18,101,3.1666,3.3744,30.0,3.3744,3.5136,3.685,4.2765,0.571,0.825,128.5,v0408
