variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG+NIRS+HRV,lt2,S002,2.7119,0.278
with_abs,EMG+NIRS+HRV,lt2,S003,5.7014,0.245
with_abs,EMG+NIRS+HRV,lt2,S004,4.237,-0.296
with_abs,EMG+NIRS+HRV,lt2,S005,7.2591,-0.98
with_abs,EMG+NIRS+HRV,lt2,S006,3.2994,-0.248
with_abs,EMG+NIRS+HRV,lt2,S008,1.4164,0.769
with_abs,EMG+NIRS+HRV,lt2,S009,2.5894,0.866
with_abs,EMG+NIRS+HRV,lt2,S010,4.3446,0.563
with_abs,EMG+NIRS+HRV,lt2,S011,6.769,-1.53
with_abs,EMG+NIRS+HRV,lt2,S012,1.8212,0.687
with_abs,EMG+NIRS+HRV,lt2,S013,4.6996,0.392
with_abs,EMG+NIRS+HRV,lt2,S014,2.5186,0.683
with_abs,EMG+NIRS+HRV,lt2,S016,2.3389,0.519
with_abs,EMG+NIRS+HRV,lt2,S017,3.5771,0.434
with_abs,EMG+NIRS+HRV,lt2,S018,2.6156,-1.577
with_abs,EMG+NIRS+HRV,lt2,S019,3.7225,0.608
noabs,EMG+NIRS+HRV,lt2,S001,4.6371,0.088
noabs,EMG+NIRS+HRV,lt2,S002,2.171,0.468
noabs,EMG+NIRS+HRV,lt2,S003,6.7829,-0.032
noabs,EMG+NIRS+HRV,lt2,S004,4.2181,-0.507
noabs,EMG+NIRS+HRV,lt2,S005,8.3249,-1.623
noabs,EMG+NIRS+HRV,lt2,S006,5.7795,-3.317
noabs,EMG+NIRS+HRV,lt2,S008,2.7621,-0.027
noabs,EMG+NIRS+HRV,lt2,S009,3.3964,0.776
noabs,EMG+NIRS+HRV,lt2,S010,2.7561,0.794
noabs,EMG+NIRS+HRV,lt2,S011,6.4683,-1.415
noabs,EMG+NIRS+HRV,lt2,S012,1.6197,0.718
noabs,EMG+NIRS+HRV,lt2,S013,6.0281,0.049
noabs,EMG+NIRS+HRV,lt2,S014,3.4762,0.425
noabs,EMG+NIRS+HRV,lt2,S016,3.4738,0.149
noabs,EMG+NIRS+HRV,lt2,S017,2.9641,0.626
noabs,EMG+NIRS+HRV,lt2,S018,2.966,-2.176
noabs,EMG+NIRS+HRV,lt2,S019,3.9295,0.619
