variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_5,kalman_10,kalman_15,kalman_20,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
noabs,EMG,lt2,19,79,4.3366,4.3498,5.0,4.3498,4.3703,4.3925,4.4156,4.4638,4.5681,4.7103,5.1975,0.347,0.62,207.4
noabs,NIRS,lt2,19,14,4.7841,4.7982,5.0,4.7982,4.8204,4.8437,4.8676,4.9163,5.0182,5.1525,5.6154,0.137,0.569,205.3
noabs,EMG+NIRS,lt2,19,93,4.0185,4.0353,5.0,4.0353,4.0615,4.0895,4.1185,4.1781,4.301,4.4591,4.9764,0.426,0.674,207.0
noabs,EMG+NIRS+HRV,lt2,19,101,3.6443,3.6632,5.0,3.6632,3.6923,3.723,3.7544,3.8186,3.9498,4.1173,4.6643,0.529,0.741,207.9
noabs,EMG,lt1,14,79,4.119,4.1316,5.0,4.1316,4.1516,4.1739,4.1981,4.2511,4.3705,4.5364,5.1034,0.368,0.771,138.3
noabs,NIRS,lt1,14,14,5.302,5.3149,5.0,5.3149,5.335,5.3563,5.3783,5.4242,5.5232,5.6602,6.1591,0.005,0.542,137.0
noabs,EMG+NIRS,lt1,14,93,3.8718,3.8847,5.0,3.8847,3.9054,3.9286,3.9535,4.0072,4.1258,4.2861,4.8161,0.447,0.79,142.0
noabs,EMG+NIRS+HRV,lt1,14,101,3.6472,3.6621,5.0,3.6621,3.6855,3.7107,3.7374,3.7943,3.9195,4.0915,4.6761,0.518,0.852,142.2
