variant,feature_set,target,subject_id,mae_ens_min,mae_tcn_min,mae_lin_min,best_alpha,best_expert
with_abs,EMG+NIRS,lt2,S001,3.3561,4.0539,3.2247,0.2,linear
with_abs,EMG+NIRS,lt2,S002,3.4569,3.5139,4.2007,0.35,tcn
with_abs,EMG+NIRS,lt2,S003,2.3873,3.5631,2.4942,0.15,linear
with_abs,EMG+NIRS,lt2,S004,3.3295,4.599,3.1115,0.3,linear
with_abs,EMG+NIRS,lt2,S005,5.2598,4.7747,5.5327,0.25,tcn
with_abs,EMG+NIRS,lt2,S006,1.0429,1.7946,1.9233,0.35,tcn
with_abs,EMG+NIRS,lt2,S008,2.2842,2.4477,2.2883,0.25,linear
with_abs,EMG+NIRS,lt2,S009,6.8907,6.0507,7.082,0.15,tcn
with_abs,EMG+NIRS,lt2,S010,3.8279,4.1292,4.5038,0.2,tcn
with_abs,EMG+NIRS,lt2,S011,2.5242,2.0824,2.7884,0.1,tcn
with_abs,EMG+NIRS,lt2,S012,11.0806,2.4888,12.6356,0.15,tcn
with_abs,EMG+NIRS,lt2,S013,3.3817,3.8129,3.6166,0.1,linear
with_abs,EMG+NIRS,lt2,S014,1.469,3.2637,1.5913,0.15,linear
with_abs,EMG+NIRS,lt2,S015,4.9446,4.2841,5.1872,0.2,tcn
with_abs,EMG+NIRS,lt2,S016,3.4923,4.4987,3.5169,0.35,linear
with_abs,EMG+NIRS,lt2,S017,1.9391,3.7312,1.9182,0.35,linear
with_abs,EMG+NIRS,lt2,S018,3.8357,6.6064,2.8905,0.3,linear
with_abs,EMG+NIRS,lt2,S019,5.021,5.2683,4.9864,0.25,linear
noabs,EMG+NIRS,lt2,S001,3.323,4.0979,3.2006,0.25,linear
noabs,EMG+NIRS,lt2,S002,2.1948,3.4929,2.133,0.15,linear
noabs,EMG+NIRS,lt2,S003,2.3158,3.367,2.4023,0.2,linear
noabs,EMG+NIRS,lt2,S004,3.3494,4.2695,3.2829,0.3,linear
noabs,EMG+NIRS,lt2,S005,4.6953,4.8387,4.7507,0.25,linear
noabs,EMG+NIRS,lt2,S006,1.5787,1.9932,2.1081,0.2,tcn
noabs,EMG+NIRS,lt2,S008,2.0448,2.3394,2.0725,0.3,linear
noabs,EMG+NIRS,lt2,S009,5.9803,6.6115,5.917,0.1,linear
noabs,EMG+NIRS,lt2,S010,3.4358,4.0716,3.7145,0.2,linear
