task,config,mae_min,mae_std,r2,rho,baseline_mae,vs_baseline
LT1,Kalman: Без лагов (baseline),2.006704279094742,0.8294636545520163,0.8392885508298709,0.9337959997125248,5.210361421891379,-3.2036571427966374
LT1,Kalman: + лаг t-1 + delta,2.0076739987523187,0.7956975232001887,0.840231139633401,0.9351171393229364,5.210361421891379,-3.2026874231390607
LT1,"Kalman: + лаги t-1, t-2 + delta",2.008771827117299,0.7865446380651846,0.8397362423108026,0.9354026131202308,5.210361421891379,-3.2015895947740804
LT1,"Kalman: + лаги t-1, t-2, t-3 + delta",2.016289455634247,0.7836903044386007,0.8386147235213358,0.9353542540367671,5.210361421891379,-3.194071966257132
LT1,Без лагов (baseline),2.029522374519597,0.7984794916246251,0.8384148341095203,0.9321394420198328,5.210361421891379,-3.1808390473717822
LT1,+ лаг t-1 + delta,2.036016300551123,0.7610270127257636,0.8406168795563996,0.9341069914478789,5.210361421891379,-3.1743451213402563
LT1,"+ лаги t-1, t-2 + delta",2.040413598380691,0.7472093720502077,0.8403167246552061,0.9344250631770186,5.210361421891379,-3.1699478235106886
LT1,"+ лаги t-1, t-2, t-3 + delta",2.0494498697899917,0.7413811649931029,0.839335763713475,0.934436288515761,5.210361421891379,-3.1609115521013877
LT2,Kalman: Без лагов (baseline),2.053698416552296,1.1082295050311086,0.8542765093587738,0.9240886724096637,5.218894951827538,-3.1651965352752423
LT2,Kalman: + лаг t-1 + delta,2.0828581248898854,1.1728337639396926,0.8466949392853695,0.9203361122241274,5.218894951827538,-3.136036826937653
LT2,Без лагов (baseline),2.1098171282914957,1.0619676026218794,0.8460538404752984,0.9196237731536954,5.218894951827538,-3.1090778235360426
LT2,"Kalman: + лаги t-1, t-2 + delta",2.1142147026594467,1.2031138639375234,0.8413034177060961,0.9179929599441645,5.218894951827538,-3.1046802491680916
LT2,+ лаг t-1 + delta,2.140347566838313,1.1336725014755475,0.838943724615853,0.9162877470902258,5.218894951827538,-3.0785473849892253
LT2,"Kalman: + лаги t-1, t-2, t-3 + delta",2.1502102566486965,1.2252858103596531,0.8365100431438478,0.9159383667649031,5.218894951827538,-3.068684695178842
LT2,"+ лаги t-1, t-2 + delta",2.1724346108640726,1.1641852120592662,0.8340066053473898,0.913865322737203,5.218894951827538,-3.0464603409634656
LT2,"+ лаги t-1, t-2, t-3 + delta",2.2069641285661974,1.17780373734067,0.8294493345231944,0.911943258154082,5.218894951827538,-3.011930823261341
