feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
NIRS,lt2,"SVR(C=10,ε=1.0)",18,14,3.9008,3.7817,0.459,0.675,14.2
NIRS,lt2,"SVR(C=100,ε=0.1)",18,14,3.9252,3.6111,0.492,0.716,14.9
NIRS,lt2,"SVR(C=100,ε=1.0)",18,14,3.9259,3.6114,0.491,0.715,14.2
HRV,lt2,Ridge(α=1),18,6,2.9621,2.9085,0.658,0.836,0.3
HRV,lt2,Ridge(α=10),18,6,3.0053,2.9454,0.652,0.832,0.3
HRV,lt2,Ridge(α=100),18,6,2.9961,2.9391,0.652,0.832,0.3
HRV,lt2,Ridge(α=1000),18,6,3.009,2.9516,0.644,0.83,0.2
HRV,lt2,Huber(ε=1.1),18,6,2.8536,2.7881,0.676,0.854,0.8
HRV,lt2,Huber(ε=1.35),18,6,2.8409,2.7771,0.68,0.853,0.6
HRV,lt2,Huber(ε=1.5),18,6,2.8423,2.7791,0.679,0.851,0.6
HRV,lt2,Huber(ε=2.0),18,6,2.8512,2.7944,0.677,0.849,0.7
HRV,lt2,"EN(α=0.01,l1=0.2)",18,6,3.0059,2.9463,0.651,0.832,0.5
HRV,lt2,"EN(α=0.01,l1=0.5)",18,6,3.0065,2.9466,0.651,0.832,0.8
HRV,lt2,"EN(α=0.01,l1=0.9)",18,6,2.9955,2.9368,0.653,0.833,2.0
HRV,lt2,"EN(α=0.1,l1=0.2)",18,6,2.9824,2.9278,0.653,0.831,0.6
HRV,lt2,"EN(α=0.1,l1=0.5)",18,6,2.9883,2.9331,0.653,0.832,0.4
HRV,lt2,"EN(α=0.1,l1=0.9)",18,6,3.0049,2.9456,0.652,0.832,0.6
HRV,lt2,"EN(α=1.0,l1=0.2)",18,6,3.1854,3.1273,0.612,0.827,0.5
HRV,lt2,"EN(α=1.0,l1=0.5)",18,6,3.078,3.0164,0.631,0.829,0.4
HRV,lt2,"EN(α=1.0,l1=0.9)",18,6,2.9805,2.9266,0.652,0.831,0.4
HRV,lt2,"GBM(n=50,d=2)",18,6,3.0398,2.9044,0.626,0.837,7.2
HRV,lt2,"GBM(n=50,d=3)",18,6,3.087,2.9384,0.607,0.83,8.9
HRV,lt2,"GBM(n=100,d=2)",18,6,3.0957,2.9548,0.598,0.828,13.5
HRV,lt2,"GBM(n=100,d=3)",18,6,3.1532,2.9776,0.593,0.827,17.7
HRV,lt2,"GBM(n=200,d=2)",18,6,3.1822,3.0204,0.562,0.814,23.3
HRV,lt2,"GBM(n=200,d=3)",18,6,3.2266,3.0192,0.568,0.816,31.5
HRV,lt2,"SVR(C=1,ε=0.1)",18,6,3.5593,3.5214,0.46,0.783,12.0
HRV,lt2,"SVR(C=1,ε=1.0)",18,6,3.5586,3.5205,0.46,0.783,10.9
HRV,lt2,"SVR(C=10,ε=0.1)",18,6,2.9836,2.8944,0.616,0.835,12.0
HRV,lt2,"SVR(C=10,ε=1.0)",18,6,2.9842,2.8948,0.616,0.835,12.8
HRV,lt2,"SVR(C=100,ε=0.1)",18,6,3.0467,2.9122,0.591,0.826,13.5
HRV,lt2,"SVR(C=100,ε=1.0)",18,6,3.0444,2.9097,0.592,0.826,12.1
EMG+NIRS,lt2,Ridge(α=1),18,93,4.4382,3.9829,0.181,0.732,1.1
EMG+NIRS,lt2,Ridge(α=10),18,93,4.7689,4.2576,-0.246,0.716,1.7
EMG+NIRS,lt2,Ridge(α=100),18,93,4.5067,4.0838,-0.058,0.738,1.5
EMG+NIRS,lt2,Ridge(α=1000),18,93,4.4462,4.2014,0.233,0.705,1.1
EMG+NIRS,lt2,Huber(ε=1.1),18,93,4.4598,4.0891,0.111,0.727,41.0
EMG+NIRS,lt2,Huber(ε=1.35),18,93,4.4706,4.1175,0.126,0.726,40.8
EMG+NIRS,lt2,Huber(ε=1.5),18,93,4.4195,4.0696,0.16,0.731,35.6
