variant,feature_set,target,subject_id,mae_min,r2
noabs,EMG+NIRS,lt2,S015,3.1846,-0.861
noabs,EMG+NIRS,lt2,S016,3.7398,-0.006
noabs,EMG+NIRS,lt2,S017,5.1671,-0.405
noabs,EMG+NIRS,lt2,S018,5.1748,-7.015
noabs,EMG+NIRS,lt2,S019,7.3615,-0.377
with_abs,EMG+NIRS+HRV,lt2,S001,4.6656,0.105
with_abs,EMG+NIRS+HRV,lt2,S002,3.7975,-0.62
with_abs,EMG+NIRS+HRV,lt2,S003,6.8405,-0.324
with_abs,EMG+NIRS+HRV,lt2,S004,3.5532,-0.115
with_abs,EMG+NIRS+HRV,lt2,S005,5.0367,-0.033
with_abs,EMG+NIRS+HRV,lt2,S006,2.7949,0.031
with_abs,EMG+NIRS+HRV,lt2,S008,3.9557,-0.857
with_abs,EMG+NIRS+HRV,lt2,S009,9.0617,-0.701
with_abs,EMG+NIRS+HRV,lt2,S010,7.7203,-0.558
with_abs,EMG+NIRS+HRV,lt2,S011,3.5629,0.071
with_abs,EMG+NIRS+HRV,lt2,S012,3.0883,0.129
with_abs,EMG+NIRS+HRV,lt2,S013,5.8649,-0.283
with_abs,EMG+NIRS+HRV,lt2,S014,4.3755,0.097
with_abs,EMG+NIRS+HRV,lt2,S015,3.1285,-0.798
with_abs,EMG+NIRS+HRV,lt2,S016,3.7883,-0.014
with_abs,EMG+NIRS+HRV,lt2,S017,5.1017,-0.392
with_abs,EMG+NIRS+HRV,lt2,S018,4.7796,-6.017
with_abs,EMG+NIRS+HRV,lt2,S019,7.3091,-0.373
noabs,EMG+NIRS+HRV,lt2,S001,4.7149,0.088
noabs,EMG+NIRS+HRV,lt2,S002,3.8007,-0.618
noabs,EMG+NIRS+HRV,lt2,S003,6.8228,-0.325
noabs,EMG+NIRS+HRV,lt2,S004,3.5013,-0.101
noabs,EMG+NIRS+HRV,lt2,S005,5.0586,-0.042
noabs,EMG+NIRS+HRV,lt2,S006,2.8089,0.026
noabs,EMG+NIRS+HRV,lt2,S008,3.9408,-0.834
noabs,EMG+NIRS+HRV,lt2,S009,9.1196,-0.714
noabs,EMG+NIRS+HRV,lt2,S010,7.7287,-0.556
noabs,EMG+NIRS+HRV,lt2,S011,3.5712,0.069
noabs,EMG+NIRS+HRV,lt2,S012,3.1117,0.12
noabs,EMG+NIRS+HRV,lt2,S013,5.8639,-0.284
noabs,EMG+NIRS+HRV,lt2,S014,4.3986,0.086
noabs,EMG+NIRS+HRV,lt2,S015,3.179,-0.855
noabs,EMG+NIRS+HRV,lt2,S016,3.7661,-0.01
noabs,EMG+NIRS+HRV,lt2,S017,5.1209,-0.394
noabs,EMG+NIRS+HRV,lt2,S018,4.7876,-6.037
noabs,EMG+NIRS+HRV,lt2,S019,7.3274,-0.373
with_abs,EMG,lt1,S002,3.3729,-0.116
with_abs,EMG,lt1,S003,6.6511,-0.073
with_abs,EMG,lt1,S004,3.8134,-0.184
with_abs,EMG,lt1,S006,2.7998,0.072
