variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
noabs,EMG,lt1,18,79,4.7582,4.762,30.0,4.762,4.7786,4.815,5.0293,0.166,0.609,1097.4
noabs,NIRS,lt1,18,14,4.8297,4.8207,30.0,4.8207,4.8302,4.8578,5.0288,0.147,0.629,624.7
noabs,EMG+NIRS,lt1,18,93,4.7895,4.7881,30.0,4.7881,4.8025,4.838,5.0567,0.154,0.586,830.6
noabs,EMG+NIRS+HRV,lt1,18,101,4.7559,4.7571,30.0,4.7571,4.7747,4.8143,5.0347,0.168,0.586,425.4
