variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
noabs,EMG,lt1,18,79,4.0268,4.64,30.0,4.64,4.9121,5.1224,5.5302,0.332,0.646,162.6
noabs,EMG,lt2,18,79,3.8923,4.3048,30.0,4.3048,4.5057,4.6794,5.0543,0.442,0.692,157.3
noabs,EMG+NIRS,lt1,18,93,3.8799,4.5105,30.0,4.5105,4.8442,5.1014,5.4819,0.288,0.631,184.1
noabs,EMG+NIRS,lt2,18,93,3.9435,4.438,30.0,4.438,4.6488,4.8198,5.1843,0.42,0.683,123.3
noabs,EMG+NIRS+HRV,lt1,18,101,3.4823,4.1207,30.0,4.1207,4.4582,4.7825,5.4023,0.544,0.78,169.4
noabs,EMG+NIRS+HRV,lt2,18,101,3.6659,4.185,30.0,4.185,4.3972,4.5787,4.9852,0.535,0.758,122.6
