model_id,architecture_id,family,target,feature_set,with_abs,phase_split,subject_id,modality,mean_abs_shap,mean_shap,abs_shap_share,n_windows,modality_rank_within_subject
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S007,Kinematics,87.03477262122348,-45.18163065701753,0.044988873283966,227,3
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S007,NIRS,769.3629390590131,-158.41674344497233,0.3976890009851678,227,2
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S008,EMG,952.5219637686154,-2.4690017938071858,0.6332495834478671,150,1
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S008,HRV,95.45405501401603,3.8019995296615186,0.06345915671790107,150,4
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S008,Interaction,148.16690015543762,-6.543875136909211,0.09850337459198448,150,3
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S008,Kinematics,33.84036490115331,15.709664192854216,0.022497535797069285,150,5
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S008,NIRS,274.19767208403096,79.66181548194811,0.18229034944517739,150,2
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S009,EMG,1689.0690931372665,122.46048620443419,0.7157291173562659,356,1
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S009,HRV,140.48363309298676,0.8906226980832024,0.059528782525934014,356,4
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S009,Interaction,176.65621574492366,51.70686674591241,0.07485661651399182,356,3
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S009,Kinematics,39.14190091536316,-27.17188882280937,0.016586058147428657,356,5
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S009,NIRS,314.5770295094089,-8.939627084613424,0.1332994254563793,356,2
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S010,EMG,1240.9912694747145,98.50891367134213,0.5887551975370973,320,1
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S010,HRV,131.45726239161115,-29.301354338188663,0.06236639079646322,320,4
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S010,Interaction,183.8263081123929,-22.90655975907347,0.08721148730646439,320,3
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S010,Kinematics,83.42506561823775,-52.51879837873643,0.03957879656026994,320,5
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S010,NIRS,468.12228377151996,163.0375438014788,0.2220881277997048,320,2
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S011,EMG,1095.4267433674888,-15.804129756932015,0.6558392457592708,183,1
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S011,HRV,109.73051246070428,20.37430455477067,0.06569638450470427,183,4
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S011,Interaction,154.39748016877198,23.475384060660083,0.09243879388021217,183,3
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S011,Kinematics,47.811007587345216,13.76373075979336,0.0286247668727547,183,5
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S011,NIRS,262.9013995466305,47.04900163635584,0.15740080898305747,183,2
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S012,EMG,1449.501905251672,-68.79979796832461,0.4860145157578873,163,1
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S012,HRV,179.70359784819522,-79.49997172272502,0.06025418578044327,163,4
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S012,Interaction,282.10388317542055,210.3287911364106,0.09458875609488508,163,3
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S012,Kinematics,34.114275510268044,-4.185286149203531,0.011438434839225234,163,5
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S012,NIRS,1037.001468030432,59.043310592299854,0.34770410752755876,163,2
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S013,EMG,2256.4100269902783,-112.5603644820664,0.6738505619445915,265,1
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S013,HRV,120.56735617713937,-10.554623369271178,0.036006036021966815,265,4
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S013,Interaction,211.32075452263786,70.68410724256206,0.06310848094199153,265,3
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S013,Kinematics,107.40186273523607,13.039522074147664,0.03207431481527737,265,5
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S013,NIRS,652.8317875111187,-138.84622242151903,0.19496060627617254,265,2
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S014,EMG,1439.210403094322,-48.8660249232037,0.6329663266750573,227,1
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S014,HRV,106.2707269673671,47.899725085569244,0.046737983228164505,227,4
