comparison_kind,group_key,metric,condition_a,condition_b,n_subjects,mean_a,mean_b,delta_mean,median_a,median_b,delta_median,wilcoxon_stat,wilcoxon_pvalue,ttest_stat,ttest_pvalue,cohens_d,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high,pvalue_adj,correction_method,reject_at_alpha
abs_within_arch,architecture_id=LSTM1|target=lt1|feature_set=EMG,abs_lt_err_median_sec,abs,no_abs,18,216.7426638835005,216.7426638835005,0.0,168.85905456542883,168.85905456542883,0.0,,,,,,0.0,0.0,0.0,,fdr_bh,False
abs_within_arch,architecture_id=LSTM1|target=lt1|feature_set=EMG+NIRS,abs_lt_err_median_sec,abs,no_abs,18,191.4021649327542,182.3187660475572,9.083398885197,123.8610460460186,136.73487854003906,-12.873832494020462,81.0,0.8650436401367188,0.3403505678505249,0.7377620032080886,0.08022139816926611,-0.04938271604938271,-42.38091268771238,66.53073474996614,0.9509555085064614,fdr_bh,False
abs_within_arch,architecture_id=LSTM1|target=lt1|feature_set=EMG+NIRS+HRV,abs_lt_err_median_sec,abs,no_abs,18,166.7035507857799,148.0170065793726,18.68654420640729,139.63593196868888,131.98635864257793,7.6495733261109535,46.0,0.0897674560546875,1.8861541410485656,0.07647791148375109,0.44457079449950965,0.1111111111111111,0.3801118055979589,37.9031543625725,0.3742253687474635,fdr_bh,False
abs_within_arch,architecture_id=LSTM1|target=lt2|feature_set=EMG,abs_lt_err_median_sec,abs,no_abs,17,172.57281118280747,172.57281118280747,0.0,159.61161804199207,159.61161804199207,0.0,,,,,,0.0,0.0,0.0,,fdr_bh,False
abs_within_arch,architecture_id=LSTM1|target=lt2|feature_set=EMG+NIRS,abs_lt_err_median_sec,abs,no_abs,17,228.2360829185036,183.7708007027121,44.46528221579149,120.72184753417923,122.86225891113327,-2.1404113769540345,40.0,0.088653564453125,1.8964312893945727,0.0761079151753218,0.45995214811177154,0.15570934256055363,4.681867173138581,93.00429812038634,0.3742253687474635,fdr_bh,False
abs_within_arch,architecture_id=LSTM1|target=lt2|feature_set=EMG+NIRS+HRV,abs_lt_err_median_sec,abs,no_abs,17,132.58463180766375,142.2979791585136,-9.713347350849858,124.60420036315907,144.2680616378783,-19.66386127471924,65.0,0.6112213134765625,-0.6408859133577028,0.5306699602576197,-0.15543766557319158,-0.11418685121107267,-40.83427899795412,17.131873929500564,0.7943402494978808,fdr_bh,False
abs_within_arch,architecture_id=LSTM10|target=lt1|feature_set=EMG,abs_lt_err_median_sec,abs,no_abs,18,202.09625117977453,229.40985368026628,-27.313602500491754,159.95138835906968,118.85980892181419,41.09157943725549,51.0,0.14151763916015625,-1.1742465126253758,0.25648410787918974,-0.2767725572873528,-0.08024691358024691,-69.91019744078324,17.39117222362078,0.4731996059417725,fdr_bh,False
abs_within_arch,architecture_id=LSTM10|target=lt1|feature_set=EMG+NIRS,abs_lt_err_median_sec,abs,no_abs,18,208.65861432751015,197.7823981278472,10.876216199662963,178.1661803722381,126.38811111450178,51.77806925773632,76.0,0.7018814086914062,0.5841502415885421,0.5667907623819372,0.13768553235300604,0.05555555555555555,-23.356723293993134,46.11335169143152,0.8406863141415725,fdr_bh,False
abs_within_arch,architecture_id=LSTM10|target=lt1|feature_set=EMG+NIRS+HRV,abs_lt_err_median_sec,abs,no_abs,18,186.29788717627517,178.64218675759088,7.65570041868429,146.53743362426752,127.9329338073727,18.604499816894815,69.0,0.49507904052734375,0.3075974054664222,0.7621252006739933,0.07250140376023172,0.09876543209876543,-39.80950521230673,50.650372136963796,0.7094659464699882,fdr_bh,False
abs_within_arch,architecture_id=LSTM10|target=lt2|feature_set=EMG,abs_lt_err_median_sec,abs,no_abs,18,190.68789537747696,170.37460878160255,20.313286595874416,115.78680038452131,135.00720787048294,-19.22040748596163,68.0,0.468292236328125,0.8590887942260171,0.4022433192383329,0.20248917067953046,-0.030864197530864196,-19.383139038085957,67.04780656761594,0.6895495773455419,fdr_bh,False
abs_within_arch,architecture_id=LSTM10|target=lt2|feature_set=EMG+NIRS,abs_lt_err_median_sec,abs,no_abs,18,178.5449373457167,200.0490625169541,-21.504125171237405,140.36687469482422,184.20112895965576,-43.83425426483154,72.0,0.5798416137695312,-0.9807946024587106,0.34044701929137333,-0.23117550478323945,-0.09876543209876543,-60.88402294317861,18.06083093484269,0.7659636132511092,fdr_bh,False
abs_within_arch,architecture_id=LSTM10|target=lt2|feature_set=EMG+NIRS+HRV,abs_lt_err_median_sec,abs,no_abs,18,144.20627790027189,158.45997439490418,-14.253696494632294,153.82214736938477,98.60054016113293,55.22160720825184,74.0,0.6396942138671875,-0.5896119855609531,0.5632057704952521,-0.13897287775300488,0.043209876543209874,-59.19876071612045,31.46036887036426,0.8180949906428971,fdr_bh,False
abs_within_arch,architecture_id=LSTM11|target=lt1|feature_set=EMG,abs_lt_err_median_sec,abs,no_abs,18,191.38200447294446,191.25818840662637,0.12381606631808495,150.473792552948,133.47945356369019,16.994338989257812,82.0,0.8985748291015625,0.006194512482568741,0.9951296380523881,0.0014600605941896907,-0.006172839506172839,-39.61725333796607,37.915154601467975,0.9679279199382603,fdr_bh,False
abs_within_arch,architecture_id=LSTM11|target=lt1|feature_set=EMG+NIRS,abs_lt_err_median_sec,abs,no_abs,18,197.14268520143293,153.63573244545194,43.50695275598099,166.08432483673093,127.03218221664426,39.05214262008667,56.0,0.2121429443359375,1.7533396478117569,0.09755485689181287,0.4132661182303088,0.2345679012345679,-1.402004473739219,91.62609380566411,0.5526771278648109,fdr_bh,False
abs_within_arch,architecture_id=LSTM11|target=lt1|feature_set=EMG+NIRS+HRV,abs_lt_err_median_sec,abs,no_abs,18,172.88538405630314,149.00241927305845,23.882964783244688,124.52858352661099,137.71209716796812,-13.183513641357138,62.0,0.32472991943359375,1.3833193270703887,0.1844654771705611,0.32605149223929447,0.06790123456790123,-9.45471801095539,56.35556132992114,0.592263091694225,fdr_bh,False
abs_within_arch,architecture_id=LSTM11|target=lt2|feature_set=EMG,abs_lt_err_median_sec,abs,no_abs,18,154.54350826806493,146.75463612874353,7.788872139321398,110.66086769104015,93.80315399169922,16.857713699340934,71.0,0.550872802734375,0.3441129827324406,0.7349810931639468,0.08110820786147936,0.07407407407407407,-35.93715539243478,48.07649327235082,0.7556844858022836,fdr_bh,False
abs_within_arch,architecture_id=LSTM11|target=lt2|feature_set=EMG+NIRS,abs_lt_err_median_sec,abs,no_abs,18,149.54124371210733,190.94857377476168,-41.40733006265435,119.92516899108864,151.34067249298096,-31.415503501892317,59.0,0.2645263671875,-1.6346173621182605,0.12050950386274764,-0.3852830071330295,-0.14814814814814814,-92.90660950806408,8.559364073144037,0.5549866919424019,fdr_bh,False
abs_within_arch,architecture_id=LSTM11|target=lt2|feature_set=EMG+NIRS+HRV,abs_lt_err_median_sec,abs,no_abs,18,127.60603141784674,167.29645792643228,-39.690426508585546,118.87798309326183,151.87153816223145,-32.99355506896961,56.0,0.2121429443359375,-1.563697348517215,0.13631181001301282,-0.3685669996199823,-0.16049382716049382,-91.1184879144033,6.377480851279358,0.5526771278648109,fdr_bh,False
abs_within_arch,architecture_id=LSTM12|target=lt1|feature_set=EMG,abs_lt_err_median_sec,abs,no_abs,18,199.21447419457954,222.23459940486478,-23.020125210285244,150.37692975997928,160.37009143829312,-9.99316167831384,65.0,0.39273834228515625,-0.7187441041255195,0.48206175594717643,-0.16940960998833496,0.0,-94.38991550902527,28.781782096624248,0.6566094160079956,fdr_bh,False
