model_id,architecture_id,family,target,feature_set,with_abs,wavelet_mode,lt_mae_median_policy_mean,catastrophic_rate_mean,conformal_coverage_at_alpha_020,conformal_width_at_alpha_020,conformal_undercoverage_penalty_020,training_instability_mean,converged_rate,point_score,uncertainty_score,stability_score,robustness_total,robustness_rank
LSTM5_0470318e,LSTM5,LSTM,lt2,EMG+NIRS+HRV,True,none,108.58884238534499,0.5200346088882379,0.8888888888888888,400.54934226142075,0.0,0.7048322826596061,0.8888888888888888,-2.5896012558358916,-1.8435245248966479,-2.4306837557762466,-6.863809536508786,1
LSTM6_b67842d0,LSTM6,LSTM,lt2,EMG+NIRS+HRV,True,cwt,125.90816591183349,0.558973418466604,0.8888888888888888,450.60486857096356,0.0,0.7052584712946797,0.8888888888888888,-1.8514189718069436,-1.6112530657552686,-2.4204568325712383,-5.883128870133451,2
LSTM5_6c330f22,LSTM5,LSTM,lt2,EMG+NIRS+HRV,False,none,136.46862780385538,0.5732047407924497,0.8888888888888888,403.6063791910812,0.0,0.733326034494794,0.9444444444444444,-1.4779766368460239,-1.8293390296945737,-1.8917936191739837,-5.199109285714582,3
LSTM3_31f2b090,LSTM3,LSTM,lt1,EMG+NIRS+HRV,False,none,131.12992657555466,0.4853763230730945,0.8888888888888888,714.2714809841591,0.0,0.7151736147313313,0.9444444444444444,-2.316681863249107,-0.38776720300844186,-2.3273833736355236,-5.031832439893073,4
LSTM2_5c2ab02a,LSTM2,LSTM,lt2,EMG+NIRS+HRV,True,cwt,138.79789571201104,0.5827600970946912,0.8823529411764706,443.7975015079268,0.0,0.7212197756331309,0.8823529411764706,-1.3438914224634668,-1.6428411279976802,-2.0204041115233995,-5.007136661984546,5
TCN2_c4c54c71,TCN2,TCN,lt2,EMG+NIRS+HRV,True,none,136.69409179687494,0.5466631270142119,0.8823529411764706,539.7965051987592,0.0,0.6357954662855069,0.058823529411764705,-1.6863802609164513,-1.197379251810448,-1.9230382694180639,-4.8067977821449634,6
LSTM1_bc20209c,LSTM1,LSTM,lt2,EMG+NIRS+HRV,True,none,132.58463180766375,0.5519439771600438,0.8823529411764706,417.15624281939336,0.0,0.7522248872358653,0.8823529411764706,-1.7445000348223305,-1.7664639222258753,-1.276398126311902,-4.787362083360108,7
LSTM3_e762c7cc,LSTM3,LSTM,lt2,EMG+NIRS+HRV,False,none,149.76025438308704,0.5716716654466556,0.8888888888888888,492.4194505479605,0.0,0.7103107609252236,0.8333333333333334,-1.1646817271228223,-1.4172218631039781,-2.1543682304917007,-4.7362718207185015,8
Lin17_52b37b3e,Lin17,Lin,lt2,HRV,True,none,110.93335103222242,0.44589059647851464,0.8888888888888888,456.9653869763223,0.0,,,-3.1297664843010993,-1.5817385046302441,0.0,-4.711504988931344,9
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,none,111.73776947825634,0.4511905596946074,0.8888888888888888,450.03796266120344,0.0,,,-3.0673396796982573,-1.6138836656622912,0.0,-4.681223345360548,10
LSTM4_d2c60246,LSTM4,LSTM,lt2,EMG+NIRS+HRV,True,cwt,145.7109511693319,0.6233007518740474,0.8888888888888888,481.78221638997525,0.0,0.7081701213542995,0.8888888888888888,-0.847757003666049,-1.4665815658433883,-2.35058818965342,-4.664926759162857,11
LSTM3_17d0b10c,LSTM3,LSTM,lt2,EMG+NIRS+HRV,True,none,126.19048876232566,0.5751691658260855,0.8888888888888888,567.1790591345894,0.0,0.7279533512759749,0.8888888888888888,-1.7139628521097596,-1.0703166430115418,-1.8758651292389683,-4.66014462436027,12
Lin13_ce48e1f0,Lin13,Lin,lt2,HRV,True,none,114.28145091679329,0.46043062407244784,0.8888888888888888,440.5393585701311,0.0,,,-2.9305425036065014,-1.6579598105897502,0.0,-4.588502314196251,13
Lin3_c0ae5bce,Lin3,Lin,lt2,HRV,True,none,116.87285502923845,0.4629652018176351,0.8888888888888888,432.0062884363754,0.0,,,-2.846622875687574,-1.6975556114343275,0.0,-4.5441784871219015,14
Lin4_779f8028,Lin4,Lin,lt2,HRV,True,none,113.11132980273375,0.4537799294086112,0.8888888888888888,485.83043437475783,0.0,,,-3.0128162173390134,-1.4477967169451245,0.0,-4.460612934284137,15
LSTM5_bb47e539,LSTM5,LSTM,lt1,EMG+NIRS,False,none,158.65143001741816,0.5902674898384979,0.8888888888888888,771.9292882283517,0.0,0.6717374926769666,1.0,-0.7969595077003271,-0.1202190618365082,-3.5145394895039557,-4.431718059040791,16
LSTM6_d640eda3,LSTM6,LSTM,lt2,EMG+NIRS+HRV,False,cwt,132.40672777096438,0.5512560243729782,0.8888888888888888,465.77422671847853,0.0,0.7673382028647588,0.9444444444444444,-1.7544037308545837,-1.540863056680691,-1.0756295891421344,-4.370896376677409,17
Lin16_289a1ac8,Lin16,Lin,lt2,HRV,True,none,112.43003378738211,0.4705339401551569,0.8888888888888888,497.19336704144774,0.0,,,-2.8944696017085496,-1.3950695728073124,0.0,-4.289539174515862,18
Lin18_6bc10125,Lin18,Lin,lt2,EMG+NIRS+HRV,True,none,117.90094864461065,0.45737033451145,0.8888888888888888,495.7148571869115,0.0,,,-2.86652915241892,-1.4019302666524707,0.0,-4.268459419071391,19
Lin14_c558f53b,Lin14,Lin,lt2,HRV,True,none,120.31174811427728,0.5003360173447851,0.8888888888888888,420.7098763127635,0.0,,,-2.461156372389412,-1.7499740818902756,0.0,-4.2111304542796875,20
LSTM6_6790598b,LSTM6,LSTM,lt1,EMG+NIRS+HRV,True,cwt,176.75649139285088,0.5576266575241156,0.8888888888888888,977.8702697753909,0.0,0.6159755990635563,0.8333333333333334,-0.6164640920743769,0.8354039394107957,-4.418057068005383,-4.199117220668964,21
Lin15_c71dad01,Lin15,Lin,lt2,HRV,True,none,107.98216292040254,0.4975592848278549,0.8888888888888888,498.64905325228494,0.0,,,-2.7856181865185556,-1.3883147869690364,0.0,-4.173932973487592,22
Lin9_fc72c56e,Lin9,Lin,lt2,HRV,True,none,120.82504848339714,0.5051039789213125,0.8888888888888888,419.1606107312871,0.0,,,-2.4101500863195255,-1.7571631018394764,0.0,-4.167313188159002,23
Lin10_9b1e828f,Lin10,Lin,lt2,HRV,True,none,121.6296208095132,0.5084585353509534,0.8888888888888888,418.82630228328276,0.0,,,-2.3633996515078293,-1.7587143853189682,0.0,-4.1221140368267974,24
Lin6_1ab0e8e4,Lin6,Lin,lt2,HRV,True,none,120.86211324330169,0.4960872952650208,0.8888888888888888,448.1242144139535,0.0,,,-2.4819171983757986,-1.6227639857905656,0.0,-4.104681184166364,25
LSTM6_0a93d11c,LSTM6,LSTM,lt2,EMG,False,cwt,135.45031815767288,0.5326588492031706,0.8888888888888888,599.9436713324659,0.0,0.7556582502768345,0.9444444444444444,-1.8297289886671324,-0.9182797982415896,-1.3559044916725873,-4.1039132785813095,26
LSTM6_bdba9949,LSTM6,LSTM,lt2,EMG,True,cwt,135.45031815767288,0.5326588492031706,0.8888888888888888,599.9436713324659,0.0,0.7556582502768345,0.9444444444444444,-1.8297289886671324,-0.9182797982415896,-1.3559044916725873,-4.1039132785813095,26
Lin19_c0d3099f,Lin19,Lin,lt2,EMG+NIRS+HRV,True,none,116.73069711632598,0.488424510019412,0.8888888888888888,484.2545042013761,0.0,,,-2.6449016828514376,-1.45510946796112,0.0,-4.100011150812557,28
LSTM1_a80d4239,LSTM1,LSTM,lt1,EMG+NIRS+HRV,False,none,148.0170065793726,0.5309100310760306,0.8888888888888888,683.145935058593,0.0,0.7281970054449458,0.9444444444444444,-1.5359343379009234,-0.5321983278356117,-2.014871012356925,-4.08300367809346,29
Lin2_f1add0c9,Lin2,Lin,lt2,HRV,True,none,122.30050781296192,0.5108424642974474,0.8888888888888888,420.04612472550525,0.0,,,-2.327747913180646,-1.753054072473663,0.0,-4.080801985654309,30
Lin11_64836947,Lin11,Lin,lt2,HRV,True,none,122.88782846361975,0.515502321252843,0.8888888888888888,427.36452340446755,0.0,,,-2.275799424701213,-1.7190946824708682,0.0,-3.9948941071720814,31
Lin7_06408239,Lin7,Lin,lt2,HRV,True,none,121.52930717433739,0.5153484044508575,0.8888888888888888,437.4803905022145,0.0,,,-2.3103244707168753,-1.6721542668063942,0.0,-3.9824787375232695,32
Lin1_08d4e29c,Lin1,Lin,lt2,HRV,True,none,123.073576212819,0.5165262710930172,0.8888888888888888,428.1620225449648,0.0,,,-2.262995389620822,-1.7153940663214784,0.0,-3.9783894559423003,33
Lin8_4b710b49,Lin8,Lin,lt2,HRV,True,none,123.53038131230781,0.5170013151131976,0.8888888888888888,428.1304383345693,0.0,,,-2.247974537740157,-1.7155406257760535,0.0,-3.9635151635162105,34
Lin21_e50db4b0,Lin21,Lin,lt2,EMG+NIRS+HRV,True,none,119.70094962930509,0.4896338874900711,0.8888888888888888,497.5724597161636,0.0,,,-2.56238130011708,-1.3933104781538759,0.0,-3.955691778270956,35
TCN1_aa09c186,TCN1,TCN,lt2,EMG+NIRS+HRV,True,none,104.44019654217888,0.5300142959090011,0.8823529411764706,395.5404160443466,0.0,0.7313857440987391,0.0,-2.6108080884858085,-1.866767325181609,0.5241420382853236,-3.953433375382094,36
