comparison_kind,group_key,metric,condition_a,condition_b,n_subjects,mean_a,mean_b,delta_mean,median_a,median_b,delta_median,wilcoxon_stat,wilcoxon_pvalue,ttest_stat,ttest_pvalue,cohens_d,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high,pvalue_adj,correction_method,reject_at_alpha
phase_split_within_arch,architecture_id=Lin1|target=lt1|feature_set=EMG|with_abs=False,abs_lt_err_median_sec,full_cycles,full_window,18,217.07802936253645,231.7745681972166,-14.696538834680155,169.04963681960209,183.72839027920622,-14.678753459604138,26.0,0.0076904296875,-1.4803882814480247,0.15706448664657557,-0.34893086420033254,-0.043209876543209874,-32.781319997003436,3.2826332163078327,0.27127473250679346,fdr_bh,False
phase_split_within_arch,architecture_id=Lin1|target=lt1|feature_set=EMG|with_abs=False,abs_lt_err_median_sec,full_cycles,split,18,217.07802936253645,269.1625267377285,-52.08449737519206,169.04963681960209,244.08265696705442,-75.03302014745233,42.0,0.0599365234375,-2.049069859890325,0.05621515689610053,-0.4829703976844725,-0.16666666666666666,-97.51084142113538,-4.874363559925612,0.5875467649647887,fdr_bh,False
phase_split_within_arch,architecture_id=Lin1|target=lt1|feature_set=EMG|with_abs=False,abs_lt_err_median_sec,full_window,split,18,231.7745681972166,269.1625267377285,-37.3879585405119,183.72839027920622,244.08265696705442,-60.354266687848195,55.0,0.19638824462890625,-1.430242640622143,0.17077053042473883,-0.3371114233086905,-0.14814814814814814,-83.8252585024048,11.127786620618949,0.6862564086914062,fdr_bh,False
phase_split_within_arch,architecture_id=Lin1|target=lt1|feature_set=EMG|with_abs=True,abs_lt_err_median_sec,full_cycles,full_window,18,217.07802936253645,231.7745681972166,-14.696538834680155,169.04963681960209,183.72839027920622,-14.678753459604138,26.0,0.0076904296875,-1.4803882814480247,0.15706448664657557,-0.34893086420033254,-0.043209876543209874,-32.781319997003436,3.2826332163078327,0.27127473250679346,fdr_bh,False
phase_split_within_arch,architecture_id=Lin1|target=lt1|feature_set=EMG|with_abs=True,abs_lt_err_median_sec,full_cycles,split,18,217.07802936253645,269.1625267377285,-52.08449737519206,169.04963681960209,244.08265696705442,-75.03302014745233,42.0,0.0599365234375,-2.049069859890325,0.05621515689610053,-0.4829703976844725,-0.16666666666666666,-97.51084142113538,-4.874363559925612,0.5875467649647887,fdr_bh,False
phase_split_within_arch,architecture_id=Lin1|target=lt1|feature_set=EMG|with_abs=True,abs_lt_err_median_sec,full_window,split,18,231.7745681972166,269.1625267377285,-37.3879585405119,183.72839027920622,244.08265696705442,-60.354266687848195,55.0,0.19638824462890625,-1.430242640622143,0.17077053042473883,-0.3371114233086905,-0.14814814814814814,-83.8252585024048,11.127786620618949,0.6862564086914062,fdr_bh,False
phase_split_within_arch,architecture_id=Lin1|target=lt1|feature_set=EMG+NIRS+HRV|with_abs=False,abs_lt_err_median_sec,full_cycles,full_window,18,133.64362077171367,129.60388019612594,4.039740575587729,61.58476303623482,56.057385255846214,5.527377780388605,64.0,0.3692169189453125,0.3959539770525874,0.6970642884733588,0.09332724740388906,0.043209876543209874,-14.570439433087248,22.158447948060036,0.7670894793610075,fdr_bh,False
phase_split_within_arch,architecture_id=Lin1|target=lt1|feature_set=EMG+NIRS+HRV|with_abs=False,abs_lt_err_median_sec,full_cycles,split,18,133.64362077171367,196.03767090308477,-62.3940501313711,61.58476303623482,144.88848936066276,-83.30372632442794,26.0,0.0076904296875,-2.623308882742927,0.017799909098317038,-0.618319833378143,-0.30246913580246915,-111.5659171020124,-19.41332194777387,0.27127473250679346,fdr_bh,False
phase_split_within_arch,architecture_id=Lin1|target=lt1|feature_set=EMG+NIRS+HRV|with_abs=False,abs_lt_err_median_sec,full_window,split,18,129.60388019612594,196.03767090308477,-66.43379070695883,56.057385255846214,144.88848936066276,-88.83110410481655,27.0,0.00896453857421875,-2.6416651126530617,0.017134757697135867,-0.6226464382603015,-0.3395061728395062,-120.53889302207419,-19.47411536927987,0.27127473250679346,fdr_bh,False
phase_split_within_arch,architecture_id=Lin1|target=lt1|feature_set=EMG+NIRS+HRV|with_abs=True,abs_lt_err_median_sec,full_cycles,full_window,18,194.73382118689324,188.09187629209288,6.6419448948003605,98.50387370569916,103.13157268895523,-4.627698983256067,68.0,0.468292236328125,0.604836276682191,0.5532761488921487,0.14256127758320003,0.024691358024691357,-12.86586649422569,28.38647195204003,0.82305908203125,fdr_bh,False
phase_split_within_arch,architecture_id=Lin1|target=lt1|feature_set=EMG+NIRS+HRV|with_abs=True,abs_lt_err_median_sec,full_cycles,split,18,194.73382118689324,240.63372256652596,-45.89990137963272,98.50387370569916,154.4787742664806,-55.974900560781435,43.0,0.06653594970703125,-2.024389592166909,0.058934734038927246,-0.47715320279489687,-0.10493827160493827,-94.40595509448671,-4.070137700185736,0.5963319290515988,fdr_bh,False
