model_id,architecture_id,family,target,feature_set,with_abs,wavelet_mode,phase_split,window_size_sec,sequence_length,stride_sec,sample_stride_sec,model_name,full_model_name,hyperparams_json,selected_epoch,epoch_policy,n_subjects,mae_mean,mae_std,mae_median,mae_worst,mae_best,mae_ci_low,mae_ci_high,rmse_mean,rmse_std,bias_mean,bias_std,r2_mean,r2_median,pearson_r_mean,catastrophic_rate_mean,lt_mae_median_policy_mean,lt_mae_median_policy_std,lt_bias_median_policy_mean,lt_mae_median_policy_ci_low,lt_mae_median_policy_ci_high,lt_mae_crossing_policy_mean,lt_mae_crossing_policy_std,lt_bias_crossing_policy_mean,lt_mae_crossing_policy_ci_low,lt_mae_crossing_policy_ci_high,zero_crossing_coverage,lt_mae_stable_median_policy_mean,lt_mae_stable_median_policy_std,lt_bias_stable_median_policy_mean,lt_mae_stable_median_policy_ci_low,lt_mae_stable_median_policy_ci_high,stable_window_coverage,composite_score,training_instability_mean,converged_rate,train_mae_slope_last_K_mean,final_train_mae_mean,conformal_coverage_crossing_policy_at_alpha_020,conformal_width_crossing_policy_at_alpha_020_mean,conformal_coverage_gap_crossing_policy_at_alpha_020,conformal_coverage_crossing_policy_at_alpha_030,conformal_width_crossing_policy_at_alpha_030_mean,conformal_coverage_gap_crossing_policy_at_alpha_030,conformal_coverage_median_policy_at_alpha_020,conformal_width_median_policy_at_alpha_020_mean,conformal_coverage_gap_median_policy_at_alpha_020,conformal_coverage_median_policy_at_alpha_030,conformal_width_median_policy_at_alpha_030_mean,conformal_coverage_gap_median_policy_at_alpha_030,conformal_coverage_stable_median_policy_at_alpha_020,conformal_width_stable_median_policy_at_alpha_020_mean,conformal_coverage_gap_stable_median_policy_at_alpha_020,conformal_coverage_stable_median_policy_at_alpha_030,conformal_width_stable_median_policy_at_alpha_030_mean,conformal_coverage_gap_stable_median_policy_at_alpha_030,pass_r2_median,pass_r2_mean,pass_r2,pass_catastrophic,pass_zero_crossing,pass_stable_window,admissible,admissibility_fail_reasons,selection_mode,selection_target,lt_rank,trajectory_rank,selection_quantile_used,lt_cutoff_rank,trajectory_cutoff_rank
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,none,full_window,30,1,0,5,"ElasticNet(alpha=0.01,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=0.01,l1_ratio=0.5,max_iter=5000,random_state=42) EMG+NIRS+HRV no_abs wavelet=none LT1","{""alpha"": 0.01, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""phase_split"": ""full_window"", ""random_state"": 42}",0,last,18,164.20893002024178,133.49061486848274,116.67150518663271,510.68262177577463,55.338961694663475,112.0630214063348,231.11680338364724,216.31184874432978,190.5804029753095,7.480717707859903,195.16377173963005,0.16527221055988933,0.7760342023800835,0.923576473998586,0.4492551042254616,119.43849316798095,158.66402521050568,23.427557515615074,61.06291959292768,200.1163375615575,170.17864790101297,169.4078389270478,-26.45608024957839,102.9686370109257,251.82124475235705,1.0,132.397401630315,158.32015082131633,31.9894191075655,67.54174397061584,209.62931052661696,1.0,-2.6343641659109416,,,,,0.8888888888888888,1023.2546547950016,0.0888888888888888,0.7777777777777778,484.1216516095685,0.07777777777777783,0.8888888888888888,950.0631253781002,0.0888888888888888,0.7777777777777778,307.5619722323984,0.07777777777777783,0.8888888888888888,904.9082796807535,0.0888888888888888,0.7777777777777778,452.23061011411716,0.07777777777777783,True,True,True,True,True,True,True,,primary_quantile,lt1,1,1,0.25,4,4
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,none,full_window,30,1,0,5,"ElasticNet(alpha=0.01,l1_ratio=0.2,max_iter=5000,random_state=42)","ElasticNet(alpha=0.01,l1_ratio=0.2,max_iter=5000,random_state=42) EMG+NIRS+HRV no_abs wavelet=none LT1","{""alpha"": 0.01, ""l1_ratio"": 0.2, ""max_iter"": 5000, ""phase_split"": ""full_window"", ""random_state"": 42}",0,last,18,166.97540784946247,134.04018633795684,126.48156641955364,531.2197084604315,57.61893085891111,113.03998356983229,232.05900349162326,216.51985377575846,179.96643655562158,5.820149975373149,197.51996909375723,0.23016416234031092,0.729451139493194,0.9253932683495738,0.466331072122814,121.48721116507119,162.62969463113703,21.712287231064426,58.30926384114207,201.85474097308375,205.17864790101297,217.55020882961233,-53.678302471800606,120.7226705597376,317.15903199063456,1.0,137.82439798754402,157.20063484671556,27.91154447825929,74.43880103617998,210.67841114059883,1.0,-2.430062037356328,,,,,0.8888888888888888,1214.3540946880387,0.0888888888888888,0.7777777777777778,569.8077195131262,0.07777777777777783,0.8888888888888888,950.6780568705827,0.0888888888888888,0.7777777777777778,319.6985605682317,0.07777777777777783,0.8888888888888888,875.6077940126787,0.0888888888888888,0.7777777777777778,464.1318681049867,0.07777777777777783,True,True,True,True,True,True,True,,primary_quantile,lt1,2,2,0.25,4,4
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,none,full_window,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) EMG+NIRS+HRV no_abs wavelet=none LT1,"{""alpha"": 10, ""phase_split"": ""full_window""}",0,last,18,167.00083635221733,132.35444264248014,117.51697958391108,505.4407830866226,54.533057908265626,113.44998077850182,234.08659255242446,221.9315938961846,202.0778909752138,10.734159511729935,193.65811255375226,0.05144412592682996,0.8033503018592743,0.9140208936233309,0.4640402592588816,122.50305946860072,157.42511861938192,28.40207700279385,61.70613899649897,197.30640539196386,159.5967620452055,168.62134000915623,-9.233858027356149,91.91995321776318,238.63875868504942,1.0,141.94920880128203,155.45854990686655,42.10492294313839,78.3582131449171,221.4332653605304,1.0,-2.4087021359028062,,,,,0.8888888888888888,1032.1435436838901,0.0888888888888888,0.7777777777777778,474.6853226171743,0.07777777777777783,0.8888888888888888,954.4790075323136,0.0888888888888888,0.7777777777777778,336.2823538251497,0.07777777777777783,0.8888888888888888,958.8128085793105,0.0888888888888888,0.7777777777777778,424.15868513209415,0.07777777777777783,True,True,True,True,True,True,True,,primary_quantile,lt1,3,3,0.25,4,4
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,none,full_window,30,1,0,5,"ElasticNet(alpha=0.1,l1_ratio=0.9,max_iter=5000,random_state=42)","ElasticNet(alpha=0.1,l1_ratio=0.9,max_iter=5000,random_state=42) EMG+NIRS+HRV no_abs wavelet=none LT1","{""alpha"": 0.1, ""l1_ratio"": 0.9, ""max_iter"": 5000, ""phase_split"": ""full_window"", ""random_state"": 42}",0,last,18,170.35094519324377,135.57485464827823,127.86565204913872,548.0035574220473,55.2865090193449,115.47905875906443,233.02039563519833,218.10207875420593,174.4313238025352,4.894568698430756,199.71005630987,0.2560807914684646,0.7205608555894685,0.925681416725213,0.47168558475086986,122.65205695263295,164.9283032682157,21.997855046589805,51.949532722111584,196.8394531422973,206.4049343184763,217.058441235521,-47.01163580513394,117.69579490916811,313.8260869797878,1.0,139.59594810249155,160.52175403886525,27.65938596343884,76.58963213924396,212.0012587762735,1.0,-2.3304040709996885,,,,,0.8888888888888888,1214.3540946880387,0.0888888888888888,0.7777777777777778,569.8077195131262,0.07777777777777783,0.8888888888888888,942.7507370914266,0.0888888888888888,0.7777777777777778,338.1444736674141,0.07777777777777783,0.8888888888888888,878.2570906666119,0.0888888888888888,0.7777777777777778,476.9577630711184,0.07777777777777783,True,True,True,True,True,True,True,,primary_quantile,lt1,4,4,0.25,4,4
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,none,split,30,1,0,5,"ElasticNet(alpha=0.1,l1_ratio=0.2,max_iter=5000,random_state=42)","ElasticNet(alpha=0.1,l1_ratio=0.2,max_iter=5000,random_state=42) HRV with_abs wavelet=none LT2","{""alpha"": 0.1, ""l1_ratio"": 0.2, ""max_iter"": 5000, ""random_state"": 42}",0,last,18,132.51612521656617,73.19333785864657,114.15012374534967,344.3270752259219,56.47712469200022,104.1801612820079,170.3101770981578,150.86012265057713,77.28719068747793,15.815873315429807,136.82382467444407,0.30140508246877284,0.7735095729647831,0.9657645538815127,0.4511905596946074,111.73776947825634,83.84590421815543,23.45324157898721,76.67395042100021,155.0300801465523,142.77414439018585,80.50688715269108,14.348478911462141,106.09130226596685,180.31385493889317,0.8888888888888888,119.01288596764542,81.41074286813911,27.44394303604372,86.26119850497263,156.86449940163547,0.9444444444444444,-3.7474818213218635,,,,,0.8888888888888888,471.7606533545693,0.0888888888888888,0.7777777777777778,430.3623301884388,0.07777777777777783,0.8888888888888888,450.03796266120344,0.0888888888888888,0.7777777777777778,293.14052887983934,0.07777777777777783,0.8888888888888888,380.49450490174684,0.0888888888888888,0.7777777777777778,351.63916922084564,0.07777777777777783,True,True,True,True,True,True,True,,primary_quantile,lt2,3,10,0.25,10,10
Lin19_c8f03f08,Lin19,Lin,lt2,EMG+NIRS+HRV,True,none,full_window,30,1,0,5,"GradientBoostingRegressor(max_depth=3,n_estimators=50,random_state=42)","GradientBoostingRegressor(max_depth=3,n_estimators=50,random_state=42) EMG+NIRS+HRV with_abs wavelet=none LT2","{""max_depth"": 3, ""n_estimators"": 50, ""phase_split"": ""full_window"", ""random_state"": 42}",0,last,18,127.32025713678046,68.14133886304957,119.46068930111903,309.9842721254309,29.711418914719616,98.3505924704184,158.90399673231042,143.09912441698955,67.51512414777513,22.34555751707663,134.02492194467698,0.5063489768587184,0.809164119651396,0.9781199540931235,0.4611059010871317,113.07263542510343,80.34885037507806,25.89337679161103,80.6613057026648,151.29073931296224,115.28253533645001,103.39603152977655,14.660701581550427,72.05403774483815,168.34949878635095,0.8888888888888888,120.41955131282874,92.33403625099278,31.193577912824587,82.45879024732544,161.26586029044907,0.8888888888888888,-3.6576534659262547,,,,,0.8888888888888888,497.25300758984486,0.0888888888888888,0.7777777777777778,437.69717380057244,0.07777777777777783,0.8888888888888888,508.6313669723485,0.0888888888888888,0.7777777777777778,300.5234386870681,0.07777777777777783,0.8888888888888888,519.2207492619491,0.0888888888888888,0.7777777777777778,353.77425175166877,0.07777777777777783,True,True,True,True,True,True,True,,primary_quantile,lt2,5,1,0.25,10,10
