model_id,target,shift_sec,lt_mae_median,lt_bias_median,lt_mae_crossing,lt_bias_crossing,lt_mae_stable,zero_crossing_coverage,stable_coverage,n_subjects,model_name,feature_set,family
Lin10_dc410fe4,lt1,0,119.43849316798095,23.427557515615074,170.17864790101297,-26.45608024957839,132.397401630315,1.0,1.0,18,"ElasticNet(alpha=0.01,l1_ratio=0.5,max_iter=5000,random_state=42)",EMG+NIRS+HRV,Lin
Lin12_ecfa2a6a,lt2,0,111.73776947825634,23.45324157898721,142.77414439018585,14.348478911462141,119.01288596764542,0.8888888888888888,0.9444444444444444,18,"ElasticNet(alpha=0.1,l1_ratio=0.2,max_iter=5000,random_state=42)",HRV,Lin
Lin14_228f08a1,lt1,0,122.65205695263295,21.997855046589805,206.4049343184763,-47.01163580513394,139.59594810249155,1.0,1.0,18,"ElasticNet(alpha=0.1,l1_ratio=0.9,max_iter=5000,random_state=42)",EMG+NIRS+HRV,Lin
Lin19_c8f03f08,lt2,0,113.07263542510343,25.89337679161103,115.28253533645001,14.660701581550427,120.41955131282874,0.8888888888888888,0.8888888888888888,18,"GradientBoostingRegressor(max_depth=3,n_estimators=50,random_state=42)",EMG+NIRS+HRV,Lin
Lin2_cf259fa7,lt1,0,122.50305946860072,28.40207700279385,159.5967620452055,-9.233858027356149,141.94920880128203,1.0,1.0,18,Ridge(alpha=10),EMG+NIRS+HRV,Lin
Lin9_d65d8bae,lt1,0,121.48721116507119,21.712287231064426,205.17864790101297,-53.678302471800606,137.82439798754402,1.0,1.0,18,"ElasticNet(alpha=0.01,l1_ratio=0.2,max_iter=5000,random_state=42)",EMG+NIRS+HRV,Lin
Lin10_dc410fe4,lt1,45,136.65274613256432,68.42755751561506,160.95049893276263,18.543919750421612,144.8202706003422,1.0,1.0,18,"ElasticNet(alpha=0.01,l1_ratio=0.5,max_iter=5000,random_state=42)",EMG+NIRS+HRV,Lin
Lin12_ecfa2a6a,lt2,45,124.21323570492038,68.45324157898722,142.77414439018585,59.34847891146214,130.64027003025302,0.8888888888888888,0.9444444444444444,18,"ElasticNet(alpha=0.1,l1_ratio=0.2,max_iter=5000,random_state=42)",HRV,Lin
Lin14_228f08a1,lt1,45,144.66411201484718,66.99785504658979,202.17678535022597,-2.0116358051339427,147.60413920520097,1.0,1.0,18,"ElasticNet(alpha=0.1,l1_ratio=0.9,max_iter=5000,random_state=42)",EMG+NIRS+HRV,Lin
Lin19_c8f03f08,lt2,45,126.44755609408156,70.89337679161103,134.69285300523984,59.660701581550434,136.95538192314572,0.8888888888888888,0.8888888888888888,18,"GradientBoostingRegressor(max_depth=3,n_estimators=50,random_state=42)",EMG+NIRS+HRV,Lin
Lin2_cf259fa7,lt1,45,137.50814246640326,73.40207700279386,153.11579145798135,35.76614197264385,151.62882086871502,1.0,1.0,18,Ridge(alpha=10),EMG+NIRS+HRV,Lin
Lin9_d65d8bae,lt1,45,141.4620004831695,66.71228723106441,195.95049893276263,-8.67830247180061,144.54595502969403,1.0,1.0,18,"ElasticNet(alpha=0.01,l1_ratio=0.2,max_iter=5000,random_state=42)",EMG+NIRS+HRV,Lin
Lin10_dc410fe4,lt1,90,166.63782737937623,113.42755751561506,168.05303683696474,63.543919750421615,172.30206422705754,1.0,1.0,18,"ElasticNet(alpha=0.01,l1_ratio=0.5,max_iter=5000,random_state=42)",EMG+NIRS+HRV,Lin
Lin12_ecfa2a6a,lt2,90,145.27430748783496,113.45324157898722,148.06890732700714,104.34847891146214,145.64746308235328,0.8888888888888888,0.9444444444444444,18,"ElasticNet(alpha=0.1,l1_ratio=0.2,max_iter=5000,random_state=42)",HRV,Lin
Lin14_228f08a1,lt1,90,174.66411201484718,111.99785504658979,209.16414794807585,42.98836419486606,172.92861589842886,1.0,1.0,18,"ElasticNet(alpha=0.1,l1_ratio=0.9,max_iter=5000,random_state=42)",EMG+NIRS+HRV,Lin
Lin19_c8f03f08,lt2,90,151.43794099170725,115.89337679161102,159.69285300523984,104.66070158155043,160.21874810257566,0.8888888888888888,0.8888888888888888,18,"GradientBoostingRegressor(max_depth=3,n_estimators=50,random_state=42)",EMG+NIRS+HRV,Lin
Lin2_cf259fa7,lt1,90,167.9922484616235,118.40207700279386,167.35372160119414,80.76614197264387,180.55537303603484,1.0,1.0,18,Ridge(alpha=10),EMG+NIRS+HRV,Lin
Lin9_d65d8bae,lt1,90,171.4620004831695,111.71228723106441,202.4974812814092,36.321697528199394,171.0408278636702,1.0,1.0,18,"ElasticNet(alpha=0.01,l1_ratio=0.2,max_iter=5000,random_state=42)",EMG+NIRS+HRV,Lin
Lin10_dc410fe4,lt1,120,189.75277173080056,143.42755751561506,178.8465451962926,93.5439197504216,198.90069947218575,1.0,1.0,18,"ElasticNet(alpha=0.01,l1_ratio=0.5,max_iter=5000,random_state=42)",EMG+NIRS+HRV,Lin
Lin12_ecfa2a6a,lt2,120,165.274307487835,143.45324157898722,164.9009467850716,134.34847891146214,161.93216459453842,0.8888888888888888,0.9444444444444444,18,"ElasticNet(alpha=0.1,l1_ratio=0.2,max_iter=5000,random_state=42)",HRV,Lin
Lin14_228f08a1,lt1,120,194.66411201484718,141.9978550465898,219.95765630740368,72.98836419486605,197.93775860377662,1.0,1.0,18,"ElasticNet(alpha=0.1,l1_ratio=0.9,max_iter=5000,random_state=42)",EMG+NIRS+HRV,Lin
Lin19_c8f03f08,lt2,120,171.45249424291003,145.89337679161102,176.82817098225158,134.6607015815504,180.41848342034356,0.8888888888888888,0.8888888888888888,18,"GradientBoostingRegressor(max_depth=3,n_estimators=50,random_state=42)",EMG+NIRS+HRV,Lin
Lin2_cf259fa7,lt1,120,191.32558179495683,148.40207700279385,183.57094600986846,110.76614197264384,207.2220397027015,1.0,1.0,18,Ridge(alpha=10),EMG+NIRS+HRV,Lin
Lin9_d65d8bae,lt1,120,191.46200048316953,141.71228723106444,213.29098964073702,66.32169752819938,196.71292416153267,1.0,1.0,18,"ElasticNet(alpha=0.01,l1_ratio=0.2,max_iter=5000,random_state=42)",EMG+NIRS+HRV,Lin
