comparison_kind,group_key,metric,condition_a,condition_b,n_subjects,mean_a,mean_b,delta_mean,median_a,median_b,delta_median,wilcoxon_stat,wilcoxon_pvalue,ttest_stat,ttest_pvalue,cohens_d,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high,pvalue_adj,correction_method,reject_at_alpha
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG|with_abs=False,abs_lt_err_median_sec,15,30,18,209.3300774660375,223.02331541340652,-13.693237947369028,171.3812589645384,182.23215293884275,-10.850893974304341,54.0,0.18146514892578125,-1.3711689189280012,0.18815267199086852,-0.3231876135754057,-0.07407407407407407,-34.56812234086281,3.5213038942880224,0.3629302978515625,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG|with_abs=False,abs_lt_err_median_sec,15,5,18,209.3300774660375,198.38641531931026,10.943662146727235,171.3812589645384,135.6562602519987,35.7249987125397,66.0,0.4171142578125,0.8218301902745854,0.4225506321632739,0.19370723350899666,0.030864197530864196,-13.772210515980397,34.28134876884244,0.6006445312500001,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG|with_abs=False,abs_lt_err_median_sec,30,5,18,223.02331541340652,198.38641531931026,24.636900094096262,182.23215293884275,135.6562602519987,46.57589268684404,53.0,0.16735076904296875,1.459831674173796,0.16256937734017268,0.3440856253997339,0.11728395061728394,-4.544985260034863,57.817299165355834,0.3629302978515625,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG|with_abs=True,abs_lt_err_median_sec,15,30,18,205.93016295410965,221.38277710946616,-15.452614155356514,175.59414393703142,178.65419585506118,-3.0600519180297567,42.0,0.0599365234375,-2.28229116330289,0.035622835135618376,-0.5379411860712027,-0.06172839506172839,-30.050254898601114,-2.9249160785296286,0.26526489257812497,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG|with_abs=True,abs_lt_err_median_sec,15,5,18,205.93016295410965,196.05161170385497,9.878551250254674,175.59414393703142,145.96473423639907,29.62940970063235,61.0,0.30379486083984375,1.1113379656169666,0.2818939192274547,0.26194487055927307,0.030864197530864196,-6.333385699435551,25.99372975064638,0.5207911900111607,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG|with_abs=True,abs_lt_err_median_sec,30,5,18,221.38277710946616,196.05161170385497,25.331165405611188,178.65419585506118,145.96473423639907,32.68946161866211,43.0,0.06653594970703125,2.124037210999333,0.04863856340462958,0.5006403717967299,0.12962962962962962,5.2466123866331555,49.06066984095504,0.26526489257812497,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG+NIRS|with_abs=False,abs_lt_err_median_sec,15,30,18,183.54156684433966,192.76314147313434,-9.221574628794684,151.9702160656452,149.68020525574678,2.290010809898405,36.0,0.030364990234375,-2.325961426487028,0.032647285226196456,-0.548234365815771,-0.037037037037037035,-17.65313428887341,-1.6958466186292178,0.2186279296875,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG+NIRS|with_abs=False,abs_lt_err_median_sec,15,5,18,183.54156684433966,168.84470064938057,14.696866194959085,151.9702160656452,133.21015739440924,18.760058671235953,54.0,0.18146514892578125,1.5829839111032882,0.13185027672265626,0.3731128860167794,0.10493827160493827,-3.199964262641619,32.368998706340875,0.3629302978515625,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG+NIRS|with_abs=False,abs_lt_err_median_sec,30,5,18,192.76314147313434,168.84470064938057,23.91844082375377,149.68020525574678,133.21015739440924,16.470047861337548,44.0,0.0736846923828125,2.2745760206165904,0.03617403223487234,0.5361227095007678,0.1419753086419753,4.62476458251489,45.819339933977794,0.26526489257812497,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG+NIRS|with_abs=True,abs_lt_err_median_sec,15,30,18,188.0155710086778,192.10518887252715,-4.089617863849355,151.27576112747192,152.69279066224894,-1.417029534777015,70.0,0.522613525390625,-0.5897876701808047,0.5630906523949383,-0.13901428701502064,-0.030864197530864196,-17.890823325804472,7.725157025097707,0.6968180338541666,fdr_bh,False
