model_id,architecture_id,target,policy,alpha,nominal_coverage,empirical_coverage,coverage_gap,coverage_ci_low,coverage_ci_high,mean_interval_width_sec,median_interval_width_sec,interval_width_over_2mae,calibration_n,qhat_method
LSTM10_13d8312e,LSTM10,lt2,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1383.1286078559028,1419.1582031250002,3.0753785591691716,17,jackknife_plus
LSTM10_13d8312e,LSTM10,lt2,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,928.6184319390197,942.683258056642,2.0647777791695323,17,jackknife_plus
LSTM10_13d8312e,LSTM10,lt2,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,989.7793375651041,1019.2821655273438,2.200768703479461,17,jackknife_plus
LSTM10_13d8312e,LSTM10,lt2,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,449.32716200086804,450.1512145996094,0.9990763781626347,17,jackknife_plus
LSTM10_13d8312e,LSTM10,lt2,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1068.691034754117,1092.4598846435547,2.376228411437453,17,jackknife_plus
LSTM10_13d8312e,LSTM10,lt2,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,586.3221520317925,586.5399169921875,1.3036839559841995,17,jackknife_plus
LSTM10_14b4bbdd,LSTM10,lt2,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,813.8241314358183,819.4212646484377,2.4937671509710513,17,jackknife_plus
LSTM10_14b4bbdd,LSTM10,lt2,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,564.5029025607647,568.8204345703141,1.7297825668430273,17,jackknife_plus
LSTM10_14b4bbdd,LSTM10,lt2,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,475.420479668511,481.6744384765623,1.4568110348417873,17,jackknife_plus
LSTM10_14b4bbdd,LSTM10,lt2,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,408.7589721679689,414.6734313964846,1.2525429734539169,17,jackknife_plus
LSTM10_14b4bbdd,LSTM10,lt2,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,745.2286817762589,763.2650909423833,2.2835729917424508,17,jackknife_plus
LSTM10_14b4bbdd,LSTM10,lt2,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,479.0284423828126,481.6744384765623,1.4678667636550626,17,jackknife_plus
