model_id,architecture_id,family,target,feature_set,with_abs,phase_split,subject_id,feature_name,modality,mean_abs_shap,mean_shap,mean_feature_value,mean_prediction,mean_base_value,n_windows,abs_shap_share,feature_rank_within_subject
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_rms,EMG,188.55386333836026,-113.95548846275763,23.240683890235744,-94.70039627315002,-85.83572504954195,242,0.06988982536019674,3
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_mav,EMG,118.67195180043126,69.73095120002344,25.114885410954965,-94.70039627315002,-85.83572504954195,242,0.0439872291113033,6
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_wl,EMG,74.99623106253861,42.80474904599394,22.56718824669926,-94.70039627315002,-85.83572504954195,242,0.027798282139825218,17
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_zcr,EMG,19.690874196488878,11.75011181500559,-5.328777240778223,-94.70039627315002,-85.83572504954195,242,0.007298666462816692,32
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_mdf,EMG,26.074489034412807,-25.849259337756642,2.3843527694378888,-94.70039627315002,-85.83572504954195,242,0.009664832386389668,26
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_mnf,EMG,6.404553135016106,6.217576557872277,2.21005603487941,-94.70039627315002,-85.83572504954195,242,0.002373926962785873,47
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_p_low,EMG,13.471115602755226,-12.886286847142488,-2.06942972506333,-94.70039627315002,-85.83572504954195,242,0.004993235886098348,35
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_p_mid,EMG,29.872503983331534,28.764217585223307,2.0371980341320404,-94.70039627315002,-85.83572504954195,242,0.011072613679202583,22
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_p_high,EMG,0.3421461763188935,-0.16362834062873635,0.6040835565758447,-94.70039627315002,-85.83572504954195,242,0.00012682071895644723,64
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_ratio_mid_high,EMG,9.812745972734911,-0.21860149972957046,0.5411487484637745,-94.70039627315002,-85.83572504954195,242,0.0036372158607417522,41
