model_id,architecture_id,family,target,feature_set,with_abs,phase_split,feature_name,modality,mean_abs_shap,mean_shap,mean_feature_value,mean_prediction,mean_base_value,mean_windows_per_subject,n_subjects,abs_shap_share,feature_rank_global
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,feat_rr_per_watt,Interaction,100.91608256173994,1.4065958851201197,,-123.00764648700614,-131.99624867663317,229.44444444444446,18,0.04438409459000249,4
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,feat_smo2_x_dfa,Interaction,58.138975042701155,7.171542409795957,,-123.00764648700614,-131.99624867663317,229.44444444444446,18,0.025570213410556625,14
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,hhb_from_running_min,NIRS,92.00899771327823,10.81867093556366,4.190271864821134,-123.00764648700614,-131.99624867663317,229.44444444444446,18,0.04046665262832667,6
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,hrv_dfa_alpha1,HRV,74.71108922173694,-3.6116777080457783,,-123.00764648700614,-131.99624867663317,229.44444444444446,18,0.03285882652956714,11
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,hrv_rmssd_ms,HRV,10.78265084734362,2.815584167940215,,-123.00764648700614,-131.99624867663317,229.44444444444446,18,0.004742338217961226,43
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,hrv_sd1_ms,HRV,10.770090324881778,2.810653812486334,,-123.00764648700614,-131.99624867663317,229.44444444444446,18,0.004736813950640354,44
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,hrv_sd1_sd2_ratio,HRV,1.816355704672492,-0.30999577318638216,,-123.00764648700614,-131.99624867663317,229.44444444444446,18,0.0007988548639504835,57
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,hrv_sd2_ms,HRV,15.690593887092724,-1.603408305965689,,-123.00764648700614,-131.99624867663317,229.44444444444446,18,0.006900909999473836,37
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,hrv_sdnn_ms,HRV,4.3379830393310765,0.43133975634457306,,-123.00764648700614,-131.99624867663317,229.44444444444446,18,0.0019078965875404803,52
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,smo2_from_running_max,NIRS,34.07166790423385,-1.380661689975566,10.123444243664355,-123.00764648700614,-131.99624867663317,229.44444444444446,18,0.01498512519226543,25
