task,config,model,mae_min,mae_std,r2,rho,delta_vs_base,best
LT1,Trend CV  30s,Huber ε=1.35,1.946715281864904,0.727705326973568,0.842101257671126,0.9285391089660494,-0.004032012506473004,True
LT1,SampEn    30s,Huber ε=1.35,1.9484534469022707,0.7323458859613194,0.8422160049930405,0.9290242402681965,-0.002293847469106325,False
LT1,v0004-репликация,Huber ε=1.35,1.950747294371377,0.7293301646582389,0.8414698254309634,0.9283643548455239,0.0,False
LT1,Trend CV  60s,Huber ε=1.35,1.9544538450519164,0.7302635465465441,0.8409959312051634,0.9278754585299992,0.0037065506805393778,False
LT1,SampEn    60s,Huber ε=1.35,1.9633800966485366,0.7974024198562335,0.8391755074346883,0.9262712832841894,0.012632802277159572,False
LT1,SampEn    30s,Ridge α=100,1.9751982915399284,0.7344557701596854,0.8370974230420554,0.9279037539359803,0.02445099716855137,False
LT1,Trend CV  30s,Ridge α=100,1.9755336228397895,0.7556797781481206,0.8370143420844297,0.9278109455915942,0.024786328468412444,False
LT1,v0004-репликация,Ridge α=100,1.9762588885246684,0.7559768081974957,0.8369071583474315,0.927864502983355,0.025511594153291295,False
LT1,Trend CV 120s,Huber ε=1.35,1.977204940177058,0.738054466515792,0.8387193401601132,0.9271398954208842,0.026457645805680885,False
LT1,Trend CV  60s,Ridge α=100,1.9821535270179858,0.7538803499313215,0.8361762015007458,0.9272570598233797,0.03140623264660869,False
LT1,Trend CV 120s,Ridge α=100,1.9833985427208074,0.7593245983394605,0.8357454669486262,0.9273025397169028,0.03265124834943034,False
LT1,Trend CV  30s,ElasticNet,1.985313695125155,0.7745379837103484,0.8344208299551975,0.9268644157231294,0.03456640075377804,False
LT1,v0004-репликация,ElasticNet,1.9858151059016047,0.7745024917516713,0.8343434234589726,0.9268754226525718,0.035067811530227644,False
LT1,SampEn    30s,ElasticNet,1.9862272630702649,0.7528074544629599,0.8345764209726082,0.9269401582497699,0.03547996869888781,False
LT1,SampEn   120s,Huber ε=1.35,1.9868469978540153,0.827511008110569,0.8351128589296128,0.924305825184411,0.036099703482638246,False
LT1,Trend CV  60s,ElasticNet,1.9901909818709251,0.7723710351162174,0.833883228722531,0.9264669673312351,0.039443687499548075,False
LT1,Trend CV 120s,ElasticNet,1.9920619512363897,0.776187247466414,0.8333639573760868,0.9263961294150354,0.04131465686501268,False
LT1,SampEn    60s,Ridge α=100,1.9981524820571048,0.8156768304700475,0.8326756563993236,0.9241156134053873,0.04740518768572777,False
LT1,SampEn    60s,ElasticNet,2.004162988364369,0.8294360219369182,0.8309316903419203,0.9236093276828272,0.05341569399299195,False
LT1,SampEn   120s,Ridge α=100,2.017430634195368,0.8494672062706935,0.8282823392751364,0.9215851696295548,0.06668333982399077,False
