sigma_p,sigma_obs,kalman_mae,r2,rho,feature_set,target
10,100,2.8546,0.667,0.84,EMG+NIRS,lt2
10,150,2.8444,0.667,0.841,EMG+NIRS,lt2
10,200,2.8438,0.666,0.841,EMG+NIRS,lt2
10,300,2.8543,0.663,0.84,EMG+NIRS,lt2
10,500,2.8833,0.657,0.837,EMG+NIRS,lt2
15,30,2.9567,0.654,0.832,EMG+NIRS,lt2
15,60,2.9143,0.661,0.836,EMG+NIRS,lt2
15,100,2.8772,0.665,0.839,EMG+NIRS,lt2
15,150,2.8546,0.667,0.84,EMG+NIRS,lt2
15,200,2.8459,0.667,0.841,EMG+NIRS,lt2
15,300,2.8438,0.666,0.841,EMG+NIRS,lt2
15,500,2.8593,0.662,0.839,EMG+NIRS,lt2
25,30,2.9787,0.651,0.829,EMG+NIRS,lt2
25,60,2.9468,0.656,0.833,EMG+NIRS,lt2
25,100,2.9143,0.661,0.836,EMG+NIRS,lt2
25,150,2.8847,0.664,0.838,EMG+NIRS,lt2
25,200,2.8659,0.666,0.84,EMG+NIRS,lt2
25,300,2.848,0.667,0.841,EMG+NIRS,lt2
25,500,2.8438,0.666,0.841,EMG+NIRS,lt2
40,30,2.9924,0.648,0.828,EMG+NIRS,lt2
40,60,2.9703,0.652,0.83,EMG+NIRS,lt2
40,100,2.9445,0.656,0.833,EMG+NIRS,lt2
40,150,2.9189,0.66,0.835,EMG+NIRS,lt2
40,200,2.898,0.663,0.837,EMG+NIRS,lt2
40,300,2.8698,0.665,0.839,EMG+NIRS,lt2
40,500,2.847,0.667,0.841,EMG+NIRS,lt2
60,30,2.9997,0.647,0.827,EMG+NIRS,lt2
60,60,2.9847,0.649,0.828,EMG+NIRS,lt2
60,100,2.9657,0.653,0.831,EMG+NIRS,lt2
60,150,2.9445,0.656,0.833,EMG+NIRS,lt2
60,200,2.927,0.659,0.835,EMG+NIRS,lt2
60,300,2.898,0.663,0.837,EMG+NIRS,lt2
60,500,2.8636,0.666,0.84,EMG+NIRS,lt2
90,30,3.0039,0.646,0.826,EMG+NIRS,lt2
90,60,2.9949,0.648,0.827,EMG+NIRS,lt2
90,100,2.9813,0.65,0.829,EMG+NIRS,lt2
90,150,2.9657,0.653,0.831,EMG+NIRS,lt2
90,200,2.9511,0.655,0.832,EMG+NIRS,lt2
90,300,2.927,0.659,0.835,EMG+NIRS,lt2
90,500,2.8904,0.663,0.838,EMG+NIRS,lt2
5,30,2.251,0.824,0.918,EMG+NIRS+HRV,lt2
5,60,2.2237,0.829,0.92,EMG+NIRS+HRV,lt2
5,100,2.2008,0.832,0.922,EMG+NIRS+HRV,lt2
5,150,2.1873,0.835,0.924,EMG+NIRS+HRV,lt2
5,200,2.1823,0.837,0.925,EMG+NIRS+HRV,lt2
5,300,2.1771,0.839,0.926,EMG+NIRS+HRV,lt2
5,500,2.1818,0.839,0.925,EMG+NIRS+HRV,lt2
10,30,2.2763,0.819,0.915,EMG+NIRS+HRV,lt2
10,60,2.251,0.824,0.918,EMG+NIRS+HRV,lt2
10,100,2.2311,0.827,0.92,EMG+NIRS+HRV,lt2
10,150,2.2139,0.83,0.921,EMG+NIRS+HRV,lt2
10,200,2.2008,0.832,0.922,EMG+NIRS+HRV,lt2
10,300,2.1873,0.835,0.924,EMG+NIRS+HRV,lt2
10,500,2.1791,0.838,0.925,EMG+NIRS+HRV,lt2
15,30,2.2891,0.817,0.914,EMG+NIRS+HRV,lt2
15,60,2.2662,0.821,0.916,EMG+NIRS+HRV,lt2
15,100,2.2469,0.825,0.918,EMG+NIRS+HRV,lt2
15,150,2.2311,0.827,0.92,EMG+NIRS+HRV,lt2
15,200,2.2191,0.829,0.921,EMG+NIRS+HRV,lt2
15,300,2.2008,0.832,0.922,EMG+NIRS+HRV,lt2
15,500,2.1853,0.836,0.924,EMG+NIRS+HRV,lt2
25,30,2.3014,0.815,0.913,EMG+NIRS+HRV,lt2
25,60,2.2837,0.818,0.915,EMG+NIRS+HRV,lt2
25,100,2.2662,0.821,0.916,EMG+NIRS+HRV,lt2
25,150,2.251,0.824,0.918,EMG+NIRS+HRV,lt2
25,200,2.2396,0.826,0.919,EMG+NIRS+HRV,lt2
25,300,2.2237,0.829,0.92,EMG+NIRS+HRV,lt2
25,500,2.2008,0.832,0.922,EMG+NIRS+HRV,lt2
40,30,2.3089,0.813,0.912,EMG+NIRS+HRV,lt2
40,60,2.2965,0.816,0.913,EMG+NIRS+HRV,lt2
40,100,2.2824,0.818,0.915,EMG+NIRS+HRV,lt2
40,150,2.2685,0.821,0.916,EMG+NIRS+HRV,lt2
40,200,2.2579,0.823,0.917,EMG+NIRS+HRV,lt2
40,300,2.2422,0.825,0.919,EMG+NIRS+HRV,lt2
40,500,2.2219,0.829,0.921,EMG+NIRS+HRV,lt2
60,30,2.313,0.812,0.911,EMG+NIRS+HRV,lt2
60,60,2.3047,0.814,0.912,EMG+NIRS+HRV,lt2
60,100,2.2939,0.816,0.913,EMG+NIRS+HRV,lt2
60,150,2.2824,0.818,0.915,EMG+NIRS+HRV,lt2
60,200,2.2726,0.82,0.916,EMG+NIRS+HRV,lt2
60,300,2.2579,0.823,0.917,EMG+NIRS+HRV,lt2
60,500,2.2381,0.826,0.919,EMG+NIRS+HRV,lt2
90,30,2.3156,0.812,0.911,EMG+NIRS+HRV,lt2
90,60,2.3103,0.813,0.912,EMG+NIRS+HRV,lt2
90,100,2.3029,0.814,0.913,EMG+NIRS+HRV,lt2
90,150,2.2939,0.816,0.913,EMG+NIRS+HRV,lt2
90,200,2.2861,0.818,0.914,EMG+NIRS+HRV,lt2
90,300,2.2726,0.82,0.916,EMG+NIRS+HRV,lt2
90,500,2.2539,0.823,0.917,EMG+NIRS+HRV,lt2
5,30,2.7816,0.732,0.879,EMG,lt1
5,60,2.7459,0.739,0.884,EMG,lt1
5,100,2.7357,0.742,0.887,EMG,lt1
5,150,2.7405,0.742,0.887,EMG,lt1
5,200,2.7537,0.74,0.885,EMG,lt1
5,300,2.788,0.736,0.881,EMG,lt1
5,500,2.8806,0.726,0.874,EMG,lt1
10,30,2.8289,0.722,0.873,EMG,lt1
10,60,2.7816,0.732,0.879,EMG,lt1
10,100,2.7534,0.738,0.883,EMG,lt1
10,150,2.7398,0.741,0.886,EMG,lt1
