task,config,model,mae_min,mae_std,r2,rho,delta_vs_base,best
LT1,SampEn 30s,Huber ε=1.35,2.1101434304944036,0.7582776299766174,0.8304190259107053,0.9254440576732911,-0.007617210952318931,True
LT1,SampEn 30s,Ridge α=100,2.1112199538994627,0.7482456523082057,0.831502709180677,0.9238337229495874,-0.0065406875472597825,False
LT1,v0004-репликация,Ridge α=100,2.114481740442099,0.7693478959575806,0.8300448634690373,0.9236364909545592,-0.003278901004623691,False
LT1,SampEn 30s+timing_cv,Ridge α=100,2.115049804056707,0.7462277351012147,0.834717018362282,0.9261795316480154,-0.0027108373900155414,False
LT1,v0004-репликация,Huber ε=1.35,2.1177606414467225,0.7499198372456672,0.8270697820700734,0.9236150378185738,0.0,False
LT1,SampEn 30s,ElasticNet,2.120924690978355,0.754771713327243,0.8299849195085224,0.9229474037633841,0.003164049531632518,False
LT1,SampEn 30s+timing_cv,ElasticNet,2.1217472086833915,0.7492204017037466,0.833704089119864,0.9255897201886298,0.003986567236669014,False
LT1,v0004-репликация,ElasticNet,2.1234757390213757,0.7760724998401312,0.8285653469570864,0.9227054270569073,0.005715097574653161,False
LT1,timing_cv,Ridge α=100,2.1280453963115464,0.7459490098226038,0.8333678129058907,0.9262736617530167,0.010284754864823942,False
LT1,SampEn 60s,Huber ε=1.35,2.131737976890015,0.8313846179233744,0.8248100493048922,0.9214729502554989,0.013977335443292382,False
LT1,SampEn 60s,Ridge α=100,2.1325453224865503,0.8389104883775528,0.8262293928480158,0.9195827008483709,0.014784681039827774,False
LT1,timing_cv,ElasticNet,2.133943193348419,0.749789247159504,0.8321984375948941,0.9255487896129257,0.016182551901696485,False
LT1,SampEn 30s+60s,Huber ε=1.35,2.134853952120955,0.808076230328793,0.8262355173829383,0.9225496786722382,0.017093310674232587,False
LT1,SampEn 30s+60s,Ridge α=100,2.135579634524544,0.8103349701516296,0.8267749278326534,0.9202624525741226,0.01781899307782142,False
LT1,SampEn 60s,ElasticNet,2.1390132097692374,0.8428331629945232,0.8252042630286986,0.9190151700732047,0.021252568322514875,False
LT1,SampEn 30s+60s+timing_cv,Ridge α=100,2.1391409827336045,0.8196184260821251,0.8296476855135025,0.9223524707221952,0.021380341286882043,False
LT1,SampEn 30s+timing_cv,Huber ε=1.35,2.1413172476703495,0.7934618378414593,0.8308425308207394,0.92519329953792,0.023556606223626986,False
LT1,timing_cv,Huber ε=1.35,2.141810854052303,0.7893843635366998,0.8294879815785765,0.9246586021897617,0.0240502126055806,False
LT1,SampEn 30s+60s,ElasticNet,2.1438979937347815,0.8154560642846957,0.825506051409724,0.9195057088064233,0.026137352288059024,False
LT1,SampEn 30s+60s+timing_cv,ElasticNet,2.144678200906249,0.8215186493359778,0.8288368682615115,0.9219197932397389,0.02691755945952634,False
LT1,SampEn 60s+timing_cv,Ridge α=100,2.1461897099160887,0.8455988152168631,0.8284510265028121,0.9214700798854152,0.028429068469366214,False
LT1,SampEn 60s+timing_cv,ElasticNet,2.1496316011397356,0.8460092059778177,0.8278283657304544,0.9211081177019489,0.03187095969301312,False
LT1,SampEn 60s+timing_cv,Huber ε=1.35,2.1578185425275174,0.8960099759741504,0.8258214016468308,0.9217253414461009,0.04005790108079488,False
LT1,SampEn 30s+60s+timing_cv,Huber ε=1.35,2.1644351166846487,0.8576358931043062,0.8265494078181826,0.922221100946686,0.04667447523792623,False
LT1,v0004-репликация,GBM n=200,2.6410889996180416,0.6624838811925798,0.753568980283081,0.899283518196015,0.5233283581713191,False
LT1,v0004-репликация,RF n=200,2.6868671600894904,0.7582308112360097,0.7428498387918089,0.8919931534470033,0.569106518642768,False
LT1,SampEn 30s+timing_cv,RF n=200,2.693431787200764,0.7575427764085246,0.7387325030406151,0.891870591149122,0.5756711457540415,False
LT1,SampEn 30s,GBM n=200,2.695488020555743,0.634303146860399,0.7479127370461507,0.8975593397077265,0.5777273791090205,False
LT1,timing_cv,GBM n=200,2.6972659521854827,0.6035140608474258,0.7410327434782836,0.8995878607643165,0.5795053107387602,False
LT1,SampEn 30s,RF n=200,2.6979197400746298,0.755427728509145,0.7403709462711183,0.892147195639612,0.5801590986279073,False
