Место в общем рейтинге,Семейство,Модальности,С абс. признаками,Режим ЭМГ-признаков,"Ошибка LT, с","Смещение LT, с",Доля грубых ошибок,Медиана R²
1,Классическое,EMG+NIRS+HRV,False,По полному окну,119.43849316798095,23.427557515615074,0.4492551042254616,0.7760342023800835
21,LSTM,EMG+NIRS+HRV,False,По фазам цикла,131.12992657555466,-13.191088040669705,0.4853763230730945,0.8163093422967371
88,TCN,EMG+NIRS+HRV,False,По фазам цикла,149.57838188277353,8.97874241405071,0.6597322463872526,0.5895351039863592
