Место,Идентификатор модели,Семейство,Модальности,С абс. признаками,Режим ЭМГ-признаков,"Ошибка LT, с","Смещение LT, с",Доля грубых ошибок,Медиана R²
1,Lin10_dc410fe4,Lin,EMG+NIRS+HRV,False,По полному окну,119.43849316798095,23.427557515615074,0.4492551042254616,0.7760342023800835
2,Lin9_d65d8bae,Lin,EMG+NIRS+HRV,False,По полному окну,121.48721116507119,21.712287231064426,0.466331072122814,0.729451139493194
3,Lin2_cf259fa7,Lin,EMG+NIRS+HRV,False,По полному окну,122.50305946860072,28.40207700279385,0.4640402592588816,0.8033503018592743
4,Lin14_228f08a1,Lin,EMG+NIRS+HRV,False,По полному окну,122.65205695263295,21.997855046589805,0.47168558475086986,0.7205608555894685
5,Lin14_d91c8cf5,Lin,EMG+NIRS+HRV,False,По полному циклу,124.93936166576749,18.136054664674447,0.4764864562966452,0.767140783875921
6,Lin3_291cdc06,Lin,EMG+NIRS+HRV,False,По полному окну,124.9735436953386,17.95564583613625,0.48824025074818206,0.7205372192057289
7,Lin9_f5e38d54,Lin,EMG+NIRS+HRV,False,По полному циклу,125.05149317882835,19.37862766513042,0.46974703723722033,0.7686409353662229
8,Lin11_1cfe4568,Lin,EMG+NIRS+HRV,False,По полному окну,125.16285691754794,34.34779509309508,0.48138724393893395,0.7867190485263496
9,Lin10_e49c25b4,Lin,EMG+NIRS+HRV,False,По полному циклу,125.99687370328489,21.0901340270559,0.47338101346215045,0.7739641531964045
10,Lin24_e975ad29,Lin,EMG+NIRS+HRV,False,По полному циклу,129.38142439442598,-5.06071256286609,0.6064880594565069,0.5180087753844542
