variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt2,18,79,5.9132,6.1366,30.0,6.1366,6.3113,6.5434,7.3203,-0.316,0.493,568.4
noabs,EMG,lt2,18,79,5.9187,6.1408,30.0,6.1408,6.3152,6.5474,7.3267,-0.317,0.557,500.6
with_abs,NIRS,lt2,18,18,6.0494,6.2594,30.0,6.2594,6.4237,6.6428,7.3856,-0.356,0.282,471.0
noabs,NIRS,lt2,18,14,6.0003,6.2125,30.0,6.2125,6.38,6.6043,7.3608,-0.345,0.343,454.7
with_abs,EMG+NIRS,lt2,18,97,5.9353,6.1622,30.0,6.1622,6.3394,6.5736,7.355,-0.323,0.561,523.1
noabs,EMG+NIRS,lt2,18,93,5.9422,6.1702,30.0,6.1702,6.3475,6.5815,7.3599,-0.325,0.494,501.8
with_abs,EMG+NIRS+HRV,lt2,18,107,5.8456,6.0841,30.0,6.0841,6.2676,6.5094,7.3083,-0.302,0.568,506.9
noabs,EMG+NIRS+HRV,lt2,18,101,5.863,6.0987,30.0,6.0987,6.2804,6.5194,7.3091,-0.305,0.52,519.7
