job_id,runner,architecture_id,target,feature_set,with_abs,wavelet_mode,cmd
J0029,tcn_runner.py,TCN3,lt1,EMG+NIRS+HRV,true,dwt,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt1 --feature-set EMG+NIRS+HRV --with-abs --max-epochs 40
J0030,tcn_runner.py,TCN3,lt1,EMG+NIRS+HRV,false,dwt,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt1 --feature-set EMG+NIRS+HRV --no-abs --max-epochs 40
J0031,tcn_runner.py,TCN3,lt2,EMG,true,dwt,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt2 --feature-set EMG --with-abs --max-epochs 40
J0032,tcn_runner.py,TCN3,lt2,EMG,false,dwt,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt2 --feature-set EMG --no-abs --max-epochs 40
J0033,tcn_runner.py,TCN3,lt2,EMG+NIRS,true,dwt,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt2 --feature-set EMG+NIRS --with-abs --max-epochs 40
J0034,tcn_runner.py,TCN3,lt2,EMG+NIRS,false,dwt,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt2 --feature-set EMG+NIRS --no-abs --max-epochs 40
J0035,tcn_runner.py,TCN3,lt2,EMG+NIRS+HRV,true,dwt,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt2 --feature-set EMG+NIRS+HRV --with-abs --max-epochs 40
J0036,tcn_runner.py,TCN3,lt2,EMG+NIRS+HRV,false,dwt,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt2 --feature-set EMG+NIRS+HRV --no-abs --max-epochs 40
J0037,tcn_runner.py,TCN4,lt1,EMG,true,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt1 --feature-set EMG --with-abs --max-epochs 40
J0038,tcn_runner.py,TCN4,lt1,EMG,false,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt1 --feature-set EMG --no-abs --max-epochs 40
J0039,tcn_runner.py,TCN4,lt1,EMG+NIRS,true,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt1 --feature-set EMG+NIRS --with-abs --max-epochs 40
J0040,tcn_runner.py,TCN4,lt1,EMG+NIRS,false,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt1 --feature-set EMG+NIRS --no-abs --max-epochs 40
J0041,tcn_runner.py,TCN4,lt1,EMG+NIRS+HRV,true,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt1 --feature-set EMG+NIRS+HRV --with-abs --max-epochs 40
J0042,tcn_runner.py,TCN4,lt1,EMG+NIRS+HRV,false,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt1 --feature-set EMG+NIRS+HRV --no-abs --max-epochs 40
J0043,tcn_runner.py,TCN4,lt2,EMG,true,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt2 --feature-set EMG --with-abs --max-epochs 40
J0044,tcn_runner.py,TCN4,lt2,EMG,false,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt2 --feature-set EMG --no-abs --max-epochs 40
J0045,tcn_runner.py,TCN4,lt2,EMG+NIRS,true,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt2 --feature-set EMG+NIRS --with-abs --max-epochs 40
J0046,tcn_runner.py,TCN4,lt2,EMG+NIRS,false,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt2 --feature-set EMG+NIRS --no-abs --max-epochs 40
J0047,tcn_runner.py,TCN4,lt2,EMG+NIRS+HRV,true,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt2 --feature-set EMG+NIRS+HRV --with-abs --max-epochs 40
J0048,tcn_runner.py,TCN4,lt2,EMG+NIRS+HRV,false,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt2 --feature-set EMG+NIRS+HRV --no-abs --max-epochs 40
