job_id,cmd,status,pid,log_path,start_iso,end_iso,exit_code,gpu_util_at_start,gpu_mem_pct_at_start
J0019,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN2 --target lt2 --feature-set EMG --with-abs --max-epochs 40,done,15934,orchestrator/local_logs/J0019.log,2026-05-18T02:33:55,2026-05-18T03:45:13,0,0,0
J0020,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN2 --target lt2 --feature-set EMG --no-abs --max-epochs 40,done,19036,orchestrator/local_logs/J0020.log,2026-05-18T02:34:55,2026-05-18T03:45:43,0,0,0
J0021,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN2 --target lt2 --feature-set EMG+NIRS --with-abs --max-epochs 40,done,75415,orchestrator/local_logs/J0021.log,2026-05-18T03:01:28,2026-05-18T04:13:16,0,0,0
J0022,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN2 --target lt2 --feature-set EMG+NIRS --no-abs --max-epochs 40,done,78871,orchestrator/local_logs/J0022.log,2026-05-18T03:02:48,2026-05-18T04:12:56,0,0,0
J0023,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN2 --target lt2 --feature-set EMG+NIRS+HRV --with-abs --max-epochs 40,done,87523,orchestrator/local_logs/J0023.log,2026-05-18T03:06:29,2026-05-18T04:18:46,0,0,0
J0024,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN2 --target lt2 --feature-set EMG+NIRS+HRV --no-abs --max-epochs 40,done,89602,orchestrator/local_logs/J0024.log,2026-05-18T03:07:09,2026-05-18T04:18:16,0,0,0
J0025,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt1 --feature-set EMG --with-abs --max-epochs 40,done,70929,orchestrator/local_logs/J0025.log,2026-05-18T03:45:13,2026-05-18T05:19:51,0,0,0
J0026,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt1 --feature-set EMG --no-abs --max-epochs 40,done,72659,orchestrator/local_logs/J0026.log,2026-05-18T03:45:43,2026-05-18T05:21:12,0,0,0
J0027,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt1 --feature-set EMG+NIRS --with-abs --max-epochs 40,done,83861,orchestrator/local_logs/J0027.log,2026-05-18T03:50:34,2026-05-18T05:30:52,0,0,0
J0028,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt1 --feature-set EMG+NIRS --no-abs --max-epochs 40,done,86266,orchestrator/local_logs/J0028.log,2026-05-18T03:51:14,2026-05-18T05:30:52,0,0,0
J0029,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt1 --feature-set EMG+NIRS+HRV --with-abs --max-epochs 40,done,32881,orchestrator/local_logs/J0029.log,2026-05-18T04:12:56,2026-05-18T05:58:25,0,0,0
J0030,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt1 --feature-set EMG+NIRS+HRV --no-abs --max-epochs 40,done,34590,orchestrator/local_logs/J0030.log,2026-05-18T04:13:16,2026-05-18T05:56:45,0,0,0
J0031,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt2 --feature-set EMG --with-abs --max-epochs 40,done,45707,orchestrator/local_logs/J0031.log,2026-05-18T04:18:16,2026-05-18T05:34:43,0,0,0
J0032,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt2 --feature-set EMG --no-abs --max-epochs 40,done,47758,orchestrator/local_logs/J0032.log,2026-05-18T04:18:46,2026-05-18T05:35:33,0,0,0
