variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt2,18,79,5.8079,5.9258,30.0,5.9258,6.0264,6.1703,6.7112,-0.226,-0.002,296.4
noabs,EMG,lt2,18,79,5.6948,5.7971,30.0,5.7971,5.8872,6.0164,6.5068,-0.173,0.063,334.0
with_abs,NIRS,lt2,18,18,5.7281,5.867,30.0,5.867,5.9816,6.1416,6.7288,-0.214,0.115,349.5
noabs,NIRS,lt2,18,14,5.6766,5.8092,30.0,5.8092,5.9262,6.0929,6.698,-0.166,0.173,322.6
with_abs,EMG+NIRS,lt2,18,97,5.7825,5.8852,30.0,5.8852,5.9821,6.126,6.6734,-0.206,0.18,288.0
noabs,EMG+NIRS,lt2,18,93,5.9054,6.0198,30.0,6.0198,6.1218,6.2718,6.8375,-0.193,0.118,288.8
with_abs,EMG+NIRS+HRV,lt2,18,107,5.0583,5.2227,30.0,5.2227,5.3612,5.5504,6.2076,0.12,0.523,284.9
noabs,EMG+NIRS+HRV,lt2,18,101,5.466,5.6288,30.0,5.6288,5.7652,5.9507,6.5795,-0.004,0.364,280.7
