variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG+NIRS+HRV,lt2,S009,9.0001,-0.685
with_abs,EMG+NIRS+HRV,lt2,S010,7.4257,-0.523
with_abs,EMG+NIRS+HRV,lt2,S011,3.1764,0.21
with_abs,EMG+NIRS+HRV,lt2,S012,2.6486,0.317
with_abs,EMG+NIRS+HRV,lt2,S013,5.6482,-0.237
with_abs,EMG+NIRS+HRV,lt2,S014,3.8865,0.236
with_abs,EMG+NIRS+HRV,lt2,S015,2.917,-0.478
with_abs,EMG+NIRS+HRV,lt2,S016,3.4964,0.081
with_abs,EMG+NIRS+HRV,lt2,S017,4.8823,-0.347
with_abs,EMG+NIRS+HRV,lt2,S018,4.7542,-5.954
with_abs,EMG+NIRS+HRV,lt2,S019,7.0849,-0.35
noabs,EMG+NIRS+HRV,lt2,S001,4.5224,0.17
noabs,EMG+NIRS+HRV,lt2,S002,3.6973,-0.572
noabs,EMG+NIRS+HRV,lt2,S003,6.5989,-0.287
noabs,EMG+NIRS+HRV,lt2,S004,3.1044,0.003
noabs,EMG+NIRS+HRV,lt2,S005,4.9521,0.024
noabs,EMG+NIRS+HRV,lt2,S006,2.5917,0.129
noabs,EMG+NIRS+HRV,lt2,S008,4.0562,-0.858
noabs,EMG+NIRS+HRV,lt2,S009,9.0664,-0.698
noabs,EMG+NIRS+HRV,lt2,S010,7.3967,-0.522
noabs,EMG+NIRS+HRV,lt2,S011,3.1437,0.204
noabs,EMG+NIRS+HRV,lt2,S012,2.6201,0.326
noabs,EMG+NIRS+HRV,lt2,S013,5.4823,-0.225
noabs,EMG+NIRS+HRV,lt2,S014,3.8623,0.227
noabs,EMG+NIRS+HRV,lt2,S015,2.9993,-0.608
noabs,EMG+NIRS+HRV,lt2,S016,3.5151,0.079
noabs,EMG+NIRS+HRV,lt2,S017,5.0297,-0.365
noabs,EMG+NIRS+HRV,lt2,S018,4.7931,-6.051
noabs,EMG+NIRS+HRV,lt2,S019,7.1086,-0.338
with_abs,EMG,lt1,S002,3.4558,-0.181
with_abs,EMG,lt1,S003,6.3065,-0.013
with_abs,EMG,lt1,S004,4.2574,-0.448
with_abs,EMG,lt1,S006,2.589,0.19
with_abs,EMG,lt1,S008,4.652,-1.273
with_abs,EMG,lt1,S009,7.4636,-0.11
with_abs,EMG,lt1,S010,6.588,-0.063
with_abs,EMG,lt1,S011,3.1905,0.29
with_abs,EMG,lt1,S013,5.3836,-0.127
with_abs,EMG,lt1,S014,4.0553,0.255
with_abs,EMG,lt1,S016,3.2711,0.263
with_abs,EMG,lt1,S017,4.0232,0.182
with_abs,EMG,lt1,S018,4.5082,0.0
with_abs,EMG,lt1,S019,6.5209,-0.047
noabs,EMG,lt1,S002,3.2307,0.018
noabs,EMG,lt1,S003,6.5111,-0.031
noabs,EMG,lt1,S004,4.0926,-0.333
noabs,EMG,lt1,S006,2.5368,0.208
noabs,EMG,lt1,S008,4.692,-1.303
noabs,EMG,lt1,S009,7.5161,-0.117
noabs,EMG,lt1,S010,6.4739,-0.049
noabs,EMG,lt1,S011,3.2289,0.275
noabs,EMG,lt1,S013,5.379,-0.127
noabs,EMG,lt1,S014,4.0105,0.261
noabs,EMG,lt1,S016,3.239,0.275
noabs,EMG,lt1,S017,4.0902,0.169
noabs,EMG,lt1,S018,4.4491,0.018
noabs,EMG,lt1,S019,6.541,-0.053
with_abs,NIRS,lt1,S002,3.5859,-0.31
with_abs,NIRS,lt1,S003,6.4462,-0.023
with_abs,NIRS,lt1,S004,3.7222,-0.116
with_abs,NIRS,lt1,S006,2.9631,-0.026
with_abs,NIRS,lt1,S008,4.6394,-1.347
with_abs,NIRS,lt1,S009,7.5411,-0.131
with_abs,NIRS,lt1,S010,6.9413,-0.14
with_abs,NIRS,lt1,S011,3.7828,0.015
with_abs,NIRS,lt1,S013,6.1373,-0.316
with_abs,NIRS,lt1,S014,4.7386,-0.006
with_abs,NIRS,lt1,S016,3.9189,-0.002
with_abs,NIRS,lt1,S017,4.5079,0.021
with_abs,NIRS,lt1,S018,4.639,-0.078
with_abs,NIRS,lt1,S019,6.7693,-0.1
noabs,NIRS,lt1,S002,3.583,-0.307
noabs,NIRS,lt1,S003,6.4654,-0.027
noabs,NIRS,lt1,S004,3.72,-0.114
noabs,NIRS,lt1,S006,2.9644,-0.028
noabs,NIRS,lt1,S008,5.8434,-2.608
noabs,NIRS,lt1,S009,7.664,-0.151
noabs,NIRS,lt1,S010,6.8593,-0.122
noabs,NIRS,lt1,S011,3.816,-0.003
noabs,NIRS,lt1,S013,5.8817,-0.232
noabs,NIRS,lt1,S014,4.739,-0.006
noabs,NIRS,lt1,S016,3.9185,-0.001
noabs,NIRS,lt1,S017,4.6445,-0.026
noabs,NIRS,lt1,S018,4.6371,-0.077
noabs,NIRS,lt1,S019,6.7251,-0.101
with_abs,EMG+NIRS,lt1,S002,3.0256,0.148
with_abs,EMG+NIRS,lt1,S003,6.3922,-0.021
with_abs,EMG+NIRS,lt1,S004,4.6799,-0.759
with_abs,EMG+NIRS,lt1,S006,2.6546,0.165
with_abs,EMG+NIRS,lt1,S008,4.6064,-1.243
with_abs,EMG+NIRS,lt1,S009,7.5072,-0.107
with_abs,EMG+NIRS,lt1,S010,6.5839,-0.059
with_abs,EMG+NIRS,lt1,S011,3.1575,0.288
with_abs,EMG+NIRS,lt1,S013,5.4315,-0.125
with_abs,EMG+NIRS,lt1,S014,3.9544,0.266
with_abs,EMG+NIRS,lt1,S016,3.2052,0.281
with_abs,EMG+NIRS,lt1,S017,4.1441,0.158
with_abs,EMG+NIRS,lt1,S018,3.7185,0.27
with_abs,EMG+NIRS,lt1,S019,6.5831,-0.054
noabs,EMG+NIRS,lt1,S002,3.0266,0.146
noabs,EMG+NIRS,lt1,S003,6.401,-0.026
noabs,EMG+NIRS,lt1,S004,4.5551,-0.677
noabs,EMG+NIRS,lt1,S006,2.6466,0.171
noabs,EMG+NIRS,lt1,S008,4.5737,-1.24
noabs,EMG+NIRS,lt1,S009,7.5585,-0.111
noabs,EMG+NIRS,lt1,S010,6.6012,-0.06
noabs,EMG+NIRS,lt1,S011,3.1888,0.289
noabs,EMG+NIRS,lt1,S013,5.4734,-0.138
noabs,EMG+NIRS,lt1,S014,4.0211,0.259
noabs,EMG+NIRS,lt1,S016,3.2684,0.265
noabs,EMG+NIRS,lt1,S017,4.3117,0.114
noabs,EMG+NIRS,lt1,S018,3.7864,0.246
noabs,EMG+NIRS,lt1,S019,6.5644,-0.052
with_abs,EMG+NIRS+HRV,lt1,S002,2.7888,0.25
with_abs,EMG+NIRS+HRV,lt1,S003,6.4852,-0.026
with_abs,EMG+NIRS+HRV,lt1,S004,4.7209,-0.756
with_abs,EMG+NIRS+HRV,lt1,S006,2.6188,0.179
with_abs,EMG+NIRS+HRV,lt1,S008,4.6476,-1.273
with_abs,EMG+NIRS+HRV,lt1,S009,7.6746,-0.144
with_abs,EMG+NIRS+HRV,lt1,S010,6.4106,-0.043
with_abs,EMG+NIRS+HRV,lt1,S011,3.1873,0.284
with_abs,EMG+NIRS+HRV,lt1,S013,5.4271,-0.12
with_abs,EMG+NIRS+HRV,lt1,S014,3.8967,0.268
with_abs,EMG+NIRS+HRV,lt1,S016,3.7468,0.001
with_abs,EMG+NIRS+HRV,lt1,S017,3.9749,0.178
with_abs,EMG+NIRS+HRV,lt1,S018,3.8766,0.257
with_abs,EMG+NIRS+HRV,lt1,S019,6.5318,-0.051
noabs,EMG+NIRS+HRV,lt1,S002,2.8752,0.214
noabs,EMG+NIRS+HRV,lt1,S003,6.4517,-0.022
noabs,EMG+NIRS+HRV,lt1,S004,4.1355,-0.357
