feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
BodyComp,lt1,Ridge(α=1),10,6,6.4574,6.375,-0.358,0.003,0.1
BodyComp,lt1,Ridge(α=10),10,6,5.7026,5.615,-0.07,0.051,0.1
BodyComp,lt1,Ridge(α=100),10,6,5.5409,5.4958,-0.007,0.046,0.1
BodyComp,lt1,Ridge(α=1000),10,6,5.5075,5.4763,0.001,0.066,0.1
BodyComp,lt1,Huber(ε=1.1),10,6,6.8937,6.796,-0.569,0.0,0.2
BodyComp,lt1,Huber(ε=1.35),10,6,6.885,6.7862,-0.564,-0.016,0.2
BodyComp,lt1,Huber(ε=1.5),10,6,6.8334,6.736,-0.538,-0.009,0.2
BodyComp,lt1,Huber(ε=2.0),10,6,6.7214,6.629,-0.481,-0.001,0.2
BodyComp,lt1,"EN(α=0.01,l1=0.2)",10,6,5.5986,5.5198,-0.032,0.024,0.1
BodyComp,lt1,"EN(α=0.01,l1=0.5)",10,6,5.6886,5.6006,-0.065,0.047,0.1
BodyComp,lt1,"EN(α=0.01,l1=0.9)",10,6,6.2412,6.1645,-0.27,0.016,0.2
BodyComp,lt1,"EN(α=0.1,l1=0.2)",10,6,5.5378,5.4977,-0.007,0.059,0.1
BodyComp,lt1,"EN(α=0.1,l1=0.5)",10,6,5.5396,5.4951,-0.007,0.049,0.1
BodyComp,lt1,"EN(α=0.1,l1=0.9)",10,6,5.5637,5.4921,-0.018,0.067,0.1
BodyComp,lt1,"EN(α=1.0,l1=0.2)",10,6,5.4972,5.4665,0.004,0.086,0.1
BodyComp,lt1,"EN(α=1.0,l1=0.5)",10,6,5.5035,5.4727,0.002,0.074,0.1
BodyComp,lt1,"EN(α=1.0,l1=0.9)",10,6,5.5194,5.4854,-0.001,0.07,0.1
BodyComp,lt1,"GBM(n=50,d=2)",10,6,5.7201,5.6483,-0.072,-0.045,0.4
BodyComp,lt1,"GBM(n=50,d=3)",10,6,5.7084,5.6618,-0.058,-0.034,0.5
BodyComp,lt1,"GBM(n=100,d=2)",10,6,5.7308,5.6578,-0.077,-0.04,0.6
BodyComp,lt1,"GBM(n=100,d=3)",10,6,5.7113,5.664,-0.059,-0.034,0.7
BodyComp,lt1,"GBM(n=200,d=2)",10,6,5.732,5.659,-0.077,-0.04,1.1
BodyComp,lt1,"GBM(n=200,d=3)",10,6,5.7113,5.664,-0.06,-0.034,1.2
BodyComp,lt1,"SVR(C=1,ε=0.1)",10,6,5.5484,5.5346,-0.022,-0.207,1.7
BodyComp,lt1,"SVR(C=1,ε=1.0)",10,6,5.549,5.5352,-0.022,-0.207,1.6
BodyComp,lt1,"SVR(C=10,ε=0.1)",10,6,5.624,5.5999,-0.049,-0.133,1.8
BodyComp,lt1,"SVR(C=10,ε=1.0)",10,6,5.623,5.5987,-0.048,-0.133,1.7
BodyComp,lt1,"SVR(C=100,ε=0.1)",10,6,5.6938,5.662,-0.082,-0.159,1.8
BodyComp,lt1,"SVR(C=100,ε=1.0)",10,6,5.6937,5.6622,-0.082,-0.159,1.8
EMG+BC,lt1,Ridge(α=1),10,85,4.6723,4.361,0.212,0.657,0.2
EMG+BC,lt1,Ridge(α=10),10,85,3.653,3.3495,0.536,0.774,0.2
EMG+BC,lt1,Ridge(α=100),10,85,3.1611,2.9296,0.641,0.823,0.2
EMG+BC,lt1,Ridge(α=1000),10,85,2.9822,2.8291,0.694,0.855,0.3
EMG+BC,lt1,Huber(ε=1.1),10,85,5.1912,4.8543,0.015,0.59,3.3
EMG+BC,lt1,Huber(ε=1.35),10,85,5.1127,4.7864,0.042,0.604,3.0
EMG+BC,lt1,Huber(ε=1.5),10,85,5.0797,4.7547,0.051,0.61,3.0
EMG+BC,lt1,Huber(ε=2.0),10,85,5.0261,4.7102,0.072,0.619,2.9
EMG+BC,lt1,"EN(α=0.01,l1=0.2)",10,85,3.4582,3.183,0.582,0.795,2.8
EMG+BC,lt1,"EN(α=0.01,l1=0.5)",10,85,3.6324,3.3312,0.541,0.776,3.0
EMG+BC,lt1,"EN(α=0.01,l1=0.9)",10,85,4.3898,4.0818,0.311,0.687,3.9
EMG+BC,lt1,"EN(α=0.1,l1=0.2)",10,85,3.1193,2.9011,0.652,0.829,1.0
EMG+BC,lt1,"EN(α=0.1,l1=0.5)",10,85,3.1531,2.9224,0.643,0.824,1.0
EMG+BC,lt1,"EN(α=0.1,l1=0.9)",10,85,3.3584,3.0915,0.604,0.804,1.6
EMG+BC,lt1,"EN(α=1.0,l1=0.2)",10,85,2.9642,2.8279,0.7,0.861,0.4
EMG+BC,lt1,"EN(α=1.0,l1=0.5)",10,85,2.9746,2.8226,0.695,0.856,0.5
EMG+BC,lt1,"EN(α=1.0,l1=0.9)",10,85,3.0471,2.8419,0.67,0.838,0.5
